開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
1982/02/13,1東京5,晴,8,5歳以上400万下,,ダ1600,11,良,1:40.6,,ヤスノチカラ,津曲忠美,久恒久夫,レッドバラーハ,イチビューチー
1982/02/13,1東京5,晴,9,カトレア賞(400万下),,ダ1400,8,良,1:27.3,,ライラックポイント,的場均,飯塚好次,ジュウジサンボウ,スズシャンテイ
1982/02/13,1東京5,曇,10,中津川特別(800万下),,ダ2300,11,良,2:27.9,,トウホープリンス,中島啓之,仲住芳雄,アオユウ,タイガーアレツ
1982/02/13,1東京5,曇,11,アメジストS(1800万円以下),,ダ1600,10,良,1:36.7,,イースタンジョイ,田村正光,高橋英夫,メジロフィアット,トウショウゴッド
1982/02/13,1東京5,曇,12,5歳以上400万下,,ダ1200,10,良,1:14.1,,モミジプリンセス,柴田政人,石栗龍雄,プリンセスエバー,スイートマリーン
1982/02/13,1中京7,晴,1,4歳未勝利,,ダ1700,6,良,1:56.1,,ポートルビー,川端義雄,高橋成忠,タデウルフ,グランドキャニオン
1982/02/13,1中京7,晴,2,4歳以上勝入,,ダ1700,7,良,1:48.8,,ライトオスカー,篠原茂,本郷一彦,ヒミノタカ,ドウカンマロット
1982/02/13,1中京7,晴,3,4歳未勝利,,ダ1600,11,良,1:44.6,,オクノホマレ,西橋豊治,佐藤勇,タニノサンビーム,イースタンパワー
1982/02/13,1中京7,晴,4,4歳新馬,,芝1700,12,良,1:44.5,,ホウシュウゼット,飯田明弘,白井寿昭,クイックライト,タイヨーウイン
1982/02/13,1中京7,晴,5,5歳以上800万下,,ダ1700,7,良,1:48.2,,アストロプリンス,佐々木晶三,工藤嘉見,オカノワンダー,スズペガサス
1982/02/13,1中京7,晴,6,5歳以上400万下,,ダ1600,8,良,1:42.8,,マルブツボールド,加用正,瀬戸口勉,フジノヨシキタ,カイエンキャプテン
1982/02/13,1中京7,晴,7,5歳以上400万下,,ダ1600,9,良,1:42.8,,ダイナボールド,篠原茂,稲葉幸夫,インターキャピタル,シルバーシカイナミ
1982/02/13,1中京7,晴,8,5歳以上400万下,,ダ1600,8,良,1:41.1,,スリーバーグ,田之上幸男,田之上勲,リンドグット,ヤマニンクレーパー
1982/02/13,1中京7,晴,9,フリージア賞(400万下),,ダ1700,14,良,1:47.6,,タケノエキスパート,本田優,星川泉士,バラシアグリーム,ナルグリーン
1982/02/13,1中京7,晴,10,東海S(1300万下),,芝2400,7,良,2:28.4,,ノースカーター,飯田明弘,久保田金造,シルクリキオー,ヤマニンボールド
1982/02/13,1中京7,晴,11,5歳以上400万下,,ダ1700,10,良,1:48.5,,シルクサンシー,仁平健二,小原伊佐美,ヤマニンエトワール,ニシノサルビア
1982/02/13,2京都5,曇,1,4歳未勝利,,ダ1700,6,良,1:50.6,,ゴッドグッドリー,村本善之,坂口正大,プロントポリシー,ベルズキ
1982/02/13,2京都5,曇,2,4歳未勝利,,ダ1800,8,良,1:57.5,,ディストロイ,田原成貴,中尾正,サガツバメ,アイノビクトリー
1982/02/13,2京都5,曇,3,4歳未勝利,,ダ1200,10,良,1:13.9,,センターバリアント,河内洋,武田作十郎,キョウエイパール,クリヤーホーク
1982/02/13,2京都5,曇,4,5歳以上未勝利,,障3000,9,良,3:26.9,,ブゼンリッカ,押田年郎,島崎宏,メイショウタイガー,ツキノグロリア
