開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
1993/11/07,6京都2,曇,3,3歳新馬,,芝1200,13,良,1:12.3,36.2-36.1,シロキタウイナー,岸滋彦,[西]中尾謙太,ホマレノミリオン,ハシノパール
1993/11/07,6京都2,曇,4,3歳新馬,,芝1800,13,良,1:49.6,36.8-36.1,ドラゴンブリード,土肥幸広,[西]岩元市三,パリスナポレオン,クロスアンドクロス
1993/11/07,6京都2,曇,5,4歳以上500万下,,ダ1400,15,良,1:25.9,35.1-38.8,ロングプリマ,内田国夫,[西]高橋隆,ユウガオ,エリモダリア
1993/11/07,6京都2,曇,6,もちの木賞(500万下),,ダ1400,16,良,1:24.5,34.7-37.8,シスターソノ,松永幹夫,[西]田中耕太,ナムラコクオー,ナリタリュウオー
1993/11/07,6京都2,曇,7,逢坂山特別(500万下),,芝1600,18,良,1:34.5,34.8-36.0,トーワダーリン,角田晃一,[西]佐山優,チョウカイマドンナ,オーゴンテイオー
1993/11/07,6京都2,曇,8,天王山特別(900万下),,ダ1400,15,良,1:24.6,35.0-37.8,スズタカクイーン,武豊,[西]坂口正大,キョウエイチェリオ,ホリーキャスト
1993/11/07,6京都2,曇,9,ドンカスターS(OP),,芝2400,10,良,2:26.3,36.9-35.3,シゲノランボー,須貝尚介,[西]須貝彦三,メイショウビトリア,エイシンテネシー
1993/11/07,6京都2,曇,10,菊花賞(G1),,芝3000,18,良,3:04.7,36.1-34.6,ビワハヤヒデ,岡部幸雄,[西]浜田光正,ステージチャンプ,ウイニングチケット
1993/11/07,6京都2,曇,11,4歳以上900万下,,ダ1800,11,良,1:52.5,36.5-39.1,カガミアスカ,岡部幸雄,[西]荻野光男,メイショウセントロ,イイデタイショウ
1993/11/06,3福島3,晴,1,3歳未勝利,,ダ1000,8,良,1:02.0,36.3-37.7,マークレディ,鈴木寿,[東]尾形盛次,テンマフィールド,ヤマニンスクープ
1993/11/06,3福島3,晴,2,4歳未勝利,,芝1800,14,良,1:50.4,35.9-37.1,エドノコバン,水野貴広,[東]佐藤全弘,カイウンイチバン,フィロンドール
1993/11/06,3福島3,晴,3,4歳未勝利,,ダ1000,12,良,1:01.8,35.9-37.9,サツマオトコ,大崎昭一,[西]橋口弘次,カルストンテリブル,リードサーンク
1993/11/06,3福島3,晴,4,4歳未勝利,,芝2000,14,良,2:03.3,36.8-35.9,プリマベラバンブー,藤井正輝,[西]松田正弘,アケノホマレ,オンワードコーネル
1993/11/06,3福島3,晴,5,4歳未勝利,,ダ1000,12,良,1:02.1,35.9-38.1,キリステップ,大崎昭一,[西]安田伊佐,ギャラントバイオ,ペルセアトラス
1993/11/06,3福島3,晴,6,4歳未勝利,,芝1800,14,良,1:49.5,34.8-37.2,クリスタルジュン,西園正都,[西]松元省一,ノーティーキッド,ワンチェリー
1993/11/06,3福島3,晴,7,4歳未勝利,,ダ1700,12,良,1:51.5,29.8-42.5,ローランリバース,坂本勝美,[東]中野渡清,タヤスブンタ,インターエベレスト
1993/11/06,3福島3,晴,8,4歳未勝利,,芝2000,14,良,2:03.0,35.5-37.7,ウォータートリック,西園正都,[西]田中良平,コガネロケット,ホッカイテイオー
1993/11/06,3福島3,晴,9,秋元湖特別(500万下),,芝1000,12,良,0:57.4,33.4-34.8,マイネルテンリュウ,坂本勝美,[東]藤沢和雄,アインフロイライン,ハセノミデア
1993/11/06,3福島3,晴,10,会津特別(500万下),,芝1800,12,良,1:49.7,34.7-38.1,メジロレノンズ,内田浩一,[西]池江泰郎,スーパーテスコ,エリモフリッカー
1993/11/06,3福島3,晴,11,みちのく特別(900万下),,芝2600,8,良,2:42.4,38.3-36.6,シロキタシンザン,久保田英,[西]中尾謙太,バンブードラゴン,ユウキサンサン
