開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
1993/11/07,3福島4,晴,7,4歳未勝利,,ダ1700,12,良,1:51.0,29.7-41.3,スモールジャック,清水英次,[西]伊藤修司,ラルムス,サマープリンセス,2:３歳,500.0
1993/11/07,3福島4,晴,8,4歳未勝利,,芝1800,14,良,1:50.1,36.0-36.9,テンカムテキ,坂本勝美,[東]藤沢和雄,キョクコウ,アイラブボストン,2:３歳,500.0
1993/11/07,3福島4,晴,9,原町特別(500万下),,ダ1700,12,良,1:49.9,29.7-41.6,チョウカイオバコ,藤原英幸,[東]仲住芳雄,ユーワビジョン,タヤスホクトセイ,3:３歳以上,990.0
1993/11/07,3福島4,晴,10,奥只見特別(500万下),,芝2000,10,良,2:01.8,35.7-37.6,シュウザンペガサス,小原義之,[西]布施正,サクラリズムオー,ホコタプリンス,3:３歳以上,990.0
1993/11/07,3福島4,晴,11,福島民友C(OP),,芝1800,10,良,1:48.2,35.9-36.7,ラビットボール,内田浩一,[西]池江泰郎,ブレスレット,エーピーグランプリ,3:３歳以上,2300.0
1993/11/07,3福島4,晴,12,4歳未勝利,,芝1200,14,良,1:10.6,34.0-36.6,ウエルバーズ,藤井正輝,[西]田中良平,メルバテイオー,ヤサカグレイト,2:３歳,500.0
1993/11/07,5東京2,曇,1,3歳未勝利,,芝1600,12,良,1:37.5,35.8-37.1,カズサハリケーン,浜野谷憲,[東]松永勇,リメインピース,ハッケンオー,1:２歳,500.0
1993/11/07,5東京2,曇,2,3歳新馬,,ダ1400,12,良,1:28.4,35.8-39.9,タイキパイソン,橋本広喜,[東]藤沢和雄,インターイメージ,ビャクゴウテン,1:２歳,590.0
1993/11/07,5東京2,曇,3,3歳新馬,,芝1600,10,良,1:38.5,36.6-37.1,チアフルドーター,郷原洋司,[東]小西一男,ベストケーキ,アサヒマーキュリー,1:２歳,590.0
1993/11/07,5東京2,曇,4,3歳新馬,,芝1600,11,良,1:37.7,35.7-37.2,ハヤテミキコ,五十嵐久,[東]平井雄二,ビーンズビューティ,ノールボー,1:２歳,590.0
1993/11/07,5東京2,晴,5,3歳新馬,,芝1800,11,良,1:52.5,36.7-35.8,エプソムアシュラ,橋本広喜,[東]藤沢和雄,ハイライトカイザー,イカルスシチー,1:２歳,590.0
1993/11/07,5東京2,晴,6,障害4歳以上未勝利,,障3100,7,良,3:32.3,110.0-0.0,メジロローリー,田中剛,[東]谷原義明,キッショウムサシ,フィッツバルディ,3:３歳以上,820.0
1993/11/07,5東京2,晴,7,4歳以上500万下,,ダ1600,16,良,1:39.7,36.4-38.4,トモエボンバー,根本康広,[東]小西一男,アクティースワロー,シンボリミサキ,3:３歳以上,730.0
1993/11/07,5東京2,晴,8,4歳以上500万下,,芝1800,15,良,1:49.2,35.8-36.0,コバノイーグル,田面木博,[東]高松邦男,モリカイソウ,ブランドプルーフ,3:３歳以上,730.0
1993/11/07,5東京2,曇,9,河口湖特別(500万下),,芝2300,12,良,2:23.3,30.1-35.6,スズカジュピター,横山賀一,[西]藤岡範士,スダフォコン,エプソムエンペラー,3:３歳以上,990.0
1993/11/07,5東京2,曇,10,鷹巣山特別(900万下),,芝1400,9,良,1:23.4,35.5-35.7,クリヨン,郷原洋司,[西]新川恵,メインフラッグ,セイカカラーラ,3:３歳以上,1370.0
1993/11/07,5東京2,曇,11,テレビ静岡賞(1500万下),,ダ2100,15,良,2:12.2,30.5-38.5,エイシンライジン,小池隆生,[西]太宰義人,アドマイヤボサツ,ダッシュフドー,3:３歳以上,1740.0
1993/11/07,5東京2,曇,12,4歳以上900万下,,ダ1400,12,良,1:25.8,35.3-38.1,センターオーバー,郷原洋司,[東]加賀武見,キオイスマート,レオシャトル,3:３歳以上,1000.0
1993/11/07,6京都2,曇,1,3歳未勝利,,ダ1200,9,良,1:15.0,36.5-38.5,サンキンホマレ,菅谷正巳,[西]菅谷禎高,エリットロア,テイーイットー,1:２歳,310.0
1993/11/07,6京都2,曇,2,3歳未勝利,,芝1600,16,良,1:36.8,34.3-38.7,スノーフレーク,柴田政人,[東]畠山重則,エケパニス,サファイヤシチー,1:２歳,500.0
