開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
2004/04/11,1福島4,曇,9,4歳以上500万下,,芝1200,16,良,1:08.9,33.5-35.4,ストロングサターン,大庭和弥,[東]嶋田潤,ニシノアルカポネ,スマッシュキング,4:４歳以上,750.0
2004/04/11,1福島4,曇,10,滝桜賞(500万下),,ダ1700,13,良,1:47.1,29.8-39.2,ダイワネバダ,菊沢隆徳,[東]二ノ宮敬,ゼッツー,プリティローズ,2:３歳,1000.0
2004/04/11,1福島4,曇,11,福島民報杯(OP),,芝1200,16,良,1:07.4,32.8-34.6,ドリームカムカム,大西直宏,[東]国枝栄,モルフェデスペクタ,タカオルビー,4:４歳以上,2400.0
2004/04/11,1福島4,曇,12,青葉城特別(500万下),,芝1200,16,良,1:08.7,33.2-35.5,エリーナ,武幸四郎,[西]瀬戸口勉,セイワミラージュ,グラスユニバース,4:４歳以上,1050.0
2004/04/11,3中山6,晴,1,3歳未勝利,,ダ1800,10,良,1:59.2,38.1-38.7,ホワイトピクシイ,牧原由貴,[東]鈴木康弘,サイレントアスク,ニシノラヴ,2:３歳,500.0
2004/04/11,3中山6,晴,2,3歳未勝利,,ダ1200,9,良,1:14.1,34.9-39.2,ジョイントスターズ,横山典弘,[東]岩戸孝樹,エフテーペンタゴン,ワンダーブレイニー,2:３歳,500.0
2004/04/11,3中山6,晴,3,3歳未勝利,,ダ1800,9,良,1:56.9,37.2-39.9,ナンヨーアクトレス,田中勝春,[東]河野通文,マイスターハント,タカオシンゲン,2:３歳,500.0
2004/04/11,3中山6,晴,4,3歳未勝利,,ダ1200,12,良,1:14.4,35.7-38.7,メルボルンシチー,横山典弘,[東]嶋田功,ズイウン,リンガスゴジーラ,2:３歳,500.0
2004/04/11,3中山6,晴,5,障害4歳以上未勝利,,障2880,14,良,3:13.5,110.0-0.0,タヤスワイルド,大江原隆,[東]星野忍,フーテンスマイル,ジェアン,4:４歳以上,850.0
2004/04/11,3中山6,晴,6,3歳500万下,,芝1200,16,良,1:09.0,33.9-35.1,レイズアンドコール,田中勝春,[東]手塚貴久,ノゾミカナエタマエ,ガイヤール,2:３歳,700.0
2004/04/11,3中山6,晴,7,4歳以上500万下,,ダ1200,16,良,1:12.6,34.6-38.0,エーピーコンロン,田中剛,[東]加藤修甫,イブキイターナル,マイサマードリーム,4:４歳以上,750.0
2004/04/11,3中山6,晴,8,4歳以上500万下,,ダ1800,15,良,1:55.6,36.0-40.0,アイマストウイン,田中勝春,[東]高橋祥泰,ニシノグレイシャ,トウショウコーラル,4:４歳以上,750.0
2004/04/11,3中山6,晴,9,山藤賞(500万下),,芝1600,10,良,1:33.5,34.9-35.3,ハートランドカフェ,吉田豊,[東]小島太,グレートバルサー,アイアムザチャンプ,2:３歳,1000.0
2004/04/11,3中山6,晴,10,勝浦特別(1000万下),,芝1200,16,良,1:08.1,33.1-35.0,オトハチャン,中舘英二,[東]加藤征弘,ミスホーユー,フォーユアラヴ,4:４歳以上,1450.0
2004/04/11,3中山6,晴,11,エイプリルS(OP),,芝2000,11,良,1:59.1,35.5-34.4,ヤマノブリザード,田中勝春,[東]藤沢和雄,アサカディフィート,エイシンスペンサー,4:４歳以上,2400.0
2004/04/11,3中山6,晴,12,4歳以上1000万下,,ダ1200,16,良,1:13.2,34.7-38.5,サザンクロスビコー,水野貴広,[東]堀井雅広,ラビットミレニア,ジェイケイベスト,4:４歳以上,1050.0
2004/04/11,2阪神6,晴,1,3歳未勝利,,ダ1400,16,良,1:28.1,36.4-38.9,プラントコンコルド,小池隆生,[西]川村禎彦,テンダリー,ミアモーレ,2:３歳,500.0
2004/04/11,2阪神6,晴,2,3歳未勝利,,ダ1800,9,良,1:54.8,37.1-38.5,アポロイレヴン,柴原央明,[西]音無秀孝,ハードオブプレイ,クールソング,2:３歳,500.0
2004/04/11,2阪神6,晴,3,3歳未勝利,,ダ1200,16,良,1:13.7,35.5-38.2,ビッグサクセス,武豊,[西]白井寿昭,ヤマニンノーティス,テンザンハヤテ,2:３歳,500.0
2004/04/11,2阪神6,晴,4,3歳未勝利,,ダ1400,16,良,1:26.6,35.3-38.8,ケイコブライト,藤田伸二,[西]宮徹,シュガーレディアン,ウォーターバロン,2:３歳,500.0
