開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
2015/04/05,2阪神4,雨,7,4歳以上500万下,,ダ1800,11,不,1:51.4,37.7-35.9,マコトグロズヌイ,川田将雅,[西]鮫島一歩,エイヴィアンボス,ダイナミックウオー,4:４歳以上,750.0
2015/04/05,2阪神4,雨,8,4歳以上1000万下,,芝2000,9,重,2:03.3,37.3-36.4,エイシンエルヴィン,Ｍ．デム,[西]中尾秀正,エイシンハドソン,ラブラバード,4:４歳以上,1050.0
2015/04/05,2阪神4,雨,9,鳴門S(1600万下),,ダ1400,16,不,1:22.7,34.8-35.9,ヒラボクプリンス,浜中俊,[西]加藤敬二,キングズガード,アルボナンザ,4:４歳以上,1820.0
2015/04/05,2阪神4,雨,10,マーガレットS(OP),,芝1400,14,不,1:23.3,35.3-36.2,フミノムーン,幸英明,[西]西浦勝一,マリオーロ,ネオスターダム,2:３歳,1900.0
2015/04/05,2阪神4,曇,11,産経大阪杯(G2),,芝2000,14,不,2:02.9,36.6-37.1,ラキシス,ルメール,[西]角居勝彦,キズナ,エアソミュール,4:４歳以上,6500.0
2015/04/05,2阪神4,曇,12,4歳以上1000万下,,ダ1200,16,不,1:10.0,34.2-35.8,サンライズネガノ,鮫島克駿,[西]安田隆行,サンライズマーチ,ヤマニンメンヒル,4:４歳以上,1050.0
2015/04/04,3中山3,曇,1,3歳未勝利,,ダ1200,16,良,1:12.7,34.6-38.1,ユウユウ,三浦皇成,[東]高柳瑞樹,アンジェリー,イクシア,2:３歳,500.0
2015/04/04,3中山3,曇,2,3歳未勝利,,ダ1800,16,良,1:56.4,37.6-39.6,マイネルヴェッケン,石橋脩,[東]池上昌弘,キャプテンバローズ,オブストラクション,2:３歳,500.0
2015/04/04,3中山3,曇,3,3歳未勝利,,ダ1200,16,良,1:12.4,34.2-38.2,ジェットコルサ,戸崎圭太,[東]金成貴史,ヴァッハウ,キスザスターズ,2:３歳,500.0
2015/04/04,3中山3,曇,4,3歳未勝利,,ダ1800,14,良,1:56.8,39.7-38.3,ショウナンアイ,北村宏司,[東]奥村武,クラウンシャイン,ダイワエクシード,2:３歳,500.0
2015/04/04,3中山3,曇,5,3歳未勝利,,芝1600,16,良,1:33.7,35.2-35.3,ロジダーリング,大野拓弥,[東]新開幸一,ブレイクエース,コスモカンプ,2:３歳,500.0
2015/04/04,3中山3,曇,6,3歳未勝利,,芝2000,18,良,2:01.6,37.0-36.0,トーセンカナロア,戸崎圭太,[東]小桧山悟,レッドアイヴァー,ブリエアヴェニール,2:３歳,500.0
2015/04/04,3中山3,曇,7,3歳500万下,,ダ1200,16,良,1:11.4,33.7-37.7,ワインシャワー,吉田豊,[東]田村康仁,オーロラッシュ,アサマ,2:３歳,720.0
2015/04/04,3中山3,曇,8,4歳以上500万下,,ダ1800,10,良,1:55.9,38.5-39.1,ヴィスビー,江田照男,[東]粕谷昌央,ラゴディラゴライ,エルシェロアスール,4:４歳以上,750.0
2015/04/04,3中山3,曇,9,山吹賞(500万下),,芝2200,12,良,2:13.8,35.7-34.8,レッドライジェル,柴田善臣,[東]藤沢和雄,グレーターロンドン,エニグマバリエート,2:３歳,1000.0
2015/04/04,3中山3,曇,10,安房特別(1000万下),,芝2500,12,良,2:31.9,29.4-36.1,ディスキーダンス,戸崎圭太,[東]手塚貴久,プレストウィック,レオニーズ,4:４歳以上,1500.0
2015/04/04,3中山3,曇,11,船橋S(1600万下),,芝1200,14,良,1:07.4,33.4-34.0,サトノデプロマット,柴田善臣,[西]高橋亮,ネロ,ストロングロビン,4:４歳以上,1820.0
2015/04/04,3中山3,曇,12,4歳以上500万下,,ダ1200,16,良,1:10.9,33.3-37.6,ホスト,吉田隼人,[東]金成貴史,ノッキングオン,エムエムアリオーン,4:４歳以上,750.0
2015/04/04,2阪神3,晴,1,3歳未勝利,,ダ1800,14,重,1:53.8,37.2-38.6,メイショウクオン,城戸義政,[西]角田晃一,クローザー,テイエムトラネコ,2:３歳,500.0
2015/04/04,2阪神3,晴,2,3歳未勝利,,ダ1200,16,重,1:12.7,35.3-37.4,ハクサンフレンチ,岩田康誠,[西]坂口正則,セイジャッカル,ココロナルハ,2:３歳,500.0
