開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
2015/05/23,1新潟7,晴,7,4歳以上500万下,,ダ1200,15,良,1:11.6,33.7-37.9,ピクニックソング,小坂忠士,[西]奥村豊,パッシオーネラヴィ,ナムラヒラリー,4:４歳以上,700.0
2015/05/23,1新潟7,晴,8,4歳以上500万下,,芝1000,16,良,0:56.2,33.5-33.6,ヤマノハヤブサ,菱田裕二,[西]山内研二,クリノコマチ,ソアリングホーク,4:４歳以上,700.0
2015/05/23,1新潟7,晴,9,4歳以上500万下,,ダ1800,15,良,1:54.1,36.6-39.4,ピエリーナ,丸山元気,[東]堀宣行,ノースファイヤー,サンレイフローラ,4:４歳以上,700.0
2015/05/23,1新潟7,晴,10,早苗賞(500万下),,芝1800,14,良,1:46.1,35.0-34.9,モンドインテロ,田辺裕信,[東]手塚貴久,アクセラレート,サブライムカイザー,2:３歳,890.0
2015/05/23,1新潟7,晴,11,大日岳特別(1000万下),,芝1200,16,良,1:08.4,33.5-34.9,アブマーシュ,丸山元気,[東]菊沢隆徳,スリーカーニバル,キタサンエピソード,4:４歳以上,1320.0
2015/05/23,1新潟7,晴,12,三条特別(500万下),,芝1600,16,良,1:34.2,35.8-34.7,ソードラック,古川吉洋,[東]斎藤誠,リオグランデ,モンテエベレスト,4:４歳以上,910.0
2015/05/23,2東京9,晴,1,3歳未勝利,,ダ1600,16,良,1:40.3,36.2-39.0,オンユアマーク,北村宏司,[東]新開幸一,ジョンブドール,マラカイトスター,2:３歳,500.0
2015/05/23,2東京9,晴,2,3歳未勝利,,ダ1400,16,良,1:26.5,35.8-37.9,ホッコーヴァール,北村宏司,[東]松永康利,キングリオ,マゼンタ,2:３歳,500.0
2015/05/23,2東京9,晴,3,3歳未勝利,,ダ2100,15,良,2:15.2,30.9-37.2,レッドルヴァン,北村宏司,[東]尾関知人,バイタルフォース,セイカアヴァンサ,2:３歳,500.0
2015/05/23,2東京9,晴,4,3歳未勝利,,芝1600,18,良,1:34.6,35.2-36.1,スターファセット,宮崎北斗,[東]中川公成,ロートリンゲン,ハーベストソング,2:３歳,500.0
2015/05/23,2東京9,晴,5,3歳未勝利,,芝2000,18,良,2:03.7,36.9-34.4,サトノメサイア,福永祐一,[東]堀宣行,トーカティヴ,ワンパクチョウサン,2:３歳,500.0
2015/05/23,2東京9,晴,6,3歳500万下,,ダ1400,16,良,1:24.7,34.9-37.9,レザンドゥオール,横山典弘,[東]武藤善則,カネータ,ドリームドルチェ,2:３歳,720.0
2015/05/23,2東京9,晴,7,4歳以上500万下,,ダ1600,15,良,1:37.0,35.1-37.4,アサクサスターズ,ルメール,[東]加藤征弘,マッチレスヒーロー,ゴドリー,4:４歳以上,750.0
2015/05/23,2東京9,晴,8,4歳以上500万下,,ダ1400,16,良,1:25.4,36.4-37.2,シュウギン,宮崎北斗,[東]高木登,サニーデイズ,ミュール,4:４歳以上,750.0
2015/05/23,2東京9,晴,9,カーネーションC(500万下),,芝1800,12,良,1:47.5,37.0-33.7,レトロクラシック,松岡正海,[東]国枝栄,エクストラファイン,ロッカフラベイビー,2:３歳,1000.0
2015/05/23,2東京9,晴,10,是政特別(1000万下),,ダ2100,16,良,2:12.2,30.7-37.3,プリンスダム,ルメール,[西]池江泰寿,ファイヤーロック,エルズミーア,4:４歳以上,1500.0
2015/05/23,2東京9,晴,11,モンゴル大統領賞(OP),,芝1800,17,良,1:44.7,35.3-35.1,サトノアラジン,ルメール,[西]池江泰寿,フェスティヴタロー,ヒラボクディープ,4:４歳以上,2300.0
2015/05/23,2東京9,晴,12,4歳以上1000万下,,芝1400,18,良,1:20.1,34.1-34.5,トーキングドラム,福永祐一,[東]斎藤誠,ノボリレジェンド,ウインフェニックス,4:４歳以上,1050.0
2015/05/23,3京都9,曇,1,3歳未勝利,,ダ1800,15,良,1:54.7,36.3-38.2,パヴェダイヤモンド,Ｍ．デム,[西]友道康夫,ポリアフ,サンマルアリュール,2:３歳,500.0
2015/05/23,3京都9,曇,2,3歳未勝利,,ダ1900,16,良,2:01.9,30.6-37.0,ダイナミックショー,池添謙一,[西]目野哲也,キングカヌヌ,ダノンプレジデント,2:３歳,500.0
