開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
2008/12/13,5中山3,曇,2,2歳未勝利,,ダ1800,16,稍,1:55.9,37.7-39.0,ディアテクノバトル,内田博幸,[東]高橋裕,ユニヴァースガイ,コスモジュゲム,1:２歳,500.0
2008/12/13,5中山3,曇,3,2歳未勝利,,芝1200,16,良,1:09.9,34.3-35.6,コスモクラッベ,津村明秀,[東]稗田研二,ディパーチャーズ,ケージーカンザクラ,1:２歳,500.0
2008/12/13,5中山3,曇,4,2歳未勝利,,芝1800,16,良,1:50.8,36.5-35.6,ハギノバロンドール,横山典弘,[東]和田正道,レッドシャドウ,ヒカルマイステージ,1:２歳,500.0
2008/12/13,5中山3,晴,5,2歳新馬,,芝1600,12,良,1:37.5,36.7-35.7,アイアムネオ,吉田豊,[東]奥平雅士,パワーストラグル,ワールドコンパス,1:２歳,700.0
2008/12/13,5中山3,晴,6,2歳新馬,,ダ1800,10,稍,1:56.2,38.0-38.5,ポルカマズルカ,柴山雄一,[東]畠山吉宏,クラブトゥギャザー,ハリマノワタリドリ,1:２歳,700.0
2008/12/13,5中山3,晴,7,3歳以上500万下,,ダ2500,12,稍,2:41.8,30.5-38.0,シビルウォー,吉田豊,[東]戸田博文,エーシンカメンシズ,タキオンバッハ,3:３歳以上,740.0
2008/12/13,5中山3,晴,8,3歳以上1000万下,,ダ1200,16,稍,1:10.6,33.3-37.3,コウジンアルス,江田照男,[東]松山将樹,モンプティクール,ローランバーク,3:３歳以上,1050.0
2008/12/13,5中山3,晴,9,黒松賞(500万下),,芝1200,15,良,1:08.8,33.9-34.9,エイシンタイガー,内田博幸,[西]西園正都,アイアンデューク,ミスクリアモン,1:２歳,1000.0
2008/12/13,5中山3,晴,10,南総特別(1000万下),,ダ1200,12,稍,1:09.6,33.0-36.6,ダイワディライト,北村宏司,[東]二ノ宮敬,アポロラムセス,オオヒメ,3:３歳以上,1480.0
2008/12/13,5中山3,晴,11,北総S(1600万下),,ダ1800,16,稍,1:50.4,37.0-36.8,フラムドパシオン,内田博幸,[西]角居勝彦,フサイチピージェイ,イースター,3:３歳以上,1830.0
2008/12/13,5中山3,晴,12,3歳以上1000万下,,芝1600,13,良,1:35.6,36.4-34.9,ブーケフレグランス,三浦皇成,[西]角居勝彦,ノースリヴァー,スイートカルタゴ,3:３歳以上,1050.0
2008/12/13,3中京1,晴,1,2歳未勝利,,ダ1700,16,良,1:49.0,29.4-39.8,キクノセンヒメ,川島信二,[西]荒川義之,メイショウカガリビ,チリトテシャン,1:２歳,500.0
2008/12/13,3中京1,晴,2,3歳以上500万下,,ダ1000,16,良,0:59.2,34.8-36.1,ゴールドヴェイン,千葉直人,[東]粕谷昌央,ラスカルシチー,ラスカルデューク,3:３歳以上,730.0
2008/12/13,3中京1,晴,3,3歳以上500万下,,ダ1700,16,良,1:46.9,30.2-37.4,ヒロアンジェロ,蛯名正義,[東]高木登,レティセントガール,ワキノキルシェ,3:３歳以上,730.0
2008/12/13,3中京1,晴,4,2歳未勝利,,芝2000,17,良,2:02.7,35.2-35.7,レッドシャガーラ,藤岡康太,[西]藤岡健一,メダリアビート,ディバインフレイム,1:２歳,500.0
2008/12/13,3中京1,晴,5,3歳以上500万下,,ダ1700,16,良,1:45.3,29.4-38.1,ルシフェリン,蛯名正義,[東]二ノ宮敬,ホワイトショウフク,ウインプレミアム,3:３歳以上,730.0
2008/12/13,3中京1,晴,6,2歳新馬,,芝2000,18,良,2:03.9,36.1-35.8,イマカツウィーズ,藤田伸二,[西]昆貢,キングウェールズ,マラード,1:２歳,700.0
2008/12/13,3中京1,晴,7,3歳以上500万下,,ダ2300,16,良,2:29.5,31.2-38.2,シャンパンファイト,鮫島良太,[西]角居勝彦,ウインク,フェイクスパ,3:３歳以上,730.0
2008/12/13,3中京1,晴,8,3歳以上500万下,,芝2500,16,良,2:33.3,29.7-35.5,クヴァルダ,秋山真一,[西]池江泰郎,ピエナグッドラック,マイネルクルーガー,3:３歳以上,730.0
2008/12/13,3中京1,晴,9,3歳以上500万下,,芝1200,18,良,1:08.7,33.5-35.2,メイカ,荻野琢真,[西]野中賢二,ユメイッポ,レオブルース,3:３歳以上,730.0
