開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
1974/11/09,6東京3,曇,3,3歳新馬,,芝1200,10,良,1:11.8,,ヤノライデン,赤羽秀男,茂木為二郎,ホクトオーカン,カミノスズラン,1:２歳,200.0
1974/11/09,6東京3,曇,4,3歳未勝利,,芝1400,11,良,1:25.8,,ソロナホープ,矢野照正,中村広,ケイシュウザクラ,ライバリュウ,1:２歳,140.0
1974/11/09,6東京3,曇,5,4歳以上,,障2820,7,良,3:05.7,,ソネラオー,金井国男,稲葉秀男,ヒロサンダー,ララミーシャダイ,3:３歳以上,600.0
1974/11/09,6東京3,曇,6,4歳以上200万下,,ダ1400,9,良,1:26.8,,ミスサンサン,鹿野則夫,仲住芳雄,ガッツオンワード,ビューティーゼア,3:３歳以上,320.0
1974/11/09,6東京3,曇,7,4歳以上200万下,,芝1600,12,良,1:37.8,,ホウヨウスイート,大和田稔,二本柳俊夫,リュウラップ,カキミノル,3:３歳以上,320.0
1974/11/09,6東京3,曇,8,黄菊賞(200万下),,芝1400,5,良,1:26.6,,シャトードシンボリ,池上昌弘,保田隆芳,ゴールドジン,シバカオル,1:２歳,370.0
1974/11/09,6東京3,曇,9,4歳以上,,芝1800,8,良,1:49.7,,ヤマブキオー,蓑田早人,森末之助,ハイセイコー,ディクタボーイ,3:３歳以上,580.0
1974/11/09,6東京3,曇,10,武蔵野S(700万下),,芝1800,7,良,1:50.1,,アイアンロング,秋元松雄,久保田金造,メイキッス,リュウハゴロモ,3:３歳以上,670.0
1974/11/09,6東京3,曇,11,狭山特別(400万下),,芝1600,10,良,1:37.4,,マルミヨ,嶋田功,稲葉幸夫,メジロチトセ,リディア,3:３歳以上,600.0
1974/11/09,6東京3,曇,12,4歳以上500万下,,芝1800,10,良,1:50.9,,クリシスコ,郷原洋行,大久保房松,スズリュウマ,ヤクモプリンセス,3:３歳以上,460.0
1974/11/09,6京都3,曇,1,3歳未勝利,,ダ1400,7,良,1:30.8,,アインフジ,白坂宗治,宮本悳,コロナリイクイン,ラッキースイセイ,1:２歳,100.0
1974/11/09,6京都3,曇,2,3歳未勝利,,ダ1200,14,良,1:15.4,,ニホンピロエイホウ,田島信行,服部正利,ジョーオースチン,ローズライト,1:２歳,140.0
1974/11/09,6京都3,曇,3,3歳未勝利,,ダ1200,14,良,1:16.6,,アサダイコク,武田悟,夏村辰男,エースギンカン,ニチドウタントル,1:２歳,140.0
1974/11/09,6京都3,曇,4,4歳以上200万下,,ダ1400,13,良,1:28.3,,カレントビクトリー,須貝四郎,橋田俊三,アンジェリカ,ローズラニー,3:３歳以上,320.0
1974/11/09,6京都3,小雨,5,4歳以上300万下,,障2490,9,?,2:43.9,,シーロード,広松孝司,高橋直,エリモバード,マルセングレーム,3:３歳以上,460.0
1974/11/09,6京都3,曇,6,3歳新馬,,芝1200,12,良,1:14.5,,キシューファイター,福永洋一,松井麻之助,ニホンピロターフ,マルブツサンダー,1:２歳,200.0
1974/11/09,6京都3,曇,7,3歳新馬,,芝1200,12,良,1:13.2,,レイクスプリンター,押田年郎,坂口正二,ロングモンロ,ケイオイケ,1:２歳,200.0
1974/11/09,6京都3,小雨,8,アラブS(OP),,ダ1800,6,良,1:57.8,,ヤマサンツバメ,境直行,清田十一,イチモンジ,ハツノタカラ,3:３歳以上,270.0
1974/11/09,6京都3,曇,9,4歳以上400万下,,ダ1900,8,良,2:03.8,,ニッセキホマレ,清水出美,星川泉士,ファインマッハ,フロリダホープ,3:３歳以上,420.0
1974/11/09,6京都3,曇,10,祇園特別(500万下),,芝2000,11,良,2:05.3,,ハシオーカン,武田博,武田文吾,ウラカワクイン,マサユキ,3:３歳以上,870.0
