開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
1987/06/13,3東京7,晴,10,ジューンS(1400万下),,芝2400,7,良,2:29.4,38.8-35.6,カシマキング,岡部幸雄,[東]飯塚好次,イズモランド,セイユーボーイ
1987/06/13,3東京7,曇,11,石和特別(900万下),,芝1600,11,良,1:36.2,36.5-36.1,ダイワノーザン,増沢末夫,[東]古賀一隆,ドクターベスト,ダイナボンダー
1987/06/13,3東京7,曇,12,4歳以上900万下,,ダ1700,12,良,1:44.3,30.5-37.8,セッテシルビア,田中剛,[東]山崎彰義,メジロイバノ,フジシルバー
1987/06/13,3阪神7,曇,1,4歳未勝利,,ダ1200,16,良,1:14.5,35.9-38.6,ミッテルロマン,飯田明弘,[西]中尾正,ダイテンジョージ,アスコットマドンナ
1987/06/13,3阪神7,曇,2,4歳未勝利,,芝2000,13,良,2:04.7,37.1-38.1,シバカイザー,河内洋,[西]伊藤雄二,ノースクリスト,ダイタクリベラル
1987/06/13,3阪神7,曇,3,4歳未勝利,,芝1400,12,良,1:24.4,35.6-36.7,スザンナバンブー,西浦勝一,[西]土門健司,エイシンパレード,ドロレスバンブー
1987/06/13,3阪神7,曇,4,4歳未勝利,,芝1400,13,良,1:24.0,34.8-37.0,ラテーヌ,小島貞博,[西]坪憲章,ゾウゲブネサクラ,リュウマハール
1987/06/13,3阪神7,曇,5,障害4歳以上未勝利,,障3000,10,良,3:23.4,108.0-0.0,ゴールデングラス,押田年郎,[西]坪正直,サンワードパーソ,アドバンスボーイ
1987/06/13,3阪神7,曇,6,4歳400万下,,芝1400,14,良,1:23.6,34.3-37.4,センターグロリアス,田原成貴,[西]伊藤雄二,オニマリフジ,シンコウロマン
1987/06/13,3阪神7,曇,7,4歳400万下,,芝2000,10,良,2:03.8,35.7-38.8,イチヨシカイザー,田島良保,[西]鶴留明雄,マチカネコイノボリ,マエコウスパーク
1987/06/13,3阪神7,曇,8,4歳以上400万下,,芝1600,11,良,1:36.8,35.6-37.5,コーラルエース,原田雄二,[西]野元昭,イブキサージャント,スーパースピリット
1987/06/13,3阪神7,曇,9,白百合S(OP),,芝2000,9,良,2:03.0,37.0-36.5,シルクマリア,村本善之,[西]伊藤修司,トサノアサカゼ,プレイガイドバード
1987/06/13,3阪神7,曇,10,鷹取特別(900万下),,芝2500,9,良,2:36.5,32.1-36.7,エイシンハリケーン,南井克巳,[西]湯浅三郎,ウメノケイ,ヒヤクショウリ
1987/06/13,3阪神7,曇,11,水無月S(1400万下),,芝1600,11,良,1:35.0,34.3-36.9,ヨシノサキガケ,岡冨俊一,[西]吉永猛,アグレッサードルガ,チャイナテスコ
1987/06/13,3阪神7,曇,12,4歳以上900万下,,芝1200,14,良,1:10.5,34.8-35.7,キョウワタケシバ,武豊,[西]坂口正大,トウショウイブキ,ライオンレディー
1987/06/07,3東京6,晴,1,4歳未勝利,,ダ1400,14,良,1:26.1,35.0-38.9,スズランセイコー,谷中公一,[東]久保田彦,ウメノマルセイ,トワノスキー
1987/06/07,3東京6,晴,2,4歳未勝利,,芝1800,12,良,1:50.2,35.3-38.2,アップツーデート,古川寛和,[東]二本柳俊,ヒロユートリー,ハヤノーザン
1987/06/07,3東京6,晴,3,4歳未勝利,,芝1600,13,良,1:36.6,35.3-37.4,フリーシンカー,柴田政人,[東]高松邦男,ミュージックマン,キープインタッチ
1987/06/07,3東京6,晴,4,4歳400万下,,芝2000,10,良,2:01.9,36.2-36.2,フジノシンズイ,安田富男,[東]古山良司,アサヒスナイパー,ティーウイン
1987/06/07,3東京6,晴,5,障害4歳以上OP,,障3300,6,良,3:47.5,106.0-0.0,ターボスワロー,田中剛,[東]元石正雄,フジノマサムネ,センゴクルビー
