開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
1987/03/28,3中山1,曇,8,もくれん賞(400万下),,芝2000,8,良,2:02.1,37.0-36.4,レインボーアカサカ,岡部幸雄,[東]高橋英夫,メジロフルマー,メジロストーク
1987/03/28,3中山1,曇,9,4歳以上400万下,,ダ1800,16,良,1:54.1,37.0-39.6,ユーワメルド,大崎昭一,[東]柴田寛,シュタインローズ,エドナフィールズ
1987/03/28,3中山1,曇,10,菜の花賞(OP),,芝1200,6,良,1:09.5,34.4-35.1,キリノトウコウ,嶋田功,[東]稲葉幸夫,ビュウーコウ,プリンシプル
1987/03/28,3中山1,曇,11,爽春賞(1400万下),,芝2000,10,良,2:03.4,37.5-35.9,トウショウバイタル,安田富男,[東]新関力,アサヒエンペラー,アイアンシロー
1987/03/28,3中山1,曇,12,4歳以上900万下,,芝1600,14,良,1:35.5,35.9-35.8,ティエッチドリーム,岡部幸雄,[東]小林常泰,ハーディゴッド,リンネスプレンティ
1987/03/28,1中京7,晴,1,4歳未勝利,,ダ1700,10,良,1:53.0,30.9-40.9,リバルドシミズ,成島正規,[東]二本柳一,ミヤマンダイオー,カラスファースト
1987/03/28,1中京7,晴,2,4歳以上300万下,,ダ1700,12,良,1:52.3,30.7-42.1,トリノガバナー,徳吉一己,[西]島崎宏,カガノトウザイ,キラー
1987/03/28,1中京7,晴,3,4歳未出走,,芝1800,9,良,1:52.8,38.6-36.6,スピードハンター,安田隆行,[西]大沢真,ロングヤマト,キタシバモンロー
1987/03/28,1中京7,晴,4,4歳未勝利,,ダ1700,13,良,1:50.4,30.6-40.6,トーワコマチ,久保敏文,[西]佐山優,アロエクイーン,リサーチアゲン
1987/03/28,1中京7,曇,5,4歳未勝利,,ダ1700,10,良,1:49.7,31.6-38.9,アンズタイヨー,斉藤博美,[西]斉藤義美,レイホウパワー,セントアンヌ
1987/03/28,1中京7,晴,6,4歳以上400万下,,ダ1000,13,良,1:00.8,35.9-37.0,マルシゲスピード,南井克巳,[西]宇田明彦,メトロライテン,ダイナサンシー
1987/03/28,1中京7,晴,7,4歳以上400万下,,ダ1700,16,良,1:49.1,30.2-40.3,マツノベスト,南井克巳,[西]湯浅三郎,ミスビビアン,スワロークイーン
1987/03/28,1中京7,晴,8,4歳以上400万下,,ダ1000,14,良,1:00.2,35.8-36.6,ヤマニンパンサー,武豊,[西]池江泰郎,インターリフト,ダイナオレンジ
1987/03/28,1中京7,晴,9,フリージア賞(400万下),,芝2000,12,良,2:02.9,35.8-36.0,ローズイバロン,内山正博,[西]小林稔,トウシンビクトリー,ヤマニンメイト
1987/03/28,1中京7,晴,10,乗鞍特別(400万下),,ダ1700,11,良,1:46.9,30.3-38.1,ダンディブーン,合谷喜壮,[西]斉藤義美,カミノリバティ,ゲイリーレット
1987/03/28,1中京7,晴,11,知多特別(900万下),,芝1200,14,良,1:10.3,34.5-35.8,アサヒスイセイ,南井克巳,[西]坪憲章,キリショウリ,マエコウプリンセス
1987/03/28,1中京7,晴,12,4歳以上400万下,,ダ1700,16,良,1:48.2,29.7-39.3,ドラゴンサム,林満明,[西]高橋直,ダイカツガルー,エプソムマッハ
1987/03/28,2阪神1,晴,1,4歳400万下,,ダ1800,5,良,1:55.1,37.6-37.3,ドージマテンリュー,松永幹夫,[西]山本正司,ダイナスタイリスト,スダレッド
1987/03/28,2阪神1,晴,2,4歳未出走,,ダ1800,13,良,1:56.8,38.0-39.7,ブゼンロイヤル,田原成貴,[西]松田博資,ドロレスバンブー,ニングジャンセン
1987/03/28,2阪神1,晴,3,4歳未勝利,,ダ1700,8,良,1:50.0,31.7-39.5,ホリノイメージ,猿橋重利,[西]鹿戸幸治,ヒダカグリーン,ビューティフル
