開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
1986/11/01,5京都1,曇,10,衣笠特別(900万下),,芝2000,8,良,2:02.0,37.9-35.1,アルファジェス,松永昌博,[西]松永善晴,ヒダカシュート,マチカネコーシ,3:３歳以上,890.0
1986/11/01,5京都1,曇,11,デイリー杯3歳S(G2),,芝1400,11,良,1:23.4,35.8-35.6,ダイナサンキュー,南井克巳,[西]宇田明彦,オカノアスティー,サンキンハヤテ,1:２歳,2500.0
1986/11/01,5京都1,曇,12,4歳以上900万下,,ダ1800,16,良,1:51.8,36.3-38.4,サロニカクイン,熊沢重文,[西]内藤繁春,チャレンジレイコ,ヘルメスアンジェラ,3:３歳以上,660.0
1986/10/26,3福島2,晴,1,4歳以上OP,,芝1800,11,良,1:51.4,36.0-38.3,マルブツキャリー,上籠勝仁,[西]増本豊,ウィンブルー,リキホーラー,3:３歳以上,470.0
1986/10/26,3福島2,晴,2,3歳新馬,,芝1000,11,良,0:59.6,35.3-35.8,ノースエクセル,大崎昭一,[東]小林常泰,エックハルト,タイシャーロット,1:２歳,480.0
1986/10/26,3福島2,晴,3,4歳未勝利,,ダ1000,12,良,1:00.5,35.9-36.4,ディナール,関口睦介,[東]高松邦男,イワノシンテン,ダイヤグレート,2:３歳,390.0
1986/10/26,3福島2,曇,4,4歳未勝利,,芝1800,14,良,1:51.0,36.7-37.8,カスタムグリーン,大崎昭一,[東]二本柳一,アマミキュート,サテンリュウ,2:３歳,390.0
1986/10/26,3福島2,曇,5,4歳未勝利,,芝1800,14,良,1:51.0,35.6-38.0,ダイタクリープ,横山雄一,[西]玉谷敬治,ヘレンホイザー,ファイブベンテン,2:３歳,390.0
1986/10/26,3福島2,曇,6,4歳未勝利,,ダ1000,12,良,1:00.2,35.1-36.6,アサクサワイパー,北村卓士,[西]内藤繁春,バンブーゾルバ,アインタッフェル,2:３歳,390.0
1986/10/26,3福島2,曇,7,4歳未勝利,,芝1800,14,良,1:50.8,35.7-38.0,オノデンゲンスイ,増沢末夫,[東]松山吉三,イブキエレガンス,マチカネロマノフ,2:３歳,390.0
1986/10/26,3福島2,曇,8,4歳未勝利,,芝1800,14,良,1:50.5,36.6-37.2,モンテペガサス,増沢末夫,[東]松山吉三,シマノエーブル,ハヤテスウイフト,2:３歳,390.0
1986/10/26,3福島2,曇,9,4歳以上400万下,,ダ1700,7,良,1:48.1,30.3-39.6,クライアント,岩戸孝樹,[東]矢野幸夫,ダルド,シャコーキクオー,3:３歳以上,510.0
1986/10/26,3福島2,曇,10,相馬特別(400万下),,芝2000,9,良,2:03.3,36.6-37.2,ロングユカ,蛯名信広,[東]久保田金,ハンティングレデイ,ウイルプリンセス,3:３歳以上,690.0
1986/10/26,3福島2,曇,11,河北新報杯(900万下),,芝1800,14,良,1:48.9,35.3-37.8,ヒロノメロス,武田悟,[西]玉谷敬治,メジロドーム,ダイナエリクシール,3:３歳以上,890.0
1986/10/26,3福島2,晴,12,4歳以上400万下,,芝1700,9,良,1:43.2,29.7-37.6,キリシャーク,小迫次男,[東]栗田博憲,モンテソロモン,ダーティーヒーロー,3:３歳以上,510.0
1986/10/26,4東京8,晴,1,3歳未勝利,,芝1600,7,良,1:38.2,37.3-36.1,カミノイケズキ,岡部幸雄,[東]二本柳一,タイガープリンス,ユウザン,1:２歳,390.0
1986/10/26,4東京8,晴,2,3歳新馬,,ダ1200,6,良,1:14.6,35.3-39.3,カツゴースト,岡山定夫,[東]柴田欣也,シートバー,トウホーフレンチ,1:２歳,480.0
1986/10/26,4東京8,晴,3,3歳新馬,,芝1400,11,良,1:24.0,34.9-37.2,オンワードカペラ,竹原啓二,[東]松山康久,ティーウイン,スカイダイバー,1:２歳,480.0
1986/10/26,4東京8,晴,4,4歳以上400万下,,ダ1700,11,良,1:46.7,29.6-40.6,ミヨノシンセイ,谷中公一,[東]小西喜蔵,トナミープリンス,シャムロック,3:３歳以上,510.0
1986/10/26,4東京8,晴,5,4歳以上400万下,,ダ1600,11,良,1:38.9,36.8-37.5,フジゴールドレッグ,鈴木寿,[東]見上恒芳,レディーホウヨウ,カシマアオイ,3:３歳以上,510.0
