開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
1984/04/21,1新潟1,晴,5,4歳以上,,芝2200,10,重,2:18.9,,マルカツシゲル,坂井千明,古山良司,モッカンショウリ,ローレルスポット
1984/04/21,1新潟1,晴,6,4歳未勝利,,芝1600,13,重,1:37.4,,カネイチパール,橋口満朗,佐藤嘉秋,ハマノバリアス,シルバリートーン
1984/04/21,1新潟1,晴,7,4歳未勝利,,芝1200,13,重,1:12.3,,ビクトリアクロス,田面木博公,増本勇,サンアイランド,ダイタクアテイン
1984/04/21,1新潟1,晴,8,5歳以上400万下,,ダ1700,12,重,1:49.2,,ヤマキマルス,西園正都,野元昭,スズクリッパー,フォスタープリンス
1984/04/21,1新潟1,晴,9,大日岳特別(400万下),,芝1200,13,稍,1:10.2,,グァッシュアウト,小谷内秀夫,戸山為夫,ダイナファイアー,スズランミサキ
1984/04/21,1新潟1,曇,10,松浜特別(400万下),,芝2000,8,稍,2:07.4,,カチウマリック,嶋田潤,矢野幸夫,ドクターゴールド,ディストロイ
1984/04/21,1新潟1,曇,11,5歳以上400万下,,ダ1700,12,重,1:47.4,,サザンゲイル,柏崎正次,大久保良雄,フリートジュピター,ユキノビクトリー
1984/04/21,2東京1,晴,1,4歳未勝利,,ダ1600,8,重,1:39.9,,ホッカイイメージ,的場均,大久保勝之,ブルーマリン,エルメスシロー
1984/04/21,2東京1,晴,2,4歳未勝利,,ダ1700,8,重,1:46.5,,ストームホーゲル,加賀武見,見上恒芳,キクノファイター,ノビアボニータ
1984/04/21,2東京1,晴,3,4歳未勝利,,ダ1700,8,重,1:47.3,,シンワフジ,菅原隆明,西塚十勝,カミノミラクル,ダービーコーラス
1984/04/21,2東京1,晴,4,4歳未勝利,,ダ1600,9,重,1:40.0,,トドロキオーカン,安田富男,元石孝昭,スピリットシロー,ミホノダイセン
1984/04/21,2東京1,晴,5,5歳以上未勝利,,障3100,9,重,3:35.7,,ダイナガーランド,山田展裕,大和田稔,マルゴラッキー,プランスポート
1984/04/21,2東京1,曇,6,5歳以上400万下,,ダ2300,7,稍,2:25.9,,スイートボルドー,柴田政人,田中和一郎,パラストプリンス,オンワードムラマサ
1984/04/21,2東京1,曇,7,4歳400万下,,ダ1700,10,稍,1:46.1,,イズミプリンセス,蛯沢誠治,野平富久,ハヤポエム,グランカッサー
1984/04/21,2東京1,曇,8,5歳以上800万下,,ダ1700,8,稍,1:45.2,,トウシンファスト,嶋田功,佐藤征助,サクラサワヤカ,ダイナアトラス
1984/04/21,2東京1,曇,9,八重桜賞(400万下),,芝1400,17,稍,1:24.9,,ダイナドライブ,東信二,田中朋次郎,パールパシフィック,アンバースイング
1984/04/21,2東京1,曇,10,清里特別(800万下),,芝1800,10,稍,1:51.3,,エバーグレイス,柴田政人,森安弘昭,ヒロテンシ,ヤマセオーヒ
1984/04/21,2東京1,曇,11,晩春特別(1300万下),,芝2000,16,稍,2:02.7,,イナノラバージョン,安田富男,矢野照正,スーパーサバンナ,ペキンリュウエン
1984/04/21,2東京1,曇,12,5歳以上800万下,,ダ1700,8,稍,1:44.3,,シンガロピン,柴田政人,柴田欣也,ユウワバチェラー,ヤングカップー
1984/04/21,3京都1,曇,1,4歳以上300万下,,ダ1400,9,重,1:27.9,,アカイワキング,田島良保,池江泰郎,スズカカジン,ハクトクキング
