開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
1984/03/10,1小倉1,晴,10,和布刈特別(800万下),,芝2000,9,良,2:03.2,,ヒロフブキ,松田幸春,松田由太郎,キタノガビー,スルガシャトウ,4:４歳以上,870.0
1984/03/10,1小倉1,晴,11,5歳以上400万下,,芝1800,16,良,1:49.8,,インタークレスト,内田国夫,清水久雄,エバーグレイス,カンパクレディ,4:４歳以上,490.0
1984/03/04,2中山4,晴,1,4歳未勝利,,ダ1800,13,稍,1:54.8,,レインボーハード,郷原洋行,田村勝男,マルゼンモーリ,クリヨンシロー,2:３歳,350.0
1984/03/04,2中山4,晴,2,4歳未勝利,,ダ1700,12,稍,1:47.7,,ダービークリヤー,安田富男,諏訪富三,サクラホマレオー,ヒロブレスト,2:３歳,350.0
1984/03/04,2中山4,晴,3,4歳新馬,,ダ1200,14,稍,1:12.1,,トウエン,岡部幸雄,前田禎,カシワクレバー,ヒメヒロイン,2:３歳,440.0
1984/03/04,2中山4,晴,4,4歳400万下,,ダ1200,13,稍,1:11.4,,マルタカストーム,菅原泰夫,本郷一彦,エプソムカイザー,キクカリュウセイ,2:３歳,480.0
1984/03/04,2中山4,晴,5,4歳未勝利,,芝2000,16,稍,2:06.1,,ヒロスマイリー,岡部幸雄,高橋祥泰,アサヒビート,ハリケーンアサ,2:３歳,350.0
1984/03/04,2中山4,晴,6,4歳400万下,,芝1800,13,良,1:51.4,,ルーミナスレイサー,菅原泰夫,仲住芳雄,ヤノウンリュウ,トーアサスペンス,2:３歳,480.0
1984/03/04,2中山4,晴,7,5歳以上800万下,,ダ1700,12,良,1:45.8,,ケンセツトップ,加賀武見,野平好男,ガバナーリーダー,サバンナケイ,4:４歳以上,640.0
1984/03/04,2中山4,晴,8,5歳以上400万下,,ダ1800,16,良,1:52.1,,サクラガイセン,小島太,久保田彦之,クアトロ,ハーバーピオン,4:４歳以上,490.0
1984/03/04,2中山4,晴,9,総武特別(800万下),,芝2500,12,良,2:37.1,,カシマアーバン,岩城博俊,斉藤,カリスタホーク,オカポート,4:４歳以上,870.0
1984/03/04,2中山4,晴,10,マーチS(OP),,芝2000,11,良,2:02.3,,ハヤテミグ,郷原洋行,野平好男,トウショウゴッド,サクラシンボリ,4:４歳以上,1400.0
1984/03/04,2中山4,晴,11,報知杯弥生賞(OP),,芝2000,14,良,2:01.7,,シンボリルドルフ,岡部幸雄,野平祐二,ビゼンニシキ,ニッポースワロー,2:３歳,2800.0
1984/03/04,2中山4,晴,12,5歳以上800万下,,ダ1700,12,良,1:45.6,,クリノワ,的場均,大久保房松,シンガロピン,シラギク,4:４歳以上,640.0
1984/03/04,1阪神4,晴,1,4歳以上,,ダ1800,7,稍,1:56.6,,スリーキャプテン,増井裕,白井寿昭,アヤノパレス,キューティーアイ,3:３歳以上,470.0
1984/03/04,1阪神4,晴,2,4歳未勝利,,ダ1800,8,稍,1:58.2,,カルストンレディー,湯窪幸雄,湯浅三郎,エクシードナムラ,ダイナソレラ,2:３歳,350.0
1984/03/04,1阪神4,晴,3,4歳未勝利,,ダ1800,16,稍,1:57.2,,ニッソウノーザリー,鎌田光也,松田由太郎,センシュウゴールド,ベップヒーロー,2:３歳,350.0
1984/03/04,1阪神4,晴,4,4歳新馬,,ダ1200,10,稍,1:14.4,,チェスターローマン,目野哲也,藤岡範士,アイテイキング,フミノハマナス,2:３歳,440.0
1984/03/04,1阪神4,晴,5,4歳新馬,,芝1600,18,良,1:38.7,,オーゴンダーシュ,西浦勝一,大根田裕也,シルクトップオー,トウシンケンザン,2:３歳,440.0
1984/03/04,1阪神4,晴,6,4歳400万下,,ダ1800,15,稍,1:56.1,,ダイゴジョオー,加用正,北橋修二,ウオーターメロディ,スナークドリーム,2:３歳,480.0
