開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
2012/11/03,3福島1,晴,7,3歳以上500万下,,ダ1150,16,良,1:09.7,32.2-37.5,テンペスタ,吉田隼人,[東]高橋裕,トーセントレジャー,デリケートアーチ
2012/11/03,3福島1,晴,8,3歳以上500万下,,芝2000,12,良,1:58.1,34.1-35.6,プレミアムタイム,横山和生,[東]国枝栄,ルナ,ベルニーニ
2012/11/03,3福島1,晴,9,3歳以上500万下,,芝1200,16,良,1:08.6,33.4-35.2,ロードガルーダ,松山弘平,[西]池江泰寿,ゾクゾク,ヤマニンボンプアン
2012/11/03,3福島1,晴,10,小野川湖特別(500万下),,ダ1700,9,良,1:47.5,30.7-39.2,クリームソーダ,柴山雄一,[東]藤沢和雄,ヤマチョウフェア,シルクラングレー
2012/11/03,3福島1,晴,11,磐梯山特別(1000万下),,芝2600,16,良,2:37.3,35.9-35.8,サクセスパシュート,吉田隼人,[東]牧光二,ナンデヤネン,キンセイポラリス
2012/11/03,3福島1,晴,12,二本松特別(500万下),,芝1800,10,良,1:47.6,35.7-35.0,ドラゴンライズ,丸田恭介,[東]久保田貴,カシノスターライト,アップルジャック
2012/11/03,5東京1,晴,1,2歳未勝利,,ダ1600,16,良,1:40.2,35.8-38.5,デルマヌラリヒョン,浜中俊,[東]古賀史生,ショウナンアズサ,ハブアストロール
2012/11/03,5東京1,晴,2,2歳未勝利,,ダ1400,12,良,1:27.5,36.6-37.8,プラティーヌ,横山典弘,[東]鈴木伸尋,フィールザロマンス,クレバーパルマ
2012/11/03,5東京1,晴,3,2歳未勝利,,芝1800,9,良,1:48.3,35.3-34.9,ダイビングボード,北村宏司,[東]高柳瑞樹,ロングシャドウ,サークルオブライフ
2012/11/03,5東京1,晴,4,障害3歳以上OP,,障3100,14,良,3:27.1,104.0-0.0,ゴールデンガッツ,金子光希,[西]加用正,サトノケンオー,ハクサン
2012/11/03,5東京1,晴,5,2歳新馬,,芝1800,13,良,1:50.8,37.8-34.1,トウショウプライド,田辺裕信,[東]武市康男,アルデュード,モンテエベレスト
2012/11/03,5東京1,晴,6,2歳新馬,,芝1400,14,良,1:23.6,37.3-34.0,ワキノキセキ,蛯名正義,[西]清水久詞,カフェブリリアント,ロジヒット
2012/11/03,5東京1,晴,7,3歳以上500万下,,ダ1400,13,良,1:26.0,36.8-36.7,ブロッケン,柴田善臣,[西]山内研二,シルクミライ,ラブリースター
2012/11/03,5東京1,晴,8,3歳以上1000万下,,芝1800,12,良,1:47.3,36.2-34.1,コスモグレースフル,松岡正海,[東]高橋裕,スーパームーン,ニシノジャブラニ
2012/11/03,5東京1,晴,9,伊勢佐木特別(1000万下),,ダ2100,14,良,2:11.7,30.6-37.6,イッシンドウタイ,横山典弘,[東]伊藤圭三,コスタパルメーラ,タナトス
2012/11/03,5東京1,晴,10,奥多摩S(1600万下),,芝1400,12,良,1:20.6,35.5-33.4,サクラゴスペル,横山典弘,[東]尾関知人,プリンセスメモリー,マイネルロガール
2012/11/03,5東京1,晴,11,アルテミスS(G),,芝1600,18,良,1:33.8,34.5-34.9,コレクターアイテム,浜中俊,[西]須貝尚介,アユサン,ウインプリメーラ
2012/11/03,5東京1,晴,12,3歳以上1000万下,,芝1600,13,良,1:33.1,34.5-35.5,フルアクセル,石橋脩,[東]堀宣行,キッズニゴウハン,チェリーヒロイン
2012/11/03,5京都1,晴,1,2歳未勝利,,ダ1800,12,良,1:53.7,38.0-36.5,クリノスターオー,幸英明,[西]高橋義忠,マイネルハルカゼ,スターソード
2012/11/03,5京都1,晴,2,2歳未勝利,,ダ1400,13,良,1:26.4,35.5-38.7,ヒルノケアンズ,和田竜二,[西]北出成人,サンライズトーク,ミラクルルーマー
