開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
1988/04/23,3京都1,晴,9,若草賞(OP),,芝2400,9,良,2:29.5,35.4-37.4,グッドタイミング,村本善之,[西]伊藤雄二,マチカネイトハン,ミントビガー
1988/04/23,3京都1,晴,10,鴨川特別(900万下),,芝1400,18,良,1:23.9,35.9-36.2,プリンシプル,田原成貴,[東]和田正道,ファンドリドン,アサヒスイセイ
1988/04/23,3京都1,晴,11,北大路特別(1400万下),,芝2000,9,良,2:03.5,37.5-36.0,シーキャリアー,松永昌博,[西]高橋直,コガネターボ,ホッポウチェリー
1988/04/23,3京都1,晴,12,4歳以上900万下,,ダ1400,16,良,1:25.9,35.5-38.3,ゴールドペチ,南井克巳,[西]小野幸治,センテーイブキ,ヒロノハック
1988/04/17,3東京8,晴,1,4歳未出走,,ダ1600,16,良,1:41.6,36.2-40.3,チョウカイパール,寺島祐治,[東]橋本輝雄,アサクサペガサス,ロケットパンチ
1988/04/17,3東京8,晴,2,4歳未勝利,,ダ1700,11,良,1:47.2,31.2-38.7,モガミグランディス,小島太,[東]境征勝,シルキードール,イージスドリーム
1988/04/17,3東京8,晴,3,4歳未勝利,,ダ1600,12,良,1:41.4,36.3-40.2,ドウカンマリーナ,大塚栄三,[東]田中朋次,リアルラック,レットロビン
1988/04/17,3東京8,晴,4,4歳未勝利,,ダ1400,12,良,1:27.3,36.4-38.4,ダイゴウシュール,大崎昭一,[東]柴田寛,リキアイモアー,サクラマサルオー
1988/04/17,3東京8,晴,5,4歳400万下,,芝1600,12,良,1:36.0,35.5-36.9,ラブリーエプソム,岡部幸雄,[東]清水利章,ファンシーグッズ,セントマキシム
1988/04/17,3東京8,晴,6,4歳以上400万下,,ダ1400,14,良,1:25.9,34.8-39.2,リバルドセブン,柴田政人,[東]中村貢,マルタカゲイル,ハタノタイコー
1988/04/17,3東京8,晴,7,4歳以上900万下,,芝1400,12,良,1:22.4,35.0-36.0,アローローゼット,柴田政人,[東]高松邦男,ネイティブワンダー,ダイナスマイル
1988/04/17,3東京8,晴,8,山藤賞(400万下),,芝1800,13,良,1:49.0,36.6-35.8,メジロアルダン,岡部幸雄,[東]奥平真治,ナカミリーゼント,ボールドビクター
1988/04/17,3東京8,晴,9,春風賞(1400万下),,ダ1600,8,良,1:37.9,36.2-37.9,セントセイマー,柴田政人,[東]森末之助,ミュージックマン,カツゴースト
1988/04/17,3東京8,晴,10,皐月賞(G1),,芝2000,18,良,2:01.3,35.1-36.4,ヤエノムテキ,西浦勝一,[西]荻野光男,ディクターランド,サクラチヨノオー
1988/04/17,3東京8,晴,11,4歳以上900万下,,ダ2100,11,良,2:13.1,31.2-39.0,タケノオーエンス,東信二,[東]稗田敏男,ツジノダンサー,ラビアングラス
1988/04/17,2阪神8,晴,1,4歳未出走,,ダ1800,13,良,1:56.5,38.1-39.9,ミルフォードイズミ,田所秀孝,[西]田所秀雄,キーフラワー,ジョークロイゾン
1988/04/17,2阪神8,晴,2,4歳未勝利,,ダ1800,9,良,1:56.1,37.4-39.9,アジビジョン,柴田光陽,[西]新川恵,ラビアンチェリー,ディオス
1988/04/17,2阪神8,晴,3,4歳400万下,,ダ1800,7,良,1:56.5,38.4-38.9,ウェルネス,本田優,[西]渡辺栄,スターオブユー,マルブツコマンダー
1988/04/17,2阪神8,晴,4,4歳未勝利,,ダ1200,15,良,1:14.6,36.4-38.2,イブキノタチバナ,増井裕,[西]領家政蔵,ロングユーホー,エイブルユー
1988/04/17,2阪神8,晴,5,4歳未勝利,,ダ1200,16,良,1:14.9,35.8-39.1,ヒロノクーニャン,本田優,[西]清水出美,ゴールドベル,プルライコー
