開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
1988/11/06,5京都2,晴,4,3歳新馬,,芝1600,16,良,1:39.5,35.7-38.4,シンタダシ,岩元市三,[西]布施正,ワンダーアレックス,ヤマヒサボーイ
1988/11/06,5京都2,晴,5,3歳400万下,,芝1400,8,良,1:24.4,36.1-36.5,ファンドリポポ,松永幹夫,[西]夏村辰男,ツルマルオゴジョ,コスモテイオー
1988/11/06,5京都2,晴,6,4歳以上400万下,,ダ1200,16,稍,1:11.9,35.7-36.2,メイショウアサカゼ,須貝尚介,[西]高橋成忠,カルストンペガサス,プロフィール
1988/11/06,5京都2,晴,7,4歳以上900万下,,芝2200,11,良,2:15.4,35.5-36.1,モガミホンデーム,須貝尚介,[西]須貝彦三,インターアニマート,キスリークイン
1988/11/06,5京都2,晴,8,逢坂山特別(400万下),,芝1600,18,良,1:35.8,36.0-35.7,パッシングショット,南井克巳,[西]橋田満,マルイチテイオー,シンアレグロ
1988/11/06,5京都2,晴,9,天王山特別(900万下),,ダ1400,14,稍,1:24.5,35.4-37.5,ダイナアガサ,山田和広,[西]坪正直,カズミハルコマ,バンブーメモリー
1988/11/06,5京都2,晴,10,菊花賞(G1),,芝3000,18,良,3:07.3,36.9-36.0,スーパークリーク,武豊,[西]伊藤修司,ガクエンツービート,アルファレックス
1988/11/06,5京都2,晴,11,4歳以上900万下,,ダ1800,13,稍,1:50.7,34.3-37.9,ノスタルジア,南井克巳,[西]田中良平,ハッピーダンデイ,イチヨシタイガー
1988/11/05,4福島3,曇,1,3歳未勝利,,ダ1000,8,良,1:02.9,37.3-37.7,サンライトセンプー,横田雅博,[東]橋本輝雄,アイノヒロイン,マツシーザー
1988/11/05,4福島3,曇,2,4歳以上OP,,ダ1700,7,良,1:48.3,31.2-38.6,ワクセイ,堀井雅広,[東]宮沢今朝,オエセスライン,モガミチェリー
1988/11/05,4福島3,曇,3,3歳未勝利,,芝1000,7,良,1:00.0,35.7-36.0,ヤギリクイーン,吉沢宗一,[東]佐藤征助,レインボーアンバー,ギャラントベスト
1988/11/05,4福島3,曇,4,4歳未勝利,,ダ1700,12,良,1:48.8,29.9-40.2,パリスファントム,西園正都,[西]宇田明彦,フジノオサフネ,イナノタカオ
1988/11/05,4福島3,曇,5,4歳未勝利,,ダ1000,12,良,1:01.2,35.6-37.5,パタゴニヤ,増沢末夫,[東]久恒久夫,コウテツプリマ,ムービングレディー
1988/11/05,4福島3,曇,6,4歳未勝利,,芝2000,14,良,2:05.2,35.8-38.5,サンワクラウン,坂井千明,[西]武平三,アカツキレベッカ,ユウコーキング
1988/11/05,4福島3,曇,7,4歳未勝利,,芝1800,13,良,1:52.6,37.0-37.3,ハギノエーワン,増沢末夫,[西]伊藤修司,アンサーズラッキー,キョウワシュウザン
1988/11/05,4福島3,曇,8,会津特別(400万下),,芝1800,6,良,1:51.2,36.7-37.4,ジンジャー,西園正都,[西]宇田明彦,ブルボンネット,フローラベル
1988/11/05,4福島3,曇,9,4歳未勝利,,芝1200,12,良,1:13.0,35.4-37.6,テイストオブハニー,蓑田早人,[東]伊藤竹男,ラッキーダンディ,アサクサメートル
1988/11/05,4福島3,曇,10,奥只見特別(400万下),,芝2000,8,良,2:04.6,36.6-38.1,ファイテングイブキ,小迫次男,[東]野平富久,ドゴールシンボリ,セーバージェット
1988/11/05,4福島3,曇,11,みちのく特別(900万下),,芝2600,11,良,2:45.2,37.1-37.9,フトー,柴崎勇,[東]藤原敏文,サンリマンド,ジョイキング
1988/11/05,4福島3,曇,12,4歳未勝利,,芝1200,12,良,1:12.6,35.2-37.4,ミスノルマンディ,小迫次男,[東]矢野照正,キョウエイブロック,マルタカプリティー
