開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
1988/07/17,2小倉2,曇,4,3歳新馬,,芝1200,7,良,1:12.0,34.2-37.8,アトラスオーカン,西浦勝一,[西]柳田次男,ナッシングボーイ,ツルマルターボー
1988/07/17,2小倉2,曇,5,3歳新馬,,芝1000,9,良,1:00.1,35.0-36.6,サンテンショウ,清水英次,[西]田中康三,シンエイコー,ユートサイクル
1988/07/17,2小倉2,曇,6,4歳未勝利,,芝1800,16,良,1:51.6,36.4-38.7,オンワードダラス,昆貢,[西]武田博,サロニカセレーネ,イチライチカラ
1988/07/17,2小倉2,曇,7,4歳以上400万下,,芝1800,13,良,1:50.3,36.8-36.7,キョウエイサフラン,田島裕和,[西]福島勝,テンザンタカネ,ワンダーステータス
1988/07/17,2小倉2,小雨,8,4歳以上400万下,,芝1200,13,良,1:10.5,34.1-36.4,スガハラテンジン,熊沢重文,[西]内藤繁春,ロジータバンブー,ウエスタンピット
1988/07/17,2小倉2,曇,9,英彦山特別(400万下),,芝2000,8,良,2:03.3,36.2-36.8,ライラックエース,須貝尚介,[西]須貝彦三,マンノパワー,グランドデューク
1988/07/17,2小倉2,雨,10,博多特別(900万下),,芝1800,12,良,1:49.1,37.3-36.1,タマモハッピー,南井克巳,[西]小原伊佐,アンリトル,ノーザンネイチャー
1988/07/17,2小倉2,雨,11,小倉日経賞(OP),,芝1700,9,稍,1:42.1,30.2-37.1,ロングクイック,内田国夫,[西]小野幸治,アズマビワコ,ミスターボーイ
1988/07/17,2小倉2,雨,12,4歳以上400万下,,芝1200,15,稍,1:11.0,34.3-36.7,ダイナソルシエール,清水英次,[西]坂田正行,アグネスハヤテ,ウイニングベット
1988/07/16,2札幌3,晴,1,3歳新馬,,ダ1200,5,良,1:15.2,36.4-38.8,リンカーンシチー,的場均,[東]見上恒芳,センターグレイバー,キタノコウザン
1988/07/16,2札幌3,晴,2,3歳新馬,,ダ1000,6,良,1:01.2,36.1-37.1,ハクヨウコマンド,斉藤博美,[西]斉藤義美,スーパーエクシード,ホワイトウエイ
1988/07/16,2札幌3,晴,3,3歳未勝利,,ダ1200,10,良,1:14.3,36.0-38.3,アンシストリー,柴田政人,[東]畠山重則,リバルドサキ,スポーツマスター
1988/07/16,2札幌3,晴,4,4歳未勝利,,ダ1800,8,良,1:55.6,37.0-39.9,シーソロン,松永幹夫,[西]高橋直,ブライダルベル,ウォータープラム
1988/07/16,2札幌3,晴,5,4歳未勝利,,ダ1500,9,良,1:35.1,31.5-38.7,ホクトソロモン,鹿戸雄一,[東]久保田金,アクティブスキー,ブックラバー
1988/07/16,2札幌3,晴,6,4歳未勝利,,ダ1500,10,良,1:35.2,31.6-39.0,ヤグラエリナー,松永幹夫,[西]中尾謙太,パタゴニヤ,アローパストラル
1988/07/16,2札幌3,晴,7,4歳以上400万下,,ダ2000,11,良,2:07.0,35.8-39.0,ベンガルタイガー,東信二,[東]阿部新生,ゴールドピネース,スコッチダンサー
1988/07/16,2札幌3,晴,8,室蘭特別(400万下),,ダ1500,10,良,1:32.5,30.7-37.5,エルカミノ,村本善之,[東]鈴木清,ライトベーター,ジャックオーカン
1988/07/16,2札幌3,晴,9,知床特別(400万下),,ダ1800,8,良,1:54.4,36.5-40.3,フォスターヒーロー,安田富男,[東]佐藤勝美,トウショウゼウス,ホリノイメージ
1988/07/16,2札幌3,晴,10,STV賞(900万下),,ダ1200,8,良,1:12.2,34.6-37.6,グレートプレーンズ,鹿戸雄一,[東]久恒久夫,ジェントリー,サンジャクソン
1988/07/16,2札幌3,晴,11,4歳以上900万下,,ダ2000,11,良,2:05.8,36.2-38.8,アサクサキャリア,田原成貴,[東]内藤一雄,ソダカザン,リワードランキング
