開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
2006/07/22,2新潟3,曇,8,3歳以上500万下,,ダ1800,14,稍,1:53.3,36.5-38.1,シュウザンアイ,柴田善臣,[東]鈴木康弘,ゴーファイトウィン,ツルマイクィーン
2006/07/22,2新潟3,曇,9,マリーゴールド賞(OP),,芝1400,10,良,1:22.2,34.0-36.1,ハロースピード,吉田隼人,[東]相沢郁,ピンクカメオ,マルカハンニバル
2006/07/22,2新潟3,曇,10,苗場特別(1000万下),,ダ1200,15,稍,1:11.1,33.8-37.3,キープザフェイス,田中勝春,[東]池上昌弘,プライベートエリア,アドマイヤキラメキ
2006/07/22,2新潟3,曇,11,火打山特別(1000万下),,芝1400,18,良,1:21.3,33.7-35.8,ジョイントスターズ,蛯名正義,[東]岩戸孝樹,フェザーレイ,ウインレックス
2006/07/22,2新潟3,曇,12,3歳以上500万下,,芝1800,18,良,1:47.8,35.5-34.7,レッドスターライト,大西直宏,[東]松山康久,ダイワバゼラード,シャドウストリーム
2006/07/22,2小倉3,晴,1,3歳未勝利,,ダ1000,14,良,0:58.7,34.1-35.9,ピースプロテクター,川田将雅,[西]崎山博樹,グリューエント,メークアポイント
2006/07/22,2小倉3,曇,2,3歳未勝利,,芝1200,18,良,1:08.2,33.1-35.1,アソビゴコロ,川田将雅,[西]田中章博,エイユーキャメロン,ポップチャート
2006/07/22,2小倉3,曇,3,3歳未勝利,,芝1800,16,良,1:47.0,35.4-35.9,スズカダーク,武豊,[西]武宏平,ハギノリュウ,ドマーニ
2006/07/22,2小倉3,曇,4,2歳新馬,,ダ1000,9,良,1:00.8,34.6-38.0,アインファスター,内田浩一,[西]宮徹,ロードクルーザー,ワキノドライバー
2006/07/22,2小倉3,晴,5,2歳新馬,,芝1200,13,良,1:08.2,33.2-35.0,シャルマンレーヌ,和田竜二,[西]中尾正,アストンマーチャン,ナンゴクプラネット
2006/07/22,2小倉3,晴,6,3歳未勝利,,ダ1700,15,良,1:48.0,30.3-38.9,トップコーナー,赤木高太,[西]境直行,ストロングパワー,デンコウニンジャ
2006/07/22,2小倉3,晴,7,3歳以上500万下,,芝1200,12,良,1:07.7,32.9-34.8,ストーンブリッジ,武豊,[西]坂口正則,ヴァーチュ,ウイングビート
2006/07/22,2小倉3,晴,8,3歳以上500万下,,芝1800,11,良,1:48.3,37.4-34.3,ロックスピリッツ,武豊,[西]池江泰寿,ジーンハンター,アドマイヤコング
2006/07/22,2小倉3,晴,9,小倉サマージャンプ(J.G3),,障3390,14,良,3:42.0,106.0-0.0,コウエイトライ,小坂忠士,[西]田所清広,キングジョイ,モガリブエ
2006/07/22,2小倉3,晴,10,玄海特別(1000万下),,芝1800,12,良,1:46.2,35.9-34.7,ブライトトゥモロー,和田竜二,[西]石坂正,ピカレスクコート,トーワクリスタル
2006/07/22,2小倉3,晴,11,小郡特別(1000万下),,芝1200,11,良,1:07.0,32.3-34.7,マルカジーク,福永祐一,[西]瀬戸口勉,カリプソパンチ,スピードタッチ
2006/07/22,2小倉3,晴,12,指宿特別(500万下),,ダ1700,15,良,1:45.9,29.4-39.2,ハスフェル,渡辺薫彦,[西]南井克巳,ウォーターダッシュ,レディキラー
2006/07/16,2函館2,晴,1,2歳未勝利,,芝1200,12,良,1:11.6,34.6-37.0,モデスティー,木幡初広,[東]高橋裕,プレーザヒーロー,ヤマカツシリウス
2006/07/16,2函館2,晴,2,3歳未勝利,,ダ1000,11,良,1:00.4,35.2-37.2,カザバナジョウ,秋山真一,[東]和田正道,ベレッツァ,シックスポケット
2006/07/16,2函館2,晴,3,3歳未勝利,,ダ1700,13,良,1:49.8,30.7-39.2,パワーコレクター,横山典弘,[東]萩原清,サンライズヴァトー,アルタントプチ
