開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
2014/09/13,3新潟1,雨,11,紫苑S(OP),,芝2000,18,不,2:03.3,35.9-35.8,レーヴデトワール,川田将雅,[西]松田博資,ショウナンパンドラ,マイネグレヴィル
2014/09/07,2札幌6,晴,10,すずらん賞(OP),,芝1200,15,良,1:10.8,34.2-36.6,ペイシャオブロー,丹内祐次,[東]菅原泰夫,ヤマカツエース,トロピカルガーデン
2014/09/07,2札幌6,晴,11,丹頂S(OP),,芝2600,14,良,2:43.2,37.0-37.0,タマモベストプレイ,津村明秀,[西]南井克巳,サトノシュレン,サクラボールド
2014/09/07,2新潟12,晴,11,新潟記念(G3),,芝2000,18,良,1:58.3,35.9-35.2,マーティンボロ,ローウィ,[西]友道康夫,クランモンタナ,ラストインパクト
2014/09/07,2小倉12,晴,11,小倉2歳S(G3),,芝1200,17,良,1:08.4,33.0-35.4,オーミアリス,国分優作,[西]藤沢則雄,レオパルディナ,スノーエンジェル
2014/09/06,2札幌5,晴,11,札幌2歳S(G3),,芝1800,14,良,1:50.0,36.5-36.6,ブライトエンブレム,田辺裕信,[東]小島茂之,マイネルシュバリエ,レッツゴードンキ
2014/08/31,2札幌4,晴,11,キーンランドC(G3),,芝1200,16,良,1:09.0,34.1-34.9,ローブティサージュ,三浦皇成,[西]須貝尚介,レッドオーヴァル,マジンプロスパー
2014/08/31,2新潟10,晴,10,朱鷺S(OP),,芝1400,14,良,1:20.8,34.6-34.6,サクラアドニス,和田竜二,[西]村山明,コウヨウアレス,オリービン
2014/08/31,2新潟10,晴,11,新潟2歳S(G3),,芝1600,18,良,1:33.4,35.2-34.3,ミュゼスルタン,柴田善臣,[東]大江原哲,アヴニールマルシェ,ニシノラッシュ
2014/08/31,2小倉10,曇,11,小倉日経OP(OP),,芝1800,12,良,1:45.2,34.7-36.4,サトノジュピター,藤岡佑介,[東]堀宣行,スピリタス,ゲシュタルト
2014/08/30,2小倉9,晴,9,ひまわり賞(OP),,芝1200,17,良,1:09.0,33.6-35.4,エフェクト,国分優作,[西]服部利之,クリノヤクマン,カシノリノ
2014/08/24,2札幌2,晴,11,札幌記念(G2),,芝2000,14,良,1:59.1,34.9-36.3,ハープスター,川田将雅,[西]松田博資,ゴールドシップ,ホエールキャプチャ
2014/08/24,2小倉8,晴,11,TV西日本北九州記念(G3),,芝1200,18,良,1:07.5,33.1-34.4,リトルゲルダ,丸田恭介,[西]鮫島一歩,メイショウイザヨイ,カイシュウコロンボ
2014/08/17,1札幌8,晴,11,UHB賞(OP),,芝1200,16,良,1:09.0,34.3-34.7,マヤノリュウジン,池添謙一,[西]庄野靖志,スマートオリオン,ブランダムール
2014/08/17,2新潟6,曇,11,関屋記念(G3),,芝1600,16,稍,1:32.5,34.9-34.4,クラレント,田辺裕信,[西]橋口弘次,ダノンシャーク,サトノギャラント
2014/08/16,1札幌7,晴,10,コスモス賞(OP),,芝1800,9,良,1:51.4,36.2-36.4,マイネルサクセサー,柴山雄一,[東]畠山重則,グランカマラード,ラブミークン
2014/08/16,2小倉5,曇,9,フェニックス賞(OP),,芝1200,10,稍,1:09.0,33.8-35.2,レオパルディナ,武幸四郎,[西]高橋康之,クールホタルビ,マルトクビクトリー
2014/08/10,1札幌6,曇,11,札幌日経OP(OP),,芝2600,12,良,2:40.9,37.8-34.6,バンデ,三浦皇成,[西]矢作芳人,ラブラドライト,モビール
2014/08/10,2小倉4,雨,11,小倉記念(G3),,芝2000,14,稍,1:59.8,34.7-35.8,サトノノブレス,和田竜二,[西]池江泰寿,マーティンボロ,メイショウナルト
2014/08/09,1札幌5,晴,10,クローバー賞(OP),,芝1500,13,良,1:29.5,29.3-36.4,トーセンラーク,吉田隼人,[東]菅原泰夫,ノットフォーマル,ウインバローラス
