開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
2014/08/09,2新潟3,曇,9,ダリア賞(OP),,芝1400,13,稍,1:22.3,34.5-35.9,ワキノヒビキ,北村宏司,[西]清水久詞,ナイアガラモンロー,コスモピーコック
2014/08/03,1札幌4,晴,11,クイーンS(G3),,芝1800,14,良,1:45.7,35.1-36.4,キャトルフィーユ,福永祐一,[西]角居勝彦,アロマティコ,スマートレイアー
2014/08/03,2新潟2,晴,11,アイビスサマーD(G3),,芝1000,12,良,0:54.3,32.2-32.6,セイコーライコウ,柴田善臣,[東]鈴木康弘,フクノドリーム,アースソニック
2014/07/27,2福島8,曇,11,福島テレビOP(OP),,芝1800,16,良,1:47.4,35.7-36.4,ムーンリットレイク,戸崎圭太,[東]加藤征弘,アロマカフェ,レッドレイヴン
2014/07/27,3中京8,晴,9,報知杯中京2歳S(OP),,芝1600,9,稍,1:40.5,37.6-36.5,ケツァルテナンゴ,浜中俊,[西]笹田和秀,ドルメロ,テイケイラピッド
2014/07/27,3中京8,曇,11,トヨタ賞中京記念(G3),,芝1600,16,稍,1:37.1,35.5-37.0,サダムパテック,田中勝春,[西]西園正都,ミッキードリーム,マジェスティハーツ
2014/07/20,2函館6,曇,11,函館記念(G3),,芝2000,16,良,2:00.1,35.8-36.8,ラブイズブーシェ,古川吉洋,[西]村山明,ダークシャドウ,ステラウインド
2014/07/20,2福島6,曇,11,バーデンバーデンC(OP),,芝1200,16,稍,1:08.8,33.2-35.6,マヤノリュウジン,横山典弘,[西]庄野靖志,バーバラ,アンバルブライベン
2014/07/19,2函館5,曇,11,函館2歳S(G3),,芝1200,16,良,1:10.2,34.1-36.1,アクティブミノル,藤岡康太,[西]北出成人,タケデンタイガー,トウショウピスト
2014/07/13,2福島4,曇,11,七夕賞(G3),,芝2000,16,良,1:58.7,34.8-36.0,メイショウナルト,田辺裕信,[西]武田博,ニューダイナスティ,マイネルラクリマ
2014/07/06,2函館2,晴,11,巴賞(OP),,芝1800,10,良,1:48.1,36.6-35.6,アロマティコ,三浦皇成,[西]佐々木晶,セイルラージ,ミッキーパンプキン
2014/07/06,2福島2,晴,11,ラジオNIKKEI賞(G3),,芝1800,16,良,1:45.9,34.2-35.4,ウインマーレライ,松岡正海,[東]高木登,クラリティシチー,ウインフェニックス
2014/07/06,3中京2,曇,11,CBC賞(G3),,芝1200,16,良,1:08.6,34.2-34.4,トーホウアマポーラ,福永祐一,[西]高橋亮,エピセアローム,ニンジャ
2014/06/29,3東京8,晴,11,パラダイスS(OP),,芝1400,13,稍,1:22.5,35.5-35.3,ミトラ,蛯名正義,[東]萩原清,コウヨウアレス,マイネルディアベル
2014/06/29,3阪神8,曇,11,宝塚記念(G1),,芝2200,12,良,2:13.9,36.4-35.6,ゴールドシップ,横山典弘,[西]須貝尚介,カレンミロティック,ヴィルシーナ
2014/06/22,1函館4,晴,11,函館スプリントS(G3),,芝1200,14,良,1:08.5,33.8-34.7,ガルボ,津村明秀,[東]清水英克,ローブティサージュ,クリスマス
2014/06/22,3阪神6,曇,11,米子S(OP),,芝1600,12,良,1:34.8,35.6-35.5,サンライズメジャー,福永祐一,[西]浜田多実,ブレイズアトレイル,サンレイレーザー
2014/06/15,3東京4,晴,11,エプソムC(G3),,芝1800,17,良,1:46.2,35.9-34.2,ディサイファ,四位洋文,[東]小島太,マイネルラクリマ,ダークシャドウ
2014/06/15,3阪神4,晴,11,マーメイドS(G3),,芝2000,14,良,1:59.4,35.9-34.8,ディアデラマドレ,藤岡康太,[西]角居勝彦,コスモバルバラ,フーラブライド
2014/06/08,3東京2,小雨,11,安田記念(G1),,芝1600,17,不,1:36.8,35.1-37.7,ジャスタウェイ,柴田善臣,[西]須貝尚介,グランプリボス,ショウナンマイティ
