開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
2014/03/29,2阪神1,晴,11,毎日杯(G3),,芝1800,14,良,1:46.7,35.4-35.0,マイネルフロスト,柴田大知,[東]高木登,エイシンブルズアイ,ステファノス
2014/03/23,2中山8,晴,11,フジTVスプリングS(G2),,芝1800,15,良,1:48.4,35.8-36.0,ロサギガンティア,Ｍ．デム,[東]藤沢和雄,アジアエクスプレス,クラリティシチー
2014/03/23,1阪神8,晴,11,阪神大賞典(G2),,芝3000,9,良,3:06.6,38.2-35.0,ゴールドシップ,岩田康誠,[西]須貝尚介,アドマイヤラクティ,バンデ
2014/03/22,2中京4,晴,11,中スポ賞ファルコンS(G3),,芝1400,18,良,1:21.2,33.0-36.3,タガノグランパ,福永祐一,[西]松田博資,サトノルパン,アルマエルナト
2014/03/22,1阪神7,晴,11,若葉S(OP),,芝2000,12,良,2:01.4,35.3-35.9,アドマイヤデウス,岩田康誠,[西]橋田満,ウインフルブルーム,サウンズオブアース
2014/03/21,2中山7,晴,11,フラワーC(G3),,芝1800,16,良,1:51.3,37.1-37.0,バウンスシャッセ,北村宏司,[東]藤沢和雄,マイネグレヴィル,パシフィックギャル
2014/03/16,2中山6,晴,10,東風S(OP),,芝1600,16,良,1:34.9,36.0-35.1,シャイニープリンス,後藤浩輝,[東]栗田博憲,コスモソーンパーク,ミッドサマーフェア
2014/03/16,2中山6,晴,11,中山牝馬S(G3),,芝1800,16,良,1:48.5,35.9-36.1,フーラブライド,酒井学,[西]木原一良,ケイアイエレガント,キャトルフィーユ
2014/03/16,1阪神6,晴,11,フィリーズレビュー(G2),,芝1400,16,良,1:22.3,34.6-35.6,ベルカント,武豊,[西]角田晃一,ニホンピロアンバー,エスメラルディーナ
2014/03/15,2中山5,晴,11,アネモネS(OP),,芝1600,16,良,1:36.0,35.3-35.8,ペイシャフェリス,川島信二,[東]高市圭二,ニシノミチシルベ,ウエスタンメルシー
2014/03/15,2中京1,晴,11,中日新聞杯(G3),,芝2000,18,良,2:01.7,37.0-34.9,マーティンボロ,バルジュ,[西]友道康夫,ラキシス,ラブリーデイ
2014/03/09,2中山4,晴,11,報知杯弥生賞(G2),,芝2000,13,良,2:01.4,35.6-36.4,トゥザワールド,川田将雅,[西]池江泰寿,ワンアンドオンリー,アデイインザライフ
2014/03/09,1阪神4,晴,11,大阪城S(OP),,芝1800,12,良,1:45.7,34.8-35.5,スマートレイアー,武豊,[西]大久保龍,ディサイファ,タムロスカイ
2014/03/08,2中山3,晴,11,夕刊フジオーシャンS(G3),,芝1200,16,良,1:08.9,33.9-35.0,スマートオリオン,横山典弘,[東]鹿戸雄一,スノードラゴン,レッドスパーダ
2014/03/08,1阪神3,晴,11,チューリップ賞(G3),,芝1600,13,良,1:34.3,35.3-34.9,ハープスター,川田将雅,[西]松田博資,ヌーヴォレコルト,リラヴァティ
2014/03/02,2中山2,雨,11,中山記念(G2),,芝1800,15,稍,1:49.8,37.3-36.9,ジャスタウェイ,横山典弘,[西]須貝尚介,アルキメデス,ロゴタイプ
2014/03/02,1阪神2,曇,9,すみれS(OP),,芝2200,7,良,2:17.6,37.1-34.9,スズカデヴィアス,バルジュ,[西]橋田満,ワールドインパクト,エイシンハドソン
2014/03/02,1阪神2,曇,11,阪急杯(G3),,芝1400,16,良,1:20.7,33.8-35.8,コパノリチャード,浜中俊,[西]宮徹,サンカルロ,レッドオーヴァル
2014/03/01,1阪神1,小雨,11,アーリントンC(G3),,芝1600,10,良,1:34.0,35.2-35.2,ミッキーアイル,浜中俊,[西]音無秀孝,タガノグランパ,フェルメッツァ
2014/02/24,1東京6,晴,11,共同通信杯(G3),,芝1800,14,良,1:48.1,36.7-33.4,イスラボニータ,蛯名正義,[東]栗田博憲,ベルキャニオン,サトノアラジン
