開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
2014/02/23,2京都8,晴,11,洛陽S(OP),,芝1600,16,良,1:33.8,35.5-35.0,ノーブルジュエリー,小牧太,[西]池江泰寿,サワノパンサー,カオスモス
2014/02/23,1小倉6,晴,11,小倉大賞典(G3),,芝1800,15,良,1:45.3,35.9-34.6,ラストインパクト,川田将雅,[西]松田博資,カフナ,ブレイズアトレイル
2014/02/22,1東京7,晴,11,ダイヤモンドS(G3),,芝3400,11,良,3:30.2,38.7-36.0,フェイムゲーム,北村宏司,[東]宗像義忠,セイクリッドバレー,タニノエポレット
2014/02/18,1東京5,晴,11,デイリー杯クイーンC(G3),,芝1600,15,稍,1:35.7,36.0-34.7,フォーエバーモア,蛯名正義,[東]鹿戸雄一,マジックタイム,ニシノアカツキ
2014/02/17,1東京4,晴,11,東京新聞杯(G3),,芝1600,14,重,1:33.2,34.2-35.1,ホエールキャプチャ,蛯名正義,[東]田中清隆,エキストラエンド,クラレント
2014/02/16,2京都6,晴,11,京都記念(G2),,芝2200,12,稍,2:16.0,38.3-34.2,デスペラード,横山典弘,[西]安達昭夫,トーセンラー,アンコイルド
2014/02/09,2京都4,晴,11,きさらぎ賞(G3),,芝1800,9,稍,1:47.6,35.8-35.5,トーセンスターダム,武豊,[西]池江泰寿,バンドワゴン,エイシンエルヴィン
2014/02/08,2京都3,曇,10,エルフィンS(OP),,芝1600,11,重,1:37.7,37.7-34.8,シャイニーガール,秋山真一,[西]湯窪幸雄,ショウナンパンドラ,チョコレートバイン
2014/02/02,2京都2,晴,11,シルクロードS(G3),,芝1200,16,良,1:07.4,34.1-33.3,ストレイトガール,岩田康誠,[西]藤原英昭,レディオブオペラ,リトルゲルダ
2014/02/01,1東京1,晴,10,クロッカスS(OP),,芝1400,12,良,1:21.9,35.3-34.5,マイネルディアベル,柴田大知,[東]大和田成,タガノブルグ,ツィンクルソード
2014/02/01,1東京1,晴,11,白富士S(OP),,芝2000,14,良,1:59.8,36.3-35.1,エアソミュール,戸崎圭太,[西]角居勝彦,アロマカフェ,サムソンズプライド
2014/01/26,1中山9,曇,11,アメリカジョッキーC(G2),,芝2200,16,良,2:14.0,36.5-36.4,ヴェルデグリーン,田辺裕信,[東]相沢郁,サクラアルディート,フェイムゲーム
2014/01/25,1京都8,晴,10,若駒S(OP),,芝2000,8,良,2:00.0,36.2-34.5,トゥザワールド,川田将雅,[西]池江泰寿,ミヤビジャスパー,アドミラルシップ
2014/01/25,1京都8,晴,11,京都牝馬S(G3),,芝1600,16,良,1:33.0,35.1-34.1,ウリウリ,浜中俊,[西]藤原英昭,ドナウブルー,ノーブルジュエリー
2014/01/19,1中山7,晴,11,京成杯(G3),,芝2000,16,良,2:01.1,36.3-36.8,プレイアンドリアル,柴田大知,[地]河津裕昭,キングズオブザサン,アデイインザライフ
2014/01/19,1京都7,晴,10,紅梅S(OP),,芝1400,13,良,1:23.9,37.0-34.3,アドマイヤビジン,四位洋文,[西]梅田智之,マラムデール,シャイニーガール
2014/01/19,1京都7,晴,11,日経新春杯(G2),,芝2400,16,良,2:24.4,35.9-34.7,サトノノブレス,ルメール,[西]池江泰寿,アドマイヤフライト,フーラブライド
2014/01/18,1中山6,晴,11,ニューイヤーS(OP),,芝1600,16,良,1:33.4,34.9-35.4,レッドアリオン,蛯名正義,[西]橋口弘次,セイルラージ,ルナ
2014/01/13,1中山5,晴,11,フェアリーS(G3),,芝1600,16,良,1:36.3,36.1-35.9,オメガハートロック,戸崎圭太,[東]堀宣行,ニシノアカツキ,リラヴァティ
2014/01/13,1京都5,晴,11,淀短距離S(OP),,芝1200,16,良,1:07.4,33.8-33.6,レディオブオペラ,藤田伸二,[西]白井寿昭,エピセアローム,ローガンサファイア
