開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
2018/01/20,1中山6,曇,7,3歳500万下,,ダ1200,14,稍,1:11.7,34.4-37.3,タマモアモーレ,武藤雅,[東]伊藤圭三,フェリーチェ,カミノコ,2:３歳,720.0
2018/01/20,1中山6,曇,8,4歳以上500万下,,ダ1200,16,稍,1:11.9,34.2-37.7,アースヴィグラス,横山典弘,[東]粕谷昌央,アルゴロオジエ,レアドロップ,4:４歳以上,750.0
2018/01/20,1中山6,曇,9,初茜賞(1000万下),,ダ1800,13,稍,1:51.9,37.3-37.1,ハイランドピーク,横山典弘,[東]土田稔,リヴァイアサン,コティニャック,4:４歳以上,1500.0
2018/01/20,1中山6,曇,10,東雲賞(1000万下),,芝1600,13,良,1:34.6,36.1-35.0,モアナ,内田博幸,[東]高橋文雅,ショウナンアンセム,シャララ,4:４歳以上,1500.0
2018/01/20,1中山6,曇,11,アレキサンドライトS(1600万下),,ダ1800,16,稍,1:53.7,37.5-37.4,フェニックスマーク,横山典弘,[東]田島俊明,ブライトンロック,エネスク,4:４歳以上,1820.0
2018/01/20,1中山6,曇,12,4歳以上500万下,,芝2200,16,良,2:14.9,36.1-36.5,クレッシェンドラヴ,内田博幸,[東]二ノ宮敬,プレイヤーサムソン,サトノキングダム,4:４歳以上,750.0
2018/01/20,1中京3,晴,1,3歳未勝利,,ダ1800,13,稍,1:55.8,37.8-37.9,キングブラック,荻野極,[西]大橋勇樹,ボードウォーク,エケトロス,2:３歳,500.0
2018/01/20,1中京3,晴,2,3歳未勝利,,ダ1400,16,稍,1:26.9,35.9-38.2,アルベルティーヌ,柴山雄一,[東]栗田徹,タガノエルフ,リネンゴール,2:３歳,500.0
2018/01/20,1中京3,晴,3,3歳未勝利,,ダ1200,16,稍,1:13.1,35.9-37.2,セイウンクールガイ,佐藤友則,[東]奥平雅士,アウトバーン,クーファエラン,2:３歳,500.0
2018/01/20,1中京3,晴,4,障害4歳以上未勝利,,障3000,14,良,3:18.6,108.0-0.0,シゲルゴリラ,草野太郎,[東]蛯名利弘,スリージェット,ユキノマルガリータ,4:４歳以上,780.0
2018/01/20,1中京3,晴,5,障害4歳以上OP,,障3330,11,良,3:42.0,105.0-0.0,マイネルピクトル,五十嵐雄,[東]青木孝文,リスヴェリアート,ヤマタケジャイアン,4:４歳以上,1350.0
2018/01/20,1中京3,晴,6,4歳以上500万下,,ダ1800,16,稍,1:54.5,37.5-39.7,プエルタデルソル,藤岡康太,[西]高橋康之,メイショウナンプウ,セヴィルロアー,4:４歳以上,750.0
2018/01/20,1中京3,晴,7,3歳未勝利,,芝2000,18,良,2:03.1,36.1-37.6,ハーツフェルト,北村友一,[西]角居勝彦,ミッドサマーコモン,ラヴファンシフル,2:３歳,500.0
2018/01/20,1中京3,晴,8,4歳以上500万下,,芝1400,18,良,1:22.0,34.5-35.7,シンボリバーグ,杉原誠人,[東]藤沢和雄,カウントオンイット,カトルラポール,4:４歳以上,750.0
2018/01/20,1中京3,晴,9,4歳以上500万下,,ダ1400,16,稍,1:25.2,35.1-37.7,ホノルア,岩崎翼,[西]西橋豊治,ラインフィール,ラーナアズーラ,4:４歳以上,750.0
2018/01/20,1中京3,晴,10,なずな賞(500万下),,芝1400,11,良,1:23.0,35.7-35.3,アリア,丸山元気,[西]沖芳夫,アトレヴィード,アーデルワイゼ,2:３歳,1000.0
2018/01/20,1中京3,晴,11,中京スポニチ賞(1000万下),,ダ1900,15,稍,2:00.0,31.2-38.6,サトノプライム,古川吉洋,[西]南井克巳,ルドルフィーナ,アガスティア,4:４歳以上,1500.0
2018/01/20,1中京3,晴,12,熱田特別(500万下),,芝2000,17,良,2:03.5,36.9-35.7,アドマイヤローザ,藤岡康太,[西]梅田智之,アウステルリッツ,ハギノカエラ,4:４歳以上,1050.0
2018/01/20,1京都6,晴,1,3歳未勝利,,ダ1200,16,重,1:12.6,35.5-37.1,エナジーピエトラ,幸英明,[西]松下武士,エイスノート,メイショウキタグニ,2:３歳,500.0
2018/01/20,1京都6,晴,2,3歳未勝利,,ダ1800,13,重,1:55.7,37.4-39.6,ロイヤルパールス,高倉稜,[西]湯窪幸雄,セレンディバイト,ラドルクス,2:３歳,500.0
