開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
2009/10/03,4中山7,曇,11,内房S(1600万下),,ダ1200,16,稍,1:10.2,33.6-36.6,ジェイケイセラヴィ,江田照男,[東]坂本勝美,インプルーヴ,サラトガ
2009/10/03,4中山7,曇,12,3歳以上500万下,,芝1600,16,稍,1:34.8,35.9-34.9,ラドラーダ,北村宏司,[東]藤沢和雄,ベストラン,アポロストーム
2009/10/03,4阪神7,晴,1,2歳未勝利,,芝1200,11,稍,1:09.4,34.4-35.0,アドマイヤサーフ,岩田康誠,[西]須貝尚介,テイエムファイヤー,マッシヴジェネラル
2009/10/03,4阪神7,晴,2,2歳未勝利,,芝1800,16,稍,1:47.9,35.1-35.7,タニノエポレット,武豊,[西]村山明,グリューネワルト,ベストクルーズ
2009/10/03,4阪神7,晴,3,3歳未勝利,,ダ1800,9,重,1:54.2,38.4-37.2,ポイマンドレース,岩田康誠,[西]友道康夫,サザンオーカン,タナカラボタモチ
2009/10/03,4阪神7,晴,4,2歳新馬,,芝1800,11,稍,1:49.9,36.1-34.7,ブラックゼット,池添謙一,[西]池添兼雄,ティルス,メイショウカンパク
2009/10/03,4阪神7,晴,5,3歳未勝利,,ダ1200,15,重,1:13.6,35.9-37.7,アンディーフロイデ,古川吉洋,[西]安田隆行,ハンサムウーマン,ピサノヴァロン
2009/10/03,4阪神7,晴,6,3歳以上500万下,,ダ1800,16,重,1:53.3,36.5-38.1,アドマイヤインディ,川田将雅,[西]梅田智之,ミコノス,カスガ
2009/10/03,4阪神7,晴,7,3歳以上500万下,,芝2200,10,良,2:15.0,35.5-35.2,テンシノマズル,中村将之,[西]田所秀孝,フェルヴィード,ダンシングラプター
2009/10/03,4阪神7,晴,8,ききょうS(OP),,芝1400,16,良,1:22.4,34.5-35.8,ダッシャーゴーゴー,佐藤哲三,[西]安田隆行,ニシノモレッタ,ラブグランデー
2009/10/03,4阪神7,晴,9,浅口特別(1000万下),,芝1200,14,良,1:08.8,33.8-35.0,グッドルッキング,秋山真一,[西]野村彰彦,ヤマカツマリリン,ビーチアイドル
2009/10/03,4阪神7,晴,10,シリウスS(G3),,ダ2000,16,稍,2:04.5,35.7-37.2,ワンダーアキュート,和田竜二,[西]佐藤正雄,ダークメッセージ,ゴールデンチケット
2009/10/03,4阪神7,晴,11,3歳以上500万下,,ダ1800,10,稍,1:53.2,35.7-39.5,アドマイヤアゲイン,安藤勝己,[西]松田博資,ディアマジェスティ,ガリアーノ
2009/10/03,4阪神7,晴,12,3歳以上500万下,,ダ1400,16,稍,1:24.3,34.6-37.9,シーアクロス,大下智,[西]梅内忍,スプラッシュエンド,クーノキセキ
2009/09/27,4新潟6,晴,1,2歳未勝利,,芝1600,18,良,1:35.8,36.0-34.6,ペガサスキングビー,丸田恭介,[西]増本豊,マイネルマッシモ,テンシノアスター
2009/09/27,4新潟6,晴,2,3歳未勝利,,ダ1800,13,良,1:53.8,36.1-38.6,エレガントマナー,中舘英二,[東]萩原清,ウインクドン,フローラルウインド
2009/09/27,4新潟6,晴,3,3歳未勝利,,芝2200,18,良,2:14.9,34.9-36.6,キャッツテイル,国分優作,[東]高橋義博,シュンリキ,メガチューズデー
2009/09/27,4新潟6,晴,4,3歳未勝利,,芝1000,18,良,0:55.0,32.1-33.5,アグネスロージイ,吉田隼人,[西]森秀行,ブレンニューライフ,フラワーウィンド
2009/09/27,4新潟6,晴,5,2歳新馬,,ダ1200,12,良,1:13.5,35.7-37.8,ヒシヴェリタス,木幡初広,[西]小島貞博,キセンハボク,ストラヴィンモカ
2009/09/27,4新潟6,晴,6,3歳以上500万下,,ダ1800,14,良,1:52.7,35.8-38.4,タニノロッキー,吉田隼人,[西]河内洋,ヴァルドルフ,シルクペガサス
