開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
2005/05/07,3京都5,曇,2,3歳未勝利,,ダ1800,15,不,1:54.2,36.5-38.6,ザカラーオブラヴ,武豊,[西]五十嵐忠,シルクホームラン,カワカミパウダー
2005/05/07,3京都5,曇,3,3歳未勝利,,ダ1200,16,不,1:13.0,36.0-37.0,グランディバローズ,佐藤哲三,[西]佐々木晶,タイキカムイ,ウインクルスパーク
2005/05/07,3京都5,曇,4,3歳未勝利,,芝1200,16,重,1:10.3,35.0-35.3,ゼンノゴウシュウ,武豊,[西]森秀行,スターペスミツコ,チェリーカズオー
2005/05/07,3京都5,晴,5,3歳未勝利,,芝1600,17,稍,1:36.5,34.3-37.2,キクノパルティータ,武豊,[西]加用正,ホッコーパドゥシャ,サンライズアタック
2005/05/07,3京都5,晴,6,3歳500万下,,ダ1800,11,重,1:52.8,36.7-38.7,エイシンラージヒル,和田竜二,[西]中尾秀正,ニシノウラシマ,ウォーターダッシュ
2005/05/07,3京都5,晴,7,3歳500万下,,芝1400,15,稍,1:22.5,34.7-35.8,ファイトザパワー,熊沢重文,[西]田所秀孝,コイセヨオトメ,ノーヴァーチャル
2005/05/07,3京都5,晴,8,4歳以上500万下,,芝1800,17,稍,1:49.4,35.8-35.3,ディアチャンス,藤田伸二,[西]清水出美,ピサノパスティーユ,アルティミットワン
2005/05/07,3京都5,晴,9,鷹ケ峰特別(1000万下),,芝1200,10,稍,1:09.1,34.9-34.2,ファストアズライト,福永祐一,[西]音無秀孝,シーキングマイラブ,マキシマムスピード
2005/05/07,3京都5,晴,10,上賀茂S(1600万下),,ダ1800,16,重,1:51.0,35.0-38.6,マチカネメニモミヨ,武豊,[西]伊藤雄二,エーピーフラッシュ,ペルフェット
2005/05/07,3京都5,晴,11,京都新聞杯(G2),,芝2200,15,稍,2:13.0,35.8-36.3,インティライミ,佐藤哲三,[西]佐々木晶,コメディアデラルテ,アドマイヤフジ
2005/05/07,3京都5,晴,12,4歳以上1000万下,,ダ1400,16,重,1:23.6,34.4-37.0,ツルマルバクシン,安藤勝己,[西]坂口正則,ヤマノサンデーズ,ジオストラ
2005/05/01,1新潟2,晴,1,3歳未勝利,,芝2200,6,良,2:17.8,36.6-35.5,レディマーメイド,柴山雄一,[西]山内研二,マルブツラッキー,エプソムベスト
2005/05/01,1新潟2,晴,2,3歳未勝利,,ダ1800,12,良,1:55.0,35.9-39.6,ヘネシーワールド,北村宏司,[西]谷潔,ゼンノトレヴィ,ホワイトシチー
2005/05/01,1新潟2,晴,3,3歳未勝利,,ダ1200,15,良,1:13.2,35.0-38.2,ゴールドバニヤン,木幡初広,[東]二ノ宮敬,ラコントルアタック,オイワケシンドウ
2005/05/01,1新潟2,晴,4,3歳未勝利,,芝1200,15,良,1:09.8,34.6-35.2,オースミサムソン,南井大志,[西]南井克巳,リトルホープ,ナナヨーティアラ
2005/05/01,1新潟2,晴,5,3歳未勝利,,芝1600,13,良,1:36.4,36.6-34.9,カフェリバティー,松永幹夫,[東]松山康久,カヤドールージュ,スナークブリザード
2005/05/01,1新潟2,晴,6,4歳以上500万下,,ダ1200,15,良,1:12.7,34.5-38.2,ウエスタンルージュ,菊沢隆徳,[東]的場均,キャンパスクイーン,イブキゴルデルゼ
2005/05/01,1新潟2,晴,7,4歳以上500万下,,芝1400,16,良,1:21.9,34.2-35.8,ステキナブロンコ,丹内祐次,[東]鈴木勝美,スターダストカフェ,メジロモーガン
2005/05/01,1新潟2,晴,8,4歳以上500万下,,ダ1200,15,良,1:12.6,35.5-37.1,オーバーチュアー,柴山雄一,[東]秋山雅一,プリンコックス,ビクトリーサーカス
2005/05/01,1新潟2,晴,9,4歳以上500万下,,芝1800,13,良,1:47.0,35.2-35.7,スズサンシャイン,村田一誠,[東]後藤由之,オイワケウコン,トーセンハヤテ
