開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
1998/03/22,2中山8,曇,2,4歳未勝利,,ダ1200,16,稍,1:13.5,34.8-38.7,ペンタルビー,蛯名正義,[東]古賀史生,カナハラオラクル,アグネスボーイング
1998/03/22,2中山8,曇,3,4歳未勝利,,ダ1800,16,稍,1:57.2,37.5-40.9,ワールドカップ,加藤和宏,[東]加藤修甫,クイックドロウ,クリールオーシャン
1998/03/22,2中山8,曇,4,4歳新馬,,ダ1200,13,稍,1:13.3,35.3-38.0,ザラストドロップ,沢昭典,[東]平井雄二,キャンティクラシコ,インプレッション
1998/03/22,2中山8,曇,5,4歳新馬,,ダ1800,10,稍,1:57.6,37.9-40.9,ティエッチサリー,柴田善臣,[東]石毛善彦,グランドマナー,ハローベル
1998/03/22,2中山8,曇,6,4歳新馬,,芝2200,11,稍,2:21.7,39.1-37.6,マジカルボーイ,小林淳一,[東]野平祐二,ヘンリーレガッタ,ナイキカイザー
1998/03/22,2中山8,曇,7,4歳500万下,,芝1600,15,稍,1:36.4,35.6-36.5,オースミモンスター,蛯名正義,[西]中尾正,タイキブライドル,ケイアイギャルソン
1998/03/22,2中山8,曇,8,4歳以上500万下,,ダ1200,11,稍,1:12.2,34.2-38.0,ユニオンヒル,田村真来,[東]奥平真治,エイブレックス,オールコレクション
1998/03/22,2中山8,曇,9,房総特別(900万下),,芝2500,9,稍,2:42.7,33.4-35.3,マーベラスタイマー,武豊,[東]矢野照正,アミフジダンディ,マウンティバンク
1998/03/22,2中山8,曇,10,東風S(OP),,芝1600,10,稍,1:35.9,36.6-35.7,ケイワンバイキング,横山典弘,[東]奥平真治,オフサイドトラップ,マンノチャレンジ
1998/03/22,2中山8,曇,11,フジTVスプリングS(G2),,芝1800,15,稍,1:49.8,37.2-37.0,クリールサイクロン,蛯名正義,[東]稲葉隆一,セイクビゼン,タヤスアゲイン
1998/03/22,2中山8,曇,12,4歳以上900万下,,ダ1200,14,稍,1:12.3,33.7-38.6,ナスケンエース,武士沢友,[東]鈴木康弘,ヤマタケパーク,ウエスタンスキャン
1998/03/22,1中京8,晴,1,4歳未勝利,,ダ1000,12,良,1:00.4,35.7-37.1,テンザンルーラ,松永昌博,[西]松永善晴,カルビーノ,ツキノタバサ
1998/03/22,1中京8,晴,2,4歳未勝利,,ダ1700,16,良,1:49.6,29.9-40.2,エスジーマックス,柿元嘉和,[西]藤岡範士,クリスタルグランド,メイショウレオ
1998/03/22,1中京8,晴,3,4歳未勝利,,芝1200,16,良,1:10.1,34.3-35.8,ステルスショット,青木芳之,[東]河野通文,エイシンビュート,メイショウゲンザン
1998/03/22,1中京8,晴,4,4歳新馬,,芝2000,11,良,2:05.3,36.3-36.2,ホットパーシュート,西田雄一,[西]福永甲,ブライトアロー,フサイチアリアン
1998/03/22,1中京8,晴,5,4歳以上500万下,,ダ1700,12,良,1:47.2,30.4-39.0,フェルナンディーナ,宝来城多,[西]作田誠二,プリンセスゼット,メイショウユリヒメ
1998/03/22,1中京8,晴,6,4歳以上500万下,,ダ1000,10,良,1:00.4,35.9-36.6,スガノゴールド,浜野谷憲,[東]大江原哲,ザラントショウ,アスクギャラクシー
1998/03/22,1中京8,晴,7,4歳以上500万下,,ダ2300,9,良,2:29.3,31.7-38.1,ショウナンパレード,幸英明,[東]大久保洋,マチカネヒエイ,フミノレインボー
1998/03/22,1中京8,晴,8,4歳以上500万下,,ダ1700,13,良,1:48.6,30.1-39.2,ナスエルムテキ,宝来城多,[西]作田誠二,シーハリアー,ターフメダリスト
1998/03/22,1中京8,晴,9,フリージア賞(500万下),,芝2000,16,良,2:03.4,36.2-35.9,ラティール,高橋亮,[西]加藤敬二,リュウセイソブリン,スターパス
