開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
1998/07/11,2函館1,曇,4,4歳未勝利,,芝1200,15,良,1:11.8,34.9-36.9,マイジェントルマン,松永幹夫,[西]山本正司,ブラウンルージュ,ロードアクション
1998/07/11,2函館1,曇,5,3歳新馬,,ダ1000,10,良,1:01.2,35.5-37.8,ナショナルドリーマ,田中勝春,[東]阿部新生,サンラッキー,ラバーズミス
1998/07/11,2函館1,曇,6,3歳新馬,,芝1000,9,良,0:59.2,35.1-35.8,ノボマーチャン,横山典弘,[東]柴田政人,マジックサークル,ダイワエスポワール
1998/07/11,2函館1,曇,7,4歳以上500万下,,ダ1000,10,良,0:59.2,34.8-36.1,スイートバンブー,的場均,[東]新関力,ヤングワンガンボ,ポリッシュボーイ
1998/07/11,2函館1,曇,8,4歳以上500万下,,芝2000,15,良,2:03.7,36.8-36.1,アスクファンタジー,四位洋文,[西]伊藤雄二,ノットセルダム,メテオシャワー
1998/07/11,2函館1,曇,9,立待岬特別(500万下),,芝1200,13,良,1:10.5,34.3-36.2,タガノインバレル,松永幹夫,[西]武宏平,ダイヤモンドピアス,フェザンレーヴ
1998/07/11,2函館1,曇,10,七重浜特別(900万下),,ダ1000,8,良,0:59.2,34.8-36.0,マイネルエアメール,横山賀一,[東]佐藤林次,プレイズポーラ,ライズキッス
1998/07/11,2函館1,曇,11,STV杯(900万下),,芝1800,12,良,1:53.5,38.4-35.4,ブリリアントロード,山田和広,[西]坪正直,ゴールドサンデー,ホーネットピアス
1998/07/11,2函館1,曇,12,4歳以上500万下,,ダ1700,11,良,1:47.8,30.8-38.3,タヤスロベルト,荻野要,[西]山内研二,エーケーボーイ,オトコマエ
1998/07/11,1福島7,曇,1,4歳未勝利,,ダ1000,12,良,1:00.5,35.4-37.0,ロイヤルハンター,村田一誠,[東]松永勇,トネワールド,ミヤギノヒメ
1998/07/11,1福島7,曇,2,4歳未勝利,,芝1200,16,良,1:09.9,33.7-36.2,ガーランドウイン,矢原洋一,[東]大和田稔,サクセスアーリー,メルヘントウショウ
1998/07/11,1福島7,晴,3,4歳未勝利,,ダ1700,13,良,1:47.5,30.0-39.1,イワクラスキ,吉田豊,[東]大久保洋,ミスフェンス,シロヤママリア
1998/07/11,1福島7,晴,4,4歳未勝利,,芝2000,16,良,2:01.8,34.2-37.2,フォーシーズンズ,蛯名正義,[西]谷潔,ヤクモアサシオ,ジーガーワールド
1998/07/11,1福島7,晴,5,4歳未勝利,,芝1800,16,良,1:48.8,35.8-36.1,グレートサン,岡部幸雄,[東]松山康久,エバーホワイト,ゲイリースパーク
1998/07/11,1福島7,晴,6,4歳以上500万下,,芝1800,8,良,1:49.5,35.8-35.9,マイレリッシュ,武豊,[東]柄崎孝,ダンスドレス,ミスマリコ
1998/07/11,1福島7,晴,7,4歳500万下,,ダ1700,11,良,1:45.5,29.7-38.1,エンプレスロッチ,柴田大知,[東]加賀武見,ハリウッドレビュー,カネホサチ
1998/07/11,1福島7,晴,8,ローズマリー賞(500万下),,芝1200,10,良,1:09.1,34.2-34.9,ミッドナイトボイス,岡部幸雄,[東]後藤由之,アプリコットデュー,ホシノユメ
1998/07/11,1福島7,曇,9,しゃくなげS(900万下),,ダ1700,13,良,1:46.3,30.0-38.8,ナナヨーウォリアー,蛯名正義,[西]吉永猛,ジャストアンバー,チアズニューパワー
1998/07/11,1福島7,雨,10,彦星賞(900万下),,ダ1700,12,良,1:46.4,30.2-39.0,ダンシングロード,後藤浩輝,[東]池上昌弘,クラウンセンプー,クリールサンプラス
1998/07/11,1福島7,曇,11,七夕賞(G3),,芝2000,16,良,1:59.2,35.0-36.1,オフサイドトラップ,蛯名正義,[東]加藤修甫,タイキフラッシュ,セイントリファール
