開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
2021/09/05,4小倉8,晴,1,障害3歳以上未勝利,,障2860,10,良,3:11.9,106.1-0.0,シェーンクラート,五十嵐雄,[東]稲垣幸雄,アドラメレク,サトノパシュート,3:３歳以上,790.0
2021/09/05,4小倉8,晴,2,2歳未勝利,,芝1200,13,良,1:09.1,33.5-35.6,タムロキュラムン,幸英明,[西]西園正都,ロッホローモンド,アドヴァイス,1:２歳,510.0
2021/09/05,4小倉8,晴,3,3歳未勝利,,ダ1700,16,稍,1:45.6,29.9-38.1,バライロノキセキ,松本大輝,[西]中竹和也,レヴィーアクイーン,クリノキララ,2:３歳,510.0
2021/09/05,4小倉8,晴,4,3歳未勝利,,芝2000,18,良,2:00.3,35.2-36.6,ウインヴァカンス,松若風馬,[西]寺島良,トーホウロゼリア,ラルナプレナ,2:３歳,510.0
2021/09/05,4小倉8,曇,5,2歳新馬,,芝1800,13,良,1:50.2,38.7-34.3,ドウデュース,武豊,[西]友道康夫,ガイアフォース,フェーングロッテン,1:２歳,700.0
2021/09/05,4小倉8,曇,6,3歳未勝利,,ダ1700,16,稍,1:45.3,29.3-38.6,ヨロシオスナ,松山弘平,[西]角田晃一,メイショウミカワ,チョウワイルド,2:３歳,510.0
2021/09/05,4小倉8,曇,7,3歳以上1勝クラス,,芝1200,11,良,1:08.0,33.4-34.6,スーパーウーパー,武豊,[西]森秀行,プラチナムレイアー,カーフライターク,3:３歳以上,760.0
2021/09/05,4小倉8,曇,8,3歳以上1勝クラス,,ダ1000,12,稍,0:58.3,34.8-35.0,フチサンメルチャン,小牧太,[西]服部利之,ムジック,サイモンルピナス,3:３歳以上,760.0
2021/09/05,4小倉8,小雨,9,筑後川特別(2勝クラス),,芝1800,11,良,1:47.8,38.0-34.2,ジェラルディーナ,福永祐一,[西]斉藤崇史,ジュンブルースカイ,ハローユニコーン,3:３歳以上,1500.0
2021/09/05,4小倉8,小雨,10,西日本スポーツ杯(3勝クラス),,ダ1700,16,稍,1:43.8,29.0-38.0,メイショウダジン,幸英明,[西]松永昌博,クリノフラッシュ,ゲンパチルシファー,3:３歳以上,1820.0
2021/09/05,4小倉8,小雨,11,小倉2歳S(G3),,芝1200,10,良,1:07.9,33.6-34.3,ナムラクレア,浜中俊,[西]長谷川浩,スリーパーダ,アネゴハダ,1:２歳,3100.0
2021/09/05,4小倉8,曇,12,3歳以上1勝クラス,,芝2600,11,良,2:41.0,38.4-35.4,メイショウラツワン,武豊,[西]南井克巳,コートダルジャン,リンフレスカンテ,3:３歳以上,760.0
2021/09/04,2札幌7,晴,1,2歳未勝利,,芝1200,9,良,1:10.0,34.7-35.3,プラソン,藤岡佑介,[西]寺島良,パスポートチェック,カルネアサーダ,1:２歳,510.0
2021/09/04,2札幌7,晴,2,2歳未勝利,,ダ1700,12,良,1:46.7,29.8-38.6,コスモルーテウス,丹内祐次,[東]田中博康,コパノニコルソン,ワカミヤプレスト,1:２歳,510.0
2021/09/04,2札幌7,晴,3,3歳未勝利,,芝2000,16,良,2:01.5,35.5-37.5,ヴィトーリア,武豊,[西]武英智,メイショウシンウチ,ハンター,2:３歳,510.0
2021/09/04,2札幌7,晴,4,3歳未勝利,,ダ1700,14,良,1:46.5,30.0-38.1,レスペディーザ,池添謙一,[西]松永幹夫,マテンロウアレス,サンベリーナ,2:３歳,510.0
2021/09/04,2札幌7,晴,5,2歳新馬,,芝1500,12,良,1:30.5,30.5-35.3,ドーブネ,武豊,[西]武幸四郎,リーセフィヨルド,レッドベスティア,1:２歳,700.0
2021/09/04,2札幌7,晴,6,3歳以上1勝クラス,,ダ1700,14,良,1:46.5,30.6-38.5,ペイルライダー,武豊,[西]角田晃一,クーファイザナミ,ハイアーグレード,3:３歳以上,760.0
2021/09/04,2札幌7,晴,7,3歳以上1勝クラス,,ダ1000,12,良,0:59.3,34.8-36.0,ニシノダンテ,勝浦正樹,[西]新谷功一,クリオズナ,ディーズローリエ,3:３歳以上,760.0
2021/09/04,2札幌7,晴,8,3歳以上1勝クラス,,芝2000,16,良,2:01.2,36.0-35.7,ペルソナデザイン,秋山稔樹,[東]大竹正博,バニシングポイント,カタリーナ,3:３歳以上,760.0
