開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
1976/04/04,2阪神4,晴,4,5歳以上未勝利,,障2600,11,良,2:54.7,,アジエイコ,池添兼雄,大久保正陽,ヤマニンライト,ゴッドファイア,4:４歳以上,580.0
1976/04/04,2阪神4,晴,5,5歳以上300万下,,ダ1700,10,良,1:48.7,,シュウザンエール,岩元市三,布施正,ダイイチキョウダイ,トサノチグサ,4:４歳以上,400.0
1976/04/04,2阪神4,晴,6,5歳以上300万下,,ダ1700,9,良,1:47.3,,スリーパレード,飯田明弘,小林稔,ベニハナ,カンサンリユル,4:４歳以上,400.0
1976/04/04,2阪神4,晴,7,クローバー賞(300万下),,芝1600,9,良,1:37.4,,ロングリュウ,武邦彦,大根田裕也,ホワイトビクトリー,ニッセキカルダン,2:３歳,500.0
1976/04/04,2阪神4,晴,8,5歳以上600万下,,ダ1800,7,良,1:55.0,,ヤマニンホガシラ,野村彰彦,中村覚之助,ファイアアロー,トキノアッシュ,4:４歳以上,520.0
1976/04/04,2阪神4,晴,9,明石特別(900万下),,芝2200,7,良,2:16.9,,マルセピット,中野勝也,吉田三郎,ヤマニンカートル,サツキロック,4:４歳以上,850.0
1976/04/04,2阪神4,晴,10,伊丹特別(600万下),,芝1600,7,良,1:36.7,,アウレリウス,須貝四郎,橋田俊三,レイクルーラー,レッドダイバー,4:４歳以上,700.0
1976/04/04,2阪神4,晴,11,5歳以上,,芝2000,10,良,2:04.2,,ロングホーク,武邦彦,松田由太郎,ヒダロマン,ムーンサイアー,4:４歳以上,880.0
1976/04/04,1小倉8,晴,1,4歳以上勝入,,芝1800,13,良,1:52.8,,シングル,高山吉司,山本正司,ミヤギダービー,イチモンジ,3:３歳以上,440.0
1976/04/04,1小倉8,晴,2,4歳未勝利,,芝1200,14,良,1:12.4,,ヤングキング,西浦勝一,土門健司,ワイエムヒーロー,ホクトマロニエ,2:３歳,210.0
1976/04/04,1小倉8,晴,3,4歳未勝利,,芝1800,14,良,1:52.2,,プロミネト,梅田守,梅内慶蔵,タイセイライト,コバンオー,2:３歳,210.0
1976/04/04,1小倉8,晴,4,4歳未勝利,,芝1800,10,良,1:52.7,,ホウスウガンチョウ,田島良保,谷栄次郎,イエミツオー,キングビクトリヤ,2:３歳,210.0
1976/04/04,1小倉8,晴,5,5歳以上300万下,,芝1700,9,良,1:45.2,,カネマリーノ,河内洋,内藤潔,ルンプール,ホウスウニホン,4:４歳以上,400.0
1976/04/04,1小倉8,晴,6,つつじ賞(300万下),,芝1800,14,良,1:51.0,,フジノタカヒリュウ,佐々木晶三,中村武志,ケイシュウパレード,ナナヨーイチ,2:３歳,500.0
1976/04/04,1小倉8,晴,7,5歳以上300万下,,芝1700,9,良,1:45.9,,ヒダカルーシ,西浦勝一,田所秀雄,シーウイナー,タカヨシピット,4:４歳以上,400.0
1976/04/04,1小倉8,晴,8,小倉大賞典(OP),,芝1800,14,良,1:49.8,,グレイトファイター,久保一秋,吉永猛,ポットハヤテ,サチモシロー,4:４歳以上,1500.0
1976/04/04,1小倉8,晴,9,豊前特別(600万下),,芝2000,10,良,2:05.1,,ムーンレイカー,田口光雄,田中四郎,ヤマニンホメロス,シャインゴールド,4:４歳以上,700.0
1976/04/04,1小倉8,晴,10,5歳以上300万下,,芝1800,12,良,1:52.8,,ウエストオー,佐山優,杉村政春,ホースメンボクサー,シオジ,4:４歳以上,400.0
1976/04/03,2中山3,小雨,1,4歳未勝利,,ダ1200,14,重,1:13.3,,シビルランナー,増田久,久保田彦之,ミラクルメーカ,チトセニシキ,2:３歳,210.0
1976/04/03,2中山3,小雨,2,4歳未勝利,,ダ1200,14,重,1:12.1,,ヒダカケイシュー,石塚信広,稗田敏男,イナリコウハク,オンワードフィヤー,2:３歳,210.0
