開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
1985/04/28,3京都3,晴,11,醍醐特別(1400万下),,芝1600,14,稍,1:36.2,,ナナヨーテイター,岩元市三,吉永猛,ハシタイカイ,トーワカチドキ
1985/04/28,3京都3,晴,12,5歳以上900万下,,ダ1800,15,良,1:52.9,,コウトクテン,内田国夫,田中康三,サカエロッキー,ロマンスフェロー
1985/04/21,1福島2,晴,1,4歳以上,,芝2000,9,良,2:02.9,,アイサダ,中舘英二,黒坂洋基,ビガラススター,トネキング
1985/04/21,1福島2,晴,2,4歳未出走,,ダ1000,12,良,1:00.7,,ヒダプレス,田面木博公,稗田敏男,ウエスタンカグラ,ダイナナターシャ
1985/04/21,1福島2,晴,3,4歳未出走,,芝1700,14,良,1:44.2,,コウテツレディ,細川英二,松山吉三郎,アカネイブキ,ホクテンホープ
1985/04/21,1福島2,晴,4,4歳未勝利,,ダ1700,10,良,1:49.5,,トキノコンドル,中野栄治,元石孝昭,アイランドセリーヌ,ジングリン
1985/04/21,1福島2,晴,5,4歳未勝利,,芝1000,13,良,0:58.6,,オンワードフィバー,木幡初広,二本柳一馬,マツヒサシ,ビックパッサー
1985/04/21,1福島2,晴,6,4歳未勝利,,芝1000,14,良,0:57.9,,ミツワランド,横田吉光,佐藤嘉秋,シュンエイコウ,スピードムサシ
1985/04/21,1福島2,晴,7,5歳以上400万下,,ダ1700,12,良,1:49.2,,リースリング,吉沢宗一,田中良平,ミヤウインディ,リバルドローズ
1985/04/21,1福島2,晴,8,いわかがみ賞(400万下),,芝1800,12,良,1:49.2,,タカノミノブ,増沢末夫,阿部正太郎,アズサマーチ,ミルフォードウオタ
1985/04/21,1福島2,晴,9,岩谷特別(400万下),,芝1800,9,良,1:50.1,,ミヤコジェニー,国兼正浩,藤原敏文,シーウイナー,ハーディースワロー
1985/04/21,1福島2,晴,10,やまびこ特別(900万下),,芝2000,12,良,2:01.0,,セノエキング,増沢末夫,山崎彰義,ノーザンダイオー,ダイタクホウリイ
1985/04/21,1福島2,晴,11,5歳以上400万下,,ダ1700,12,良,1:49.0,,コウチキャプテン,中野栄治,笹倉武久,エイシンボーイ,インターランダム
1985/04/21,2東京2,晴,1,4歳未勝利,,ダ1600,9,重,1:40.3,,インターエコー,的場均,石栗龍雄,ジュリスト,ロードフラッグ
1985/04/21,2東京2,晴,2,4歳未勝利,,ダ1200,15,重,1:12.9,,キョウエイスキップ,郷原洋行,小西喜蔵,スキーボーイ,ダイナトルネード
1985/04/21,2東京2,晴,3,4歳未勝利,,芝1800,11,稍,1:53.2,,サカエクインヒメ,岡部幸雄,内藤一雄,スクランブルワン,シャムロック
1985/04/21,2東京2,晴,4,5歳以上400万下,,ダ1700,7,重,1:45.2,,ナガラダイアナ,田村正光,石毛善衛,ピムリカーナ,チェリーサカイ
1985/04/21,2東京2,晴,5,5歳以上400万下,,障3100,13,重,3:32.8,,オンワードボルガ,田中剛,二本柳俊夫,キクカダイリュウ,フレッシュダービー
1985/04/21,2東京2,晴,6,4歳未勝利,,芝1600,10,稍,1:39.1,,アサクサスケール,玉井智光,佐藤征助,ダイカツテンジン,クリスタンアモン
1985/04/21,2東京2,晴,7,4歳未勝利,,芝1600,11,稍,1:39.8,,トーアアンビシャス,田村正光,大久保良雄,ミラクルブレハット,パステルライト
