開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
2001/06/09,3東京7,晴,4,3歳未勝利,,ダ1600,16,良,1:38.4,36.2-37.6,クラウンバッハ,北村宏司,[東]飯塚好次,アイノフォーエバー,レザーネック
2001/06/09,3東京7,曇,5,3歳未勝利,,芝1400,17,良,1:22.2,34.8-35.8,クリスマスリース,北村宏司,[東]二ノ宮敬,タイキサファリ,フライトソング
2001/06/09,3東京7,曇,6,3歳500万下,,芝2200,16,良,2:12.2,34.7-36.5,パラダイスシャドウ,岡部幸雄,[東]坂本勝美,エクスサンダー,インビジブルタッチ
2001/06/09,3東京7,晴,7,3歳500万下,,芝1600,18,良,1:34.7,34.8-35.9,ビッグエリザベス,大西直宏,[西]中尾正,ダイナグロリア,アドマイヤリッチ
2001/06/09,3東京7,晴,8,石和特別(900万下),,芝1800,17,良,1:46.5,35.8-35.9,マイネルタンゴ,石崎隆之,[西]佐々木晶,マンノチャンピオン,ティエッチグレース
2001/06/09,3東京7,晴,9,湘南S(1600万下),,芝1600,18,良,1:32.8,34.0-35.7,ミヤビライデン,蛯名正義,[東]稗田研二,マチカネケンコン,イカルスドリーム
2001/06/09,3東京7,晴,10,東京ハイジャンプ(J.G2),,障3300,14,良,3:36.0,104.0-0.0,カネトシガバナー,林満明,[西]野村彰彦,ユーセイシュタイン,ヤマニンエスコート
2001/06/09,3東京7,晴,11,ブリリアントS(OP),,ダ2100,10,良,2:07.5,30.3-36.1,スナークレイアース,和田竜二,[西]川村禎彦,タヤスアンティーム,モンテカルロ
2001/06/09,3東京7,晴,12,4歳以上500万下,,芝1400,18,良,1:21.3,34.9-34.8,トウショウリープ,吉田豊,[東]大久保洋,グレートサン,サクラデインヒル
2001/06/09,2中京7,曇,1,3歳未勝利,,ダ1600,13,良,1:40.6,37.3-37.8,イセノイチ,石山繁,[西]土門一美,ターフセイヴァー,メイショウドバイ
2001/06/09,2中京7,曇,2,3歳未勝利,,芝1800,15,良,1:50.1,36.0-37.8,スイートイノセント,福永祐一,[西]作田誠二,ヒシコンボイ,マキハタエンリッチ
2001/06/09,2中京7,曇,3,3歳未勝利,,ダ1700,16,良,1:48.2,30.1-38.9,アサカディフィート,池添謙一,[西]鶴留明雄,マルカエクセレント,メイショウストーム
2001/06/09,2中京7,曇,4,3歳未勝利,,芝1200,18,良,1:10.4,34.1-36.3,アスカヘイロー,小原義之,[西]小原伊佐,ウインクナナー,テンザンガルチ
2001/06/09,2中京7,曇,5,3歳未勝利,,芝2000,11,良,2:02.5,35.2-36.8,プローサム,安藤勝己,[西]古川平,サンライズロドリゴ,ミルキータイクーン
2001/06/09,2中京7,曇,6,3歳500万下,,芝1800,9,良,1:49.3,35.6-36.7,ガンアンドローズ,池添謙一,[西]山内研二,シーセモア,エリモピクシー
2001/06/09,2中京7,曇,7,4歳以上500万下,,芝1200,18,良,1:09.9,34.1-35.8,ドリーミーパレス,村本善之,[西]武宏平,ゴッドワールド,プロテクトレス
2001/06/09,2中京7,曇,8,マカオJCT(500万下),,芝1200,11,良,1:09.7,33.8-35.9,マイネアイル,小池隆生,[西]宮徹,ビッグフリート,カレンカブリオール
2001/06/09,2中京7,曇,9,フィリピンT(900万下),,芝1800,16,良,1:48.2,35.7-36.5,マヤノアブソルート,河内洋,[西]坂口正大,タイキダグラス,シルクエスペランサ
2001/06/09,2中京7,曇,10,香港JCT(1600万下),,ダ1700,14,良,1:45.2,30.2-37.5,エンゲルグレーセ,熊沢重文,[東]新関力,アレグラール,マルタカサイレンス
2001/06/09,2中京7,曇,11,テレビ愛知OP(OP),,芝1200,13,良,1:08.6,33.5-35.1,レジェンドハンター,安藤勝己,[地]高田勝良,ノボリユキオー,キングオブサンデー
