開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
1991/07/27,2札幌7,小雨,2,3歳未勝利,,ダ1000,8,不,1:01.0,35.4-37.3,コウミョウシンゲキ,岡潤一郎,[西]安藤正敏,パワーシフト,ダイイチオオミネ,1:２歳,480.0
1991/07/27,2札幌7,小雨,3,4歳未勝利,,ダ1700,12,不,1:47.4,30.2-40.1,スーパープレスリー,千田輝彦,[西]安田伊佐,メジロランバン,バトルゴダイバ,2:３歳,480.0
1991/07/27,2札幌7,小雨,4,4歳未勝利,,ダ1000,12,不,1:01.1,35.1-37.6,グランドルンルン,本田優,[西]岩元市三,ルイジアナシチー,ヒロパープル,2:３歳,480.0
1991/07/27,2札幌7,小雨,5,3歳新馬,,芝1200,11,稍,1:13.2,34.6-38.6,サクラミサキオー,小島太,[東]境勝太郎,オンワードシャドウ,エルカーサリバー,1:２歳,570.0
1991/07/27,2札幌7,曇,6,4歳以上500万下,,ダ1700,12,不,1:46.3,30.3-39.3,キャプテンホーラー,南井克巳,[西]工藤嘉見,リキサンシルバー,グレイトウェーブ,3:３歳以上,710.0
1991/07/27,2札幌7,曇,7,4歳以上500万下,,ダ1000,12,不,0:59.4,34.5-36.4,タイハマカゼ,田原成貴,[西]吉岡八郎,ミカインパレス,マエコウクリエイト,3:３歳以上,710.0
1991/07/27,2札幌7,曇,8,4歳以上500万下,,ダ1700,12,不,1:45.4,30.2-39.1,オーバーパパグラス,柴田政人,[西]柴田政見,ファンシーボール,ミカルマスデージー,3:３歳以上,710.0
1991/07/27,2札幌7,曇,9,富良野特別(500万下),,芝1800,14,稍,1:51.8,36.9-38.2,ジャニス,加藤和宏,[東]野平祐二,キクノベルニーナ,サベージレディ,3:３歳以上,960.0
1991/07/27,2札幌7,曇,10,おおぞらS(900万下),,芝1200,14,稍,1:11.0,34.6-36.4,オリンピアロンド,加藤和宏,[東]古賀一隆,メグロクラマ,メイショウメイプル,3:３歳以上,1320.0
1991/07/27,2札幌7,小雨,11,タイムス杯(OP),,ダ1700,12,不,1:43.2,29.8-37.5,カミノクレッセ,南井克巳,[西]工藤嘉見,ナリタハヤブサ,ハギノミリオネール,3:３歳以上,2160.0
1991/07/27,2札幌7,小雨,12,4歳以上500万下,,芝1000,14,稍,0:59.5,34.3-36.7,ホクザンダンディー,岡潤一郎,[西]柴田不二,マツリンドウ,ダイワジョイス,3:３歳以上,710.0
1991/07/27,2新潟5,晴,1,3歳未勝利,,芝1200,10,良,1:12.9,35.0-37.9,メイスンチカラ,岩戸孝樹,[東]山崎彰義,アリババコイン,ハンスィーン,1:２歳,300.0
1991/07/27,2新潟5,晴,2,4歳未勝利,,芝1200,14,良,1:11.0,34.0-37.0,レジナサンドラ,岡部幸雄,[東]高橋英夫,アレッジイメージ,ミシシッピボーイ,2:３歳,480.0
1991/07/27,2新潟5,晴,3,4歳未勝利,,芝1400,16,良,1:22.6,34.5-36.6,タマモア,中舘英二,[東]境征勝,レイトブルミング,ターナゲイン,2:３歳,480.0
1991/07/27,2新潟5,晴,4,4歳未勝利,,ダ1700,10,良,1:47.8,30.5-39.3,チャオバンビーナ,堀井雅広,[東]田中朋次,ヤマニンプレスト,ヒットメーカー,2:３歳,480.0
1991/07/27,2新潟5,晴,5,障害4歳以上未勝利,,障2800,8,良,3:09.9,108.0-0.0,ユーワラムジェット,星野忍,[東]佐々木亜,キリーブロンコ,シンボリキャメロン,3:３歳以上,800.0
1991/07/27,2新潟5,晴,6,4歳未勝利,,芝1800,10,良,1:50.0,37.0-36.6,ストームブリンガー,岡部幸雄,[西]中村均,ミホラッキー,タイガークイン,2:３歳,480.0
1991/07/27,2新潟5,晴,7,4歳以上500万下,,ダ1000,9,良,1:00.1,35.2-36.9,ベルビューベル,江田照男,[東]田子冬樹,アイノムテキ,カーペンタービー,3:３歳以上,710.0
1991/07/27,2新潟5,晴,8,4歳以上500万下,,芝1600,10,良,1:34.6,34.4-36.9,テンホー,坂井千明,[東]沢峰次,ランドヒーロー,ガンジス,3:３歳以上,710.0
1991/07/27,2新潟5,晴,9,瓢湖特別(500万下),,芝2000,9,良,2:01.7,36.7-36.7,カツノマシン,岡部幸雄,[西]中村均,ミラクルドラゴンズ,バードレター,3:３歳以上,960.0
