開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
2012/04/21,3京都1,晴,7,4歳以上500万下,,ダ1200,16,良,1:11.4,35.0-36.4,ナムラジュエル,小牧太,[西]大橋勇樹,プリンセスエリー,ラパヌイ,4:４歳以上,720.0
2012/04/21,3京都1,晴,8,4歳以上500万下,,ダ1800,15,良,1:53.3,37.3-38.5,ライブリシーラ,小坂忠士,[西]佐山優,ロットトゥウィン,テイエムエビスオー,4:４歳以上,720.0
2012/04/21,3京都1,晴,9,ムーニーバレーRC賞(500万下),,芝2400,13,良,2:26.7,36.5-35.3,ニューダイナスティ,浜中俊,[西]石坂正,グランプリブラッド,ジェームズバローズ,2:３歳,950.0
2012/04/21,3京都1,晴,10,シドニーT(1000万下),,芝2000,9,良,2:00.8,37.3-34.6,カフナ,福永祐一,[西]池江泰寿,ナリタプラチナ,シャイニーブレーヴ,4:４歳以上,1400.0
2012/04/21,3京都1,晴,11,オーストラリアT(1600万下),,芝1600,14,良,1:32.9,34.2-35.3,ブレイブファイト,岩田康誠,[西]藤原英昭,デンコウジュピター,タイキパーシヴァル,4:４歳以上,1700.0
2012/04/21,3京都1,晴,12,メルボルンT(1000万下),,ダ1800,16,良,1:52.1,36.6-37.8,ダイヤノゲンセキ,小牧太,[西]坂口正則,シルクエステート,パルクエスト,4:４歳以上,1400.0
2012/04/15,1福島4,晴,1,3歳未勝利,,ダ1700,15,稍,1:49.7,30.0-38.9,シルクラングレー,竹之下智,[西]友道康夫,サクラレグナム,ラニカイツヨシ,2:３歳,500.0
2012/04/15,1福島4,晴,2,3歳未勝利,,芝2000,16,稍,2:02.6,35.9-36.2,ヤヤラーラ,吉田隼人,[東]相沢郁,ラクリモーサ,カハラビスティー,2:３歳,500.0
2012/04/15,1福島4,晴,3,3歳未勝利,,芝1200,16,稍,1:10.3,33.6-36.7,マッシヴヒーロー,松山弘平,[西]大橋勇樹,バートラムガーデン,ポエティカル,2:３歳,500.0
2012/04/15,1福島4,晴,4,3歳未勝利,,ダ1700,15,稍,1:48.8,30.9-39.0,ニライジンク,松山弘平,[西]池添兼雄,ロトスカイハイ,タマモショパン,2:３歳,500.0
2012/04/15,1福島4,晴,5,3歳未勝利,,芝2000,16,稍,2:02.1,35.2-36.3,マジックポスト,木幡初広,[東]高橋祥泰,ヴェリタスウオリア,コスモユウチャン,2:３歳,500.0
2012/04/15,1福島4,晴,6,4歳以上500万下,,ダ2400,16,良,2:37.2,38.1-39.4,バンダムミラージュ,吉田隼人,[東]国枝栄,ビレッジブライト,ナンヨースラッガー,4:４歳以上,670.0
2012/04/15,1福島4,晴,7,4歳以上500万下,,ダ1700,15,良,1:47.6,30.1-39.2,アドマイヤジャコモ,吉田隼人,[西]中尾秀正,シルクパルサー,ベルモントメジャー,4:４歳以上,670.0
2012/04/15,1福島4,晴,8,4歳以上500万下,,芝1200,15,良,1:09.5,32.9-36.6,メイショウデューイ,小島太一,[東]小島太,ノーザンソング,マシラ,4:４歳以上,670.0
2012/04/15,1福島4,晴,9,4歳以上500万下,,ダ1150,16,良,1:08.6,31.2-37.4,シゲルカイチョウ,松山弘平,[西]吉村圭司,タイキガラハッド,エーティーショパン,4:４歳以上,670.0
2012/04/15,1福島4,晴,10,桑折特別(500万下),,芝1800,15,良,1:49.6,37.7-34.8,ウインクリアビュー,吉田隼人,[東]鈴木伸尋,ショウナンマハ,マイネノーブレス,4:４歳以上,870.0
2012/04/15,1福島4,晴,11,奥の細道特別(1000万下),,芝2600,12,良,2:42.6,37.6-35.7,シンボリボルドー,木幡初広,[東]石毛善彦,ロイヤルダリア,シンボリローレンス,4:４歳以上,1260.0
2012/04/15,1福島4,晴,12,医王寺特別(500万下),,芝1200,10,良,1:08.9,33.9-35.0,エトピリカ,松山弘平,[西]加用正,サトノディライト,ヤマニングルノイユ,4:４歳以上,870.0
2012/04/15,3中山8,晴,1,3歳未勝利,,ダ1200,16,不,1:12.2,34.1-38.1,デプロマトウショウ,北村友一,[東]高木登,デリケートアーチ,トラストシンシ,2:３歳,500.0
2012/04/15,3中山8,晴,2,3歳未勝利,,ダ1800,16,不,1:53.9,38.1-37.6,ダイワスパンキー,北村宏司,[東]二ノ宮敬,ダイワプライム,コスモシャンハイ,2:３歳,500.0
