開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
1972/10/08,4阪神7,晴,11,4歳以上300万下,,芝1600,11,良,1:36.7,,ミスタイホウ,西浦勝一,土門健司,ミスフレンド,ダッシュオーカン,3:３歳以上,350.0
1972/10/07,2新潟3,晴,1,3歳未勝利,,芝1000,6,良,1:01.8,,イッシンキ,吉永良人,高橋直,ハニーヒーロー,ホクカイパール,1:２歳,80.0
1972/10/07,2新潟3,晴,2,3歳未勝利,,芝1000,7,良,0:59.8,,キクミホープ,今村倭夫,成宮明光,バルールターフ,シバセイカン,1:２歳,100.0
1972/10/07,2新潟3,晴,3,3歳新馬,,芝1200,6,良,1:13.1,,キクノエタン,小林常泰,森安弘昭,モンパルナス,ヨシノユ,1:２歳,180.0
1972/10/07,2新潟3,晴,4,3歳未勝利,,芝1000,9,良,0:59.1,,ファインハッピモア,新井仁,福島角一,マサノヒカリ,アームクーガー,1:２歳,100.0
1972/10/07,2新潟3,晴,5,4歳未勝利,,芝1600,13,良,1:39.0,,サバンナフジ,坂本恒三,田中朋次郎,ファインヤング,ハーバーパレード,2:３歳,100.0
1972/10/07,2新潟3,晴,6,4歳未勝利,,芝1800,10,良,1:53.1,,ゴールドラナー,小島太,内藤潔,クリムテキ,カオルリュウ,2:３歳,100.0
1972/10/07,2新潟3,晴,7,4歳以上200万下,,芝1600,10,良,1:38.6,,ツルスミレ,小林常泰,森末之助,ザンオーラン,サンタイヨー,3:３歳以上,270.0
1972/10/07,2新潟3,晴,8,4歳以上200万下,,芝1800,11,良,1:51.1,,アセールターフ,中野渡清一,橋本輝雄,ヒガシジュニヤー,カードルオー,3:３歳以上,270.0
1972/10/07,2新潟3,晴,9,アラブ3歳S(OP),,芝1400,8,良,1:26.6,,エキプレス,菅原泰夫,茂木為二郎,ヒシタカラオー,イチヤマクイン,1:２歳,180.0
1972/10/07,2新潟3,晴,10,飯豊特別(400万下),,芝1600,5,良,1:37.0,,ミチタロー,増沢末夫,仲住芳雄,ダイエイホウ,アイアンモア,3:３歳以上,520.0
1972/10/07,2新潟3,晴,11,4歳未勝利,,芝1800,10,良,1:53.3,,ズイセツ,渡辺修一,保田隆芳,シズホープ,マツユキ,2:３歳,100.0
1972/10/07,5中山4,晴,1,3歳未勝利,,芝1000,10,稍,0:59.6,,サンセイヒバリ,千田能照,勝又忠,ワイオミングレッド,ヒデアキ,1:２歳,100.0
1972/10/07,5中山4,晴,2,3歳未勝利,,芝1000,8,稍,0:59.5,,フジノビート,郷原洋行,久保田金造,スイノハヤブサ,クイーントウショウ,1:２歳,100.0
1972/10/07,5中山4,晴,3,4歳以上200万下,,ダ1200,6,重,1:12.3,,コキクレナイ,出口明見,矢倉玉男,アサジ,トサノサチオー,3:３歳以上,270.0
1972/10/07,5中山4,晴,4,4歳以上200万下,,芝1600,7,稍,1:36.8,,ローズイテッソ,郷原洋行,大久保房松,ハーバープリンス,カップリリー,3:３歳以上,270.0
1972/10/07,5中山4,晴,5,4歳以上200万下,,ダ1700,6,重,1:47.5,,アラヒカリ,増田久,久保田彦之,オーベル,ミホダンカー,3:３歳以上,270.0
1972/10/07,5中山4,晴,6,障害特別(600万下),,障2710,5,重,3:03.0,,ダイヤシャープ,千田能照,見上恒芳,クリユタカ,ポパースポート,3:３歳以上,550.0
1972/10/07,5中山4,晴,7,4歳以上300万下,,芝1800,5,良,1:53.1,,ヒデノオー,樋口弘,橋本輝雄,ヤマタカ,ヤマノトキツ,3:３歳以上,350.0
1972/10/07,5中山4,晴,8,トルマリンS(800万下),,芝2000,8,良,2:03.2,,セントポール,津田昭,宮沢今朝太郎,タケクマヒカル,マツシゲル,3:３歳以上,600.0
