開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
1996/09/29,3新潟2,晴,3,4歳未勝利,,芝1600,8,良,1:35.2,34.9-36.7,ビストロドゥパリ,坂井千明,[東]中島敏文,アスユームピューマ,ツチヒリュウ
1996/09/29,3新潟2,晴,4,4歳未勝利,,芝1600,8,良,1:35.3,35.8-35.7,ナムライーグル,橋本美純,[西]野村彰彦,スターゴーラン,スリーシンプル
1996/09/29,3新潟2,晴,5,4歳未勝利,,ダ1000,9,稍,1:01.3,35.6-37.6,ドッピオハピネス,橋本広喜,[東]国枝栄,エレガントスター,マウントファスト
1996/09/29,5中山8,晴,1,3歳未勝利,,ダ1200,11,良,1:13.0,34.9-38.1,サンライトガッツ,蛯沢誠治,[東]野平祐二,オニタイジ,ベストサニー
1996/09/29,5中山8,晴,2,4歳未勝利,,ダ1800,16,良,1:56.6,36.5-41.3,トップハット,亀山泰延,[東]土田稔,スイートソロモン,ビクトリーアップ
1996/09/29,5中山8,晴,3,4歳未勝利,,芝1600,13,良,1:38.1,36.1-37.5,シヨケンパワー,大塚栄三,[東]森安弘昭,オンワードレイラ,メルローズクイン
1996/09/29,5中山8,晴,4,3歳新馬,,芝1600,10,良,1:39.1,36.2-37.7,ダイワウエスト,的場均,[東]増沢末夫,メジロスパーク,シルクライジン
1996/09/29,5中山8,晴,5,3歳新馬,,芝1200,10,良,1:11.9,34.9-37.0,タケノラミー,田中勝春,[東]佐藤征助,トウジンデンセツ,マイネアイボリー
1996/09/29,5中山8,晴,6,4歳以上500万下,,ダ1200,11,良,1:11.8,34.0-37.8,ウエスタンシャープ,高橋明,[東]境勝太郎,ミルキーマックス,アカシリージェント
1996/09/29,5中山8,晴,7,4歳以上500万下,,ダ1200,12,良,1:11.9,34.2-37.7,アスクライオン,岡部幸雄,[東]伊藤正徳,ホッカイゲーテ,コクサイレーニエ
1996/09/29,5中山8,晴,8,4歳以上500万下,,芝2000,13,良,2:02.9,36.3-37.9,メジロメンカール,吉田豊,[東]大久保洋,カシマトウクン,セントラルハナブサ
1996/09/29,5中山8,晴,9,里見特別(500万下),,芝1600,14,良,1:37.3,35.9-37.0,チャーミングハント,木幡初広,[東]田村駿仁,ノースシンゲキ,グランキャノネイド
1996/09/29,5中山8,晴,10,茨城新聞杯(900万下),,ダ1800,13,良,1:52.9,36.1-39.0,センゴクライナー,岡部幸雄,[東]久保田敏,ツクバノーブル,ビューティーソニア
1996/09/29,5中山8,晴,11,時事通信杯クイーンS(G3),,芝1800,14,良,1:50.6,37.1-36.3,レインボークイーン,本田優,[西]星川薫,フジノヤマザクラ,マックスロゼ
1996/09/29,5中山8,晴,12,4歳以上900万下,,芝1600,11,良,1:36.7,35.2-37.6,オラクルハワイアン,牧原由貴,[東]鈴木康弘,カシマシデン,セントパレー
1996/09/29,4阪神8,曇,1,3歳未勝利,,芝1600,12,良,1:38.6,36.4-37.8,ヌノビキテンリュウ,柿元嘉和,[西]五十嵐忠,メトロリュウハク,ダブルストーム
1996/09/29,4阪神8,曇,2,4歳未勝利,,ダ1200,11,良,1:14.6,36.4-38.2,テイエムオオアラシ,藤田伸二,[西]二分久男,トニーシュタイン,オールマイティサン
1996/09/29,4阪神8,曇,3,4歳未勝利,,ダ1200,12,良,1:14.6,36.1-38.5,ジェイキング,福永祐一,[西]福永甲,ハットトリッカー,タイキサマーキッス
1996/09/29,4阪神8,曇,4,4歳未勝利,,芝2000,14,良,2:03.4,37.1-36.4,イブキタイクーン,幸英明,[西]新井仁,キングオブラッキー,ワンダーランオフ
1996/09/29,4阪神8,曇,5,障害4歳以上400万下,,障3000,6,良,3:22.2,107.0-0.0,バンダムフェイマス,西谷誠,[西]野元昭,ケイシャフト,マヤノサウザー
