開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
1995/01/08,1京都3,晴,10,睦月賞(900万下),,芝2400,16,良,2:26.7,35.3-35.3,フサイチカツラ,藤田伸二,[西]小林稔,サンライトウェイ,トキオドリーム
1995/01/08,1京都3,晴,11,洛陽S(OP),,芝1600,16,良,1:33.6,34.6-35.1,エイシンワシントン,熊沢重文,[西]内藤繁春,ガイドブック,フジワンマンクロス
1995/01/08,1京都3,晴,12,4歳以上900万下,,ダ1400,14,良,1:25.6,35.3-38.2,アラタマリード,塩村克己,[西]新川恵,スターペスタロウ,シャンパンファイト
1995/01/07,1中山2,晴,1,4歳未勝利,,ダ1200,13,良,1:13.1,35.3-37.8,マッケンミリオン,根本康広,[東]新関力,ロングスコウピオ,モリトハチマン
1995/01/07,1中山2,晴,2,4歳未勝利,,ダ1800,16,良,1:56.0,36.4-41.3,マイネルアイオロス,古川寛和,[東]二本柳俊,エスティーソロン,アイディンショット
1995/01/07,1中山2,晴,3,4歳新馬,,ダ1200,16,良,1:14.1,35.0-39.1,オンワードプリモ,津曲幸夫,[東]野平好男,アルゴタイガー,ユキノナイスガイ
1995/01/07,1中山2,晴,4,4歳新馬,,ダ1800,16,良,1:54.7,36.5-38.8,マイマキシマム,横山典弘,[東]野平好男,マルタカサドラーズ,アリダースルー
1995/01/07,1中山2,晴,5,障害4歳以上未勝利,,障2700,14,良,3:05.4,112.0-0.0,チトセゼット,星野忍,[東]森安弘昭,ベストダージリン,メアーリヒト
1995/01/07,1中山2,晴,6,4歳新馬,,ダ1200,16,良,1:13.7,36.2-37.5,コガネビーナス,小林淳一,[東]佐藤林次,ワークソング,スティードリッチ
1995/01/07,1中山2,晴,7,4歳新馬,,芝1600,16,良,1:36.4,35.2-37.4,マイライフスタイル,蛯名正義,[西]森秀行,ミスカンパニュラ,ヒシムサシ
1995/01/07,1中山2,晴,8,4歳以上500万下,,ダ1800,16,良,1:53.0,36.3-38.3,マザーウイッシュ,柴田善臣,[東]栗田博憲,ホワイトローズ,パープルマジック
1995/01/07,1中山2,晴,9,若竹賞(500万下),,芝2000,14,良,2:02.6,35.2-37.5,ヒシワールド,蛯名正義,[東]国枝栄,エリモアメジスト,スピードレンジャー
1995/01/07,1中山2,晴,10,初茜賞(900万下),,芝1600,16,良,1:35.5,35.2-36.2,ワンフォーオール,柴田善臣,[東]前田禎,リズムクリアー,パルセイト
1995/01/07,1中山2,晴,11,ガーネットS(OP),,ダ1800,10,良,1:50.2,35.8-37.0,ダンディテシオ,加藤和宏,[東]久恒久夫,ユーフォリア,フォスターホープ
1995/01/07,1中山2,晴,12,4歳以上900万下,,ダ1200,16,良,1:11.4,33.7-37.7,ベッスルナイト,横山典弘,[東]古賀史生,ファインサンキュー,マイネルバロン
1995/01/07,1京都2,曇,1,4歳以上400万下,,ダ1800,12,良,1:56.5,37.4-39.5,エスエムファイヤー,西浦勝一,[西]福島信晴,ヒロノハヤト,ニシオランナー
1995/01/07,1京都2,曇,2,4歳未勝利,,ダ1400,16,良,1:27.0,36.3-38.0,ダッシングステール,ペリエ,[西]古川平,ジュディボーイ,エリモバーベナ
1995/01/07,1京都2,曇,3,4歳新馬,,ダ1200,15,良,1:12.6,35.4-37.2,レイナロバリー,上村洋行,[西]瀬戸口勉,ニホンピロセリース,ダイイチオーギ
1995/01/07,1京都2,曇,4,4歳500万下,,ダ1400,11,良,1:26.9,36.2-38.3,ヤマニンランバート,松永幹夫,[西]浅見国一,エイシンバウンド,カツタカツバキ
1995/01/07,1京都2,曇,5,4歳以上500万下,,ダ1800,16,良,1:54.8,36.2-38.9,イスズミストラル,須貝尚介,[西]安藤正敏,ナリタシルバー,イースターサンディ
