開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
1982/11/27,5東京7,晴,6,4歳以上未勝利,,障3100,11,良,3:31.0,,ユウヤク,星野忍,佐藤勝美,ダイワサッチャー,アポロフリート,3:３歳以上,690.0
1982/11/27,5東京7,晴,7,4歳以上800万下,,芝2300,6,良,2:23.7,,ガーベラターフ,平目孝志,二本柳一馬,チュウオープリンス,センゴクハヤテ,3:３歳以上,630.0
1982/11/27,5東京7,晴,8,4歳以上400万下,,ダ1600,8,良,1:40.2,,レイズスポート,菅原泰夫,野平好男,ヒダショウウン,ダンサーズルーラ,3:３歳以上,470.0
1982/11/27,5東京7,晴,9,狭山特別(400万下),,ダ2100,10,良,2:11.8,,コマキプリンス,田村正光,森末之助,ネハラージャ,ランセイ,3:３歳以上,650.0
1982/11/27,5東京7,晴,10,ノベンバーハンデキャ(1300万下),,芝2000,12,良,2:01.4,,タカラテンリュウ,嶋田功,佐々木亜良,アズユーライク,ダイトフドウ,3:３歳以上,1000.0
1982/11/27,5東京7,晴,11,神代特別(800万下),,芝1600,12,良,1:36.8,,シンボリヨーク,中島啓之,保田隆芳,ソブリンウエイ,シンユーリード,3:３歳以上,870.0
1982/11/27,5東京7,晴,12,4歳以上400万下,,ダ1600,9,良,1:38.9,,マンハッタンボーイ,石神富士雄,中村貢,インターニンブル,インターゴールド,3:３歳以上,470.0
1982/11/27,4中京1,晴,1,3歳300万下,,ダ1600,9,良,1:46.1,,バーデンバーデン,佐々木晶三,工藤嘉見,スガタスキー,イワノダイオー,1:２歳,280.0
1982/11/27,4中京1,晴,2,4歳以上,,ダ1700,13,良,1:50.6,,エアーシャトル,岡冨俊一,田中良平,ヒロパール,ダイドルマン,3:３歳以上,470.0
1982/11/27,4中京1,晴,3,3歳未勝利,,ダ1000,9,良,1:02.2,,ファインラフインゴ,中村力男,梅内慶蔵,サバンナフラワー,カルストンスキー,1:２歳,320.0
1982/11/27,4中京1,晴,4,3歳未勝利,,ダ1000,8,良,1:01.5,,グリーンハーレー,田島信行,服部正利,バンドリアン,テルノクロユリ,1:２歳,320.0
1982/11/27,4中京1,晴,5,3歳新馬,,芝1200,13,良,1:12.4,,クインフレンチ,佐々木晶三,工藤嘉見,ジョーキジルクム,ヤマニンワンダー,1:２歳,420.0
1982/11/27,4中京1,晴,6,4歳以上400万下,,ダ1700,16,良,1:49.9,,ダイタクカピタン,今岡正,荻野光男,ファインスタイル,マルブツボールド,3:３歳以上,470.0
1982/11/27,4中京1,晴,7,4歳以上400万下,,ダ1700,16,良,1:48.2,,シルクサンシー,南井克巳,小原伊佐美,フドウナイン,レディーシラオキ,3:３歳以上,470.0
1982/11/27,4中京1,晴,8,4歳以上400万下,,ダ1700,16,良,1:48.9,,メルシーグランド,土肥幸広,大久保石松,マイドリーム,ソウマ,3:３歳以上,470.0
1982/11/27,4中京1,晴,9,4歳以上400万下,,芝2000,14,良,2:02.4,,キャッシュレミング,小林常泰,畠山重則,ラガーシルバー,ロングホーオー,3:３歳以上,470.0
1982/11/27,4中京1,晴,10,すずかけ賞(400万下),,芝1200,7,良,1:10.6,,タケノヒエン,本田優,星川泉士,ドマーニ,ヒミノプリンス,1:２歳,620.0
1982/11/27,4中京1,晴,11,蒲郡特別(800万下),,芝1800,8,良,1:48.9,,ラッキーウルフ,太宰義人,武田作十郎,トーワオーザン,イブキオーショウ,3:３歳以上,840.0
1982/11/27,4中京1,晴,12,4歳以上400万下,,芝2000,15,良,2:02.2,,ファインエンペラ,藤原哲朗,福島角一,ランドソアラ,ニシオボーイ,3:３歳以上,470.0
1982/11/27,6京都7,晴,1,3歳未勝利,,ダ1200,11,良,1:15.9,,アインゴウユウ,中西武信,松元省一,クニノゴールド,シゲルイナズマ,1:２歳,220.0
