開催日,レース名,距離,地肌,クラス,通時
2021/12/28,2歳未勝利,1200,ダ,未勝利,o.未勝利
2021/12/28,2歳未勝利,1800,ダ,未勝利,o.未勝利
2021/12/28,2歳未勝利,1600,芝,未勝利,o.未勝利
2021/12/28,2歳未勝利,1800,芝,未勝利,o.未勝利
2021/12/28,2歳新馬,2000,芝,新馬,o.未勝利
2021/12/28,2歳新馬,1200,ダ,新馬,o.未勝利
2021/12/28,ヤングJSFR中山1(1勝クラス),2000,芝,1勝,9.1勝
2021/12/28,3歳以上1勝クラス,1200,ダ,1勝,9.1勝
2021/12/28,ヤングJSFR中山2(2勝クラス),1800,ダ,2勝,8.2勝
2021/12/28,ベストウィッシュC(2勝クラス),1200,ダ,2勝,8.2勝
2021/12/28,ホープフルS(G1),2000,芝,G1,1.G1
2021/12/28,立志S(3勝クラス),1600,芝,3勝,7.3勝
2021/12/28,2歳未勝利,1800,ダ,未勝利,o.未勝利
2021/12/28,2歳未勝利,1200,芝,未勝利,o.未勝利
2021/12/28,2歳未勝利,1200,ダ,未勝利,o.未勝利
2021/12/28,障害3歳以上未勝利,2970,障,未勝利,o.未勝利
2021/12/28,2歳新馬,1600,芝,新馬,o.未勝利
2021/12/28,2歳未勝利,1800,芝,未勝利,o.未勝利
2021/12/28,2歳1勝クラス,1800,ダ,1勝,9.1勝
2021/12/28,3歳以上1勝クラス,1400,ダ,1勝,9.1勝
2021/12/28,春待月賞(2勝クラス),1200,ダ,2勝,8.2勝
2021/12/28,フォーチュンC(2勝クラス),2000,芝,2勝,8.2勝
2021/12/28,ベテルギウスS(L),1800,ダ,(L),5.(L)
2021/12/28,2021ファイナルS(3勝クラス),1200,芝,3勝,7.3勝
2021/12/26,2歳未勝利,1200,ダ,未勝利,o.未勝利
2021/12/26,2歳未勝利,1800,ダ,未勝利,o.未勝利
2021/12/26,2歳未勝利,1200,芝,未勝利,o.未勝利
2021/12/26,2歳未勝利,2000,芝,未勝利,o.未勝利
2021/12/26,2歳新馬,1200,ダ,新馬,o.未勝利
2021/12/26,2歳新馬,1600,芝,新馬,o.未勝利
2021/12/26,3歳以上1勝クラス,1800,ダ,1勝,9.1勝
2021/12/26,冬至特別(2勝クラス),1200,ダ,2勝,8.2勝
2021/12/26,グッドラックH(2勝クラス),2500,芝,2勝,8.2勝
2021/12/26,フェアウェルS(3勝クラス),1200,ダ,3勝,7.3勝
2021/12/26,有馬記念(G1),2500,芝,G1,1.G1
2021/12/26,キャンドルライト賞(2勝クラス),1200,芝,2勝,8.2勝
2021/12/26,2歳未勝利,1800,ダ,未勝利,o.未勝利
2021/12/26,2歳未勝利,1400,ダ,未勝利,o.未勝利
2021/12/26,2歳未勝利,2000,芝,未勝利,o.未勝利
2021/12/26,2歳新馬,1800,ダ,新馬,o.未勝利
2021/12/26,障害3歳以上未勝利,2970,障,未勝利,o.未勝利
2021/12/26,2歳新馬,1400,芝,新馬,o.未勝利
2021/12/26,3歳以上1勝クラス,1800,ダ,1勝,9.1勝
2021/12/26,3歳以上1勝クラス,1600,芝,1勝,9.1勝
2021/12/26,鳥取特別(2勝クラス),1800,ダ,2勝,8.2勝
2021/12/26,サンタクロースS(3勝クラス),2000,芝,3勝,7.3勝
2021/12/26,りんくうS(OP),1200,ダ,OP,6.OP
2021/12/26,猪名川特別(2勝クラス),1400,芝,2勝,8.2勝
2021/12/25,2歳未勝利,1200,ダ,未勝利,o.未勝利
2021/12/25,2歳未勝利,1800,ダ,未勝利,o.未勝利
2021/12/25,2歳未勝利,1600,芝,未勝利,o.未勝利
2021/12/25,2歳未勝利,1800,ダ,未勝利,o.未勝利
2021/12/25,2歳新馬,1800,芝,新馬,o.未勝利
2021/12/25,2歳新馬,1800,ダ,新馬,o.未勝利
2021/12/25,2歳1勝クラス,1200,ダ,1勝,9.1勝
2021/12/25,3歳以上1勝クラス,1200,ダ,1勝,9.1勝
2021/12/25,ノエル賞(1勝クラス),1200,芝,1勝,9.1勝
2021/12/25,中山大障害(J.G1),4100,障,G1,1.G1
2021/12/25,グレイトフルS(3勝クラス),2500,芝,3勝,7.3勝
2021/12/25,クリスマスC(2勝クラス),1600,芝,2勝,8.2勝
2021/12/25,2歳未勝利,1800,ダ,未勝利,o.未勝利
2021/12/25,2歳未勝利,1200,ダ,未勝利,o.未勝利
2021/12/25,2歳未勝利,1800,ダ,未勝利,o.未勝利
