開催日,レース名,距離,地肌,クラス
1992/12/27,3歳未勝利,1800,ダ,未勝利
1992/12/27,3歳新馬,1200,ダ,新馬
1992/12/27,3歳新馬,1600,芝,新馬
1992/12/27,4歳以上500万下,1800,ダ,500万
1992/12/27,グッドラックH(900万下),2500,芝,900万
1992/12/27,ホープフルS(OP),2000,芝,OP
1992/12/27,ジョッキーズG.P.(900万下),1800,芝,900万
1992/12/27,’92フェアウェルS(1500万下),2000,芝,1500万
1992/12/27,有馬記念(G1),2500,芝,G1
1992/12/27,4歳以上500万下,1200,ダ,500万
1992/12/27,3歳未勝利,1800,ダ,未勝利
1992/12/27,3歳未勝利,1200,芝,未勝利
1992/12/27,3歳新馬,2000,芝,新馬
1992/12/27,4歳以上500万下,1800,ダ,500万
1992/12/27,障害4歳以上400万下,3000,障,400万
1992/12/27,4歳以上500万下,1200,ダ,500万
1992/12/27,4歳以上900万下,1400,芝,900万
1992/12/27,4歳以上900万下,1800,ダ,900万
1992/12/27,さざんか賞(500万下),1400,ダ,500万
1992/12/27,千種川特別(900万下),2000,芝,900万
1992/12/27,六甲S(OP),2000,芝,OP
1992/12/27,4歳以上900万下,1400,芝,900万
1992/12/26,3歳未勝利,1200,ダ,未勝利
1992/12/26,3歳未勝利,1600,芝,未勝利
1992/12/26,3歳新馬,1200,芝,新馬
1992/12/26,3歳新馬,2000,芝,新馬
1992/12/26,3歳500万下,1200,ダ,500万
1992/12/26,4歳以上500万下,1800,ダ,500万
1992/12/26,4歳以上500万下,1800,ダ,500万
1992/12/26,4歳以上900万下,1200,芝,900万
1992/12/26,クリスマスS(OP),1600,芝,OP
1992/12/26,中山大障害(秋)(G),4100,障,(G)
1992/12/26,テレビ東京3歳牝馬S(G3),1200,芝,G3
1992/12/26,4歳以上900万下,1800,ダ,900万
1992/12/26,3歳未勝利,1200,ダ,未勝利
1992/12/26,3歳未勝利,2000,芝,未勝利
1992/12/26,3歳新馬,1400,ダ,新馬
1992/12/26,3歳新馬,1600,芝,新馬
1992/12/26,障害4歳以上未勝利,3000,障,未勝利
1992/12/26,3歳新馬,1600,芝,新馬
1992/12/26,4歳以上500万下,1800,ダ,500万
1992/12/26,4歳以上500万下,1200,ダ,500万
1992/12/26,江坂特別(900万下),2500,芝,900万
1992/12/26,サンタクロースH(1500万下),1800,ダ,1500万
1992/12/26,ラジオたんぱ杯3歳S(G3),2000,芝,G3
1992/12/26,4歳以上900万下,1200,ダ,900万
1992/12/20,3歳未勝利,1200,ダ,未勝利
1992/12/20,3歳未勝利,1200,芝,未勝利
1992/12/20,3歳未勝利,2000,芝,未勝利
1992/12/20,3歳500万下,1800,ダ,500万
1992/12/20,3歳新馬,1600,芝,新馬
1992/12/20,4歳以上500万下,1200,ダ,500万
1992/12/20,4歳以上500万下,1800,ダ,500万
1992/12/20,千葉テレビ杯(900万下),1200,ダ,900万
1992/12/20,師走S(1500万下),1600,芝,1500万
1992/12/20,スプリンターズS(G1),1200,芝,G1
1992/12/20,4歳以上900万下,2000,芝,900万
1992/12/20,4歳以上OP,1700,ダ,OP
1992/12/20,3歳未勝利,1000,ダ,未勝利
1992/12/20,3歳新馬,2000,芝,新馬
1992/12/20,4歳以上500万下,1700,ダ,500万
1992/12/20,4歳以上500万下,1000,ダ,500万
1992/12/20,4歳以上500万下,1700,ダ,500万
1992/12/20,4歳以上500万下,1000,芝,500万
1992/12/20,4歳以上500万下,2500,芝,500万
1992/12/20,中京3歳S(OP),1800,芝,OP
1992/12/20,クリスマスキャロル賞(900万下),1800,芝,900万
1992/12/20,ウインターS(G3),2300,ダ,G3
1992/12/20,4歳以上500万下,2500,芝,500万
1992/12/20,3歳未勝利,1400,ダ,未勝利
1992/12/20,3歳未勝利,1200,ダ,未勝利
1992/12/20,3歳新馬,1400,芝,新馬
1992/12/20,障害4歳以上OP,3150,障,OP
1992/12/20,3歳500万下,1800,ダ,500万
1992/12/20,4歳以上500万下,1400,ダ,500万
1992/12/20,4歳以上500万下,1800,ダ,500万
1992/12/20,夙川特別(900万下),1400,芝,900万
1992/12/20,オリオンS(1500万下),2500,芝,1500万
1992/12/20,サンスポ阪神牝馬特別(G3),2000,芝,G3
1992/12/20,4歳以上900万下,1600,芝,900万
1992/12/19,3歳未勝利,1200,ダ,未勝利
1992/12/19,3歳未勝利,1200,ダ,未勝利
1992/12/19,3歳未勝利,1600,芝,未勝利
1992/12/19,3歳新馬,1200,ダ,新馬
1992/12/19,4歳以上500万下,1800,ダ,500万
1992/12/19,障害4歳以上未勝利,2700,障,未勝利
1992/12/19,4歳以上500万下,1800,ダ,500万
1992/12/19,4歳以上900万下,1600,芝,900万
1992/12/19,ひいらぎ賞(500万下),1600,芝,500万
1992/12/19,冬至S(1500万下),2500,芝,1500万
1992/12/19,ターコイズS(OP),1800,芝,OP
1992/12/19,4歳以上900万下,1800,ダ,900万
1992/12/19,3歳未勝利,1700,ダ,未勝利
1992/12/19,3歳未勝利,2000,芝,未勝利
1992/12/19,3歳新馬,1000,ダ,新馬
1992/12/19,3歳新馬,1200,芝,新馬
1992/12/19,4歳以上500万下,1000,ダ,500万
1992/12/19,4歳以上500万下,2300,ダ,500万
1992/12/19,4歳以上500万下,1700,ダ,500万
1992/12/19,4歳以上500万下,1800,芝,500万
1992/12/19,アラブ3歳S(OP),1800,芝,OP
1992/12/19,尾張特別(500万下),2000,芝,500万
1992/12/19,天竜川特別(900万下),2500,芝,900万
1992/12/19,4歳以上500万下,1800,芝,500万
1992/12/19,3歳未勝利,1800,ダ,未勝利
1992/12/19,3歳未勝利,1600,芝,未勝利
1992/12/19,3歳未勝利,1600,芝,未勝利
1992/12/19,3歳新馬,1200,芝,新馬
1992/12/19,障害4歳以上未勝利,3000,障,未勝利
1992/12/19,4歳以上500万下,1800,ダ,500万
1992/12/19,4歳以上500万下,1200,ダ,500万
1992/12/19,4歳以上900万下,1800,ダ,900万
1992/12/19,千両賞(500万下),1600,芝,500万
1992/12/19,猪名川特別(900万下),2200,芝,900万
1992/12/19,逆瀬川S(1500万下),1600,芝,1500万
1992/12/19,4歳以上900万下,1400,ダ,900万
1992/12/13,3歳未勝利,1200,芝,未勝利
1992/12/13,3歳未勝利,1800,芝,未勝利
1992/12/13,3歳新馬,1200,ダ,新馬
1992/12/13,3歳新馬,1600,芝,新馬
1992/12/13,3歳新馬,1600,芝,新馬
1992/12/13,障害4歳以上400万下,3200,障,400万
1992/12/13,4歳以上500万下,1200,ダ,500万
1992/12/13,4歳以上500万下,1800,ダ,500万
1992/12/13,北総特別(900万下),2000,芝,900万
1992/12/13,市川S(1500万下),1800,ダ,1500万
1992/12/13,朝日杯3歳S(G1),1600,芝,G1
1992/12/13,4歳以上900万下,1200,ダ,900万
1992/12/13,3歳未勝利,1700,ダ,未勝利
1992/12/13,3歳未勝利,1200,芝,未勝利
1992/12/13,3歳新馬,1000,ダ,新馬
1992/12/13,4歳以上500万下,1700,ダ,500万
1992/12/13,4歳以上500万下,1700,ダ,500万
1992/12/13,4歳以上500万下,1000,ダ,500万
1992/12/13,4歳以上500万下,1700,ダ,500万
1992/12/13,4歳以上500万下,2000,芝,500万
1992/12/13,長篠特別(500万下),1200,芝,500万
1992/12/13,矢作川特別(900万下),1700,ダ,900万
1992/12/13,愛知杯(G3),2000,芝,G3
1992/12/13,4歳以上500万下,2000,芝,500万
1992/12/13,3歳未勝利,1200,ダ,未勝利
1992/12/13,3歳未勝利,2000,芝,未勝利
1992/12/13,3歳新馬,1400,芝,新馬
1992/12/13,3歳新馬,1400,芝,新馬
1992/12/13,3歳新馬,1200,芝,新馬
1992/12/13,4歳以上500万下,1800,ダ,500万
1992/12/13,3歳500万下,1400,芝,500万
1992/12/13,4歳以上500万下,1200,ダ,500万
1992/12/13,高砂特別(900万下),1600,芝,900万
1992/12/13,元町S(1500万下),1400,ダ,1500万
