開催日,レース名,距離,地肌,クラス,通時,適性
2010/12/26,2歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
2010/12/26,2歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
2010/12/26,2歳未勝利,1800,芝,未勝利,o.未勝利,2.芝 マイル
2010/12/26,2歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
2010/12/26,3歳以上500万下,1800,ダ,500万,9.1勝,5.砂 マイル
2010/12/26,3歳以上1000万下,1200,ダ,1000万,8.2勝,4.砂 短距離
2010/12/26,ホープフルS(OP),2000,芝,OP,6.OP,3.芝 中以遠
2010/12/26,グッドラックH(1000万下),2500,芝,1000万,8.2勝,3.芝 中以遠
2010/12/26,フェアウェルS(1600万下),1800,ダ,1600万,7.3勝,5.砂 マイル
2010/12/26,有馬記念(G1),2500,芝,G1,1.G1,3.芝 中以遠
2010/12/26,ハッピーエンドP(1000万下),1200,芝,1000万,8.2勝,1.芝 短距離
2010/12/26,2歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
2010/12/26,2歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
2010/12/26,2歳未勝利,2000,芝,未勝利,o.未勝利,3.芝 中以遠
2010/12/26,障害3歳以上OP,3110,障,OP,6.OP,7.障害
2010/12/26,2歳新馬,1800,ダ,新馬,o.未勝利,5.砂 マイル
2010/12/26,2歳新馬,2000,芝,新馬,o.未勝利,3.芝 中以遠
2010/12/26,2歳500万下,1600,芝,500万,9.1勝,2.芝 マイル
2010/12/26,3歳以上500万下,1800,ダ,500万,9.1勝,5.砂 マイル
2010/12/26,3歳以上1000万下,1400,ダ,1000万,8.2勝,4.砂 短距離
2010/12/26,江坂特別(1000万下),2400,芝,1000万,8.2勝,3.芝 中以遠
2010/12/26,摩耶S(1600万下),1400,ダ,1600万,7.3勝,4.砂 短距離
2010/12/26,2010ファイナルS(OP),1600,芝,OP,6.OP,2.芝 マイル
2010/12/26,2歳未勝利,1000,ダ,未勝利,o.未勝利,4.砂 短距離
2010/12/26,3歳以上500万下,1700,ダ,500万,9.1勝,5.砂 マイル
2010/12/26,2歳未勝利,1200,芝,未勝利,o.未勝利,1.芝 短距離
2010/12/26,2歳未勝利,2000,芝,未勝利,o.未勝利,3.芝 中以遠
2010/12/26,3歳以上500万下,1000,ダ,500万,9.1勝,4.砂 短距離
2010/12/26,3歳以上500万下,2600,芝,500万,9.1勝,3.芝 中以遠
