開催日,レース名,距離,地肌,クラス
1975/12/21,4歳以上勝入,1800,ダ,勝入
1975/12/21,3歳未勝利,1200,芝,未勝利
1975/12/21,3歳未勝利,1600,芝,未勝利
1975/12/21,3歳新馬,1200,芝,新馬
1975/12/21,3歳新馬,1200,芝,新馬
1975/12/21,4歳以上300万下,2000,芝,300万下
1975/12/21,万両賞(300万下),1600,芝,300万下
1975/12/21,4歳以上900万下,1800,芝,900万下
1975/12/21,農林省賞典中山大障害(OP),4100,障,OP
1975/12/21,クリスマスハンデキャ(800万下),2200,芝,800万下
1975/12/21,4歳以上500万下,1600,芝,500万下
1975/12/21,3歳200万下,1600,ダ,200万下
1975/12/21,4歳以上勝入,1700,ダ,勝入
1975/12/21,3歳未勝利,1000,ダ,未勝利
1975/12/21,3歳未勝利,1000,ダ,未勝利
1975/12/21,4歳以上300万下,1600,ダ,300万下
1975/12/21,3歳新馬,1200,芝,新馬
1975/12/21,中京3歳S(OP),1400,芝,OP
1975/12/21,4歳以上300万下,1700,ダ,300万下
1975/12/21,農林省賞典愛知杯(OP),2000,芝,OP
1975/12/21,恵那特別(300万下),1600,ダ,300万下
1975/12/21,4歳以上600万下,1700,ダ,600万下
1975/12/21,3歳未勝利,1200,ダ,未勝利
1975/12/21,3歳未勝利,1600,芝,未勝利
1975/12/21,4歳以上300万下,1800,ダ,300万下
1975/12/21,3歳新馬,1200,芝,新馬
1975/12/21,4歳以上勝入300万円以下,2600,障,勝入
1975/12/21,3歳新馬,1200,芝,新馬
1975/12/21,ひいらぎ賞(300万下),1600,芝,300万下
1975/12/21,4歳以上500万下,1800,ダ,500万下
1975/12/21,阪神大賞典(OP),3000,芝,OP
1975/12/21,冬至特別(500万下),1600,芝,500万下
1975/12/21,4歳以上600万下,1700,ダ,600万下
1975/12/20,3歳勝入,1700,ダ,勝入
1975/12/20,3歳未勝利,1200,芝,未勝利
1975/12/20,3歳未勝利,1200,芝,未勝利
1975/12/20,4歳以上未勝利,2710,障,未勝利
1975/12/20,3歳新馬,1200,芝,新馬
1975/12/20,3歳,1600,芝,
1975/12/20,4歳以上300万下,1600,芝,300万下
1975/12/20,黒松賞(300万下),1600,芝,300万下
1975/12/20,4歳以上500万下,2000,芝,500万下
1975/12/20,ステイヤーズステーク(OP),3600,芝,OP
1975/12/20,冬至特別(600万下),1800,芝,600万下
1975/12/20,4歳以上300万下,1600,芝,300万下
1975/12/20,3歳未勝利,1600,ダ,未勝利
1975/12/20,3歳未勝利,1000,ダ,未勝利
1975/12/20,3歳未勝利,1000,ダ,未勝利
1975/12/20,3歳300万下,1000,ダ,300万下
1975/12/20,3歳新馬,1200,芝,新馬
1975/12/20,4歳以上300万下,1700,ダ,300万下
1975/12/20,アラブ3歳S(OP),1600,ダ,OP
1975/12/20,4歳以上300万下,1600,ダ,300万下
1975/12/20,師走特別(800万下),1700,芝,800万下
1975/12/20,清洲特別(500万下),1800,芝,500万下
1975/12/20,4歳以上300万下,1700,ダ,300万下
1975/12/20,3歳未勝利,1200,ダ,未勝利
1975/12/20,3歳未勝利,1200,ダ,未勝利
1975/12/20,3歳300万下,1200,芝,300万下
1975/12/20,3歳300万下,1200,芝,300万下
1975/12/20,4歳以上300万下,1700,ダ,300万下
1975/12/20,4歳以上勝入,2600,障,勝入
1975/12/20,3歳新馬,1200,芝,新馬
1975/12/20,シクラメン賞(600万下),1600,芝,600万下
1975/12/20,4歳以上900万下,1200,芝,900万下
1975/12/20,サンタクロースH(800万下),1600,芝,800万下
1975/12/20,中距離特別(600万下),2000,芝,600万下
1975/12/20,4歳以上500万下,1700,ダ,500万下
1975/12/14,3歳未勝利,1200,芝,未勝利
1975/12/14,3歳未勝利,1600,芝,未勝利
1975/12/14,3歳新馬,1200,芝,新馬
1975/12/14,3歳300万下,1600,芝,300万下
1975/12/14,4歳以上500万下,1200,芝,500万下
1975/12/14,ひいらぎ賞(600万下),1600,芝,600万下
1975/12/14,中冬S(800万下),1800,芝,800万下
1975/12/14,4歳以上500万下,1800,芝,500万下
1975/12/14,有馬記念(OP),2500,芝,OP
1975/12/14,4歳以上300万下,1600,芝,300万下
1975/12/14,3歳200万下,1600,ダ,200万下
1975/12/14,3歳未勝利,1000,ダ,未勝利
1975/12/14,3歳未勝利,1000,ダ,未勝利
1975/12/14,3歳300万下,1000,ダ,300万下
1975/12/14,4歳以上300万下,1600,ダ,300万下
1975/12/14,3歳新馬,1200,芝,新馬
1975/12/14,4歳以上300万下,1700,ダ,300万下
1975/12/14,4歳以上300万下,1700,ダ,300万下
1975/12/14,アラブ大賞典(OP),1800,芝,OP
1975/12/14,クリスマスキャロルハ(800万下),2400,芝,800万下
1975/12/14,4歳以上500万下,1600,ダ,500万下
1975/12/14,3歳未勝利,1200,ダ,未勝利
1975/12/14,3歳未勝利,1200,ダ,未勝利
1975/12/14,3歳未勝利,1600,芝,未勝利
1975/12/14,3歳300万下,1200,芝,300万下
1975/12/14,4歳以上300万下,1700,ダ,300万下
1975/12/14,3歳新馬,1200,芝,新馬
1975/12/14,北摂特別(500万下),1800,ダ,500万下
1975/12/14,4歳以上300万下,1800,ダ,300万下
1975/12/14,サンケイスポーツ杯阪(OP),2000,芝,OP
1975/12/14,武庫川特別(800万下),2000,芝,800万下
1975/12/14,4歳以上500万下,1200,ダ,500万下
1975/12/13,3歳200万下,1200,ダ,200万下
1975/12/13,3歳未勝利,1200,芝,未勝利
1975/12/13,3歳未勝利,1600,芝,未勝利
1975/12/13,4歳以上勝入300万円以下,2710,障,勝入
1975/12/13,3歳未勝利,1200,芝,未勝利
1975/12/13,3歳新馬,1200,芝,新馬
1975/12/13,4歳以上300万下,1800,芝,300万下
1975/12/13,葉牡丹賞(300万下),1600,芝,300万下
1975/12/13,4歳以上300万下,1800,芝,300万下
1975/12/13,デイセンバーハンデキ(1200万下),2000,芝,1200万下
1975/12/13,南総特別(500万下),2200,芝,500万下
1975/12/13,4歳以上600万下,1600,芝,600万下
1975/12/13,3歳未勝利,1600,ダ,未勝利
1975/12/13,3歳未勝利,1000,ダ,未勝利
1975/12/13,3歳未勝利,1000,ダ,未勝利
1975/12/13,3歳未勝利,1000,ダ,未勝利
1975/12/13,3歳新馬,1200,芝,新馬
1975/12/13,4歳以上300万下,1600,ダ,300万下
1975/12/13,4歳以上300万下,1700,ダ,300万下
1975/12/13,伊勢特別(600万下),1200,芝,600万下
1975/12/13,すずかけ賞(300万下),1200,芝,300万下
1975/12/13,4歳以上500万下,1700,ダ,500万下
1975/12/13,3歳未勝利,1300,芝,未勝利
1975/12/13,3歳未勝利,1200,ダ,未勝利
1975/12/13,3歳未勝利,1200,ダ,未勝利
1975/12/13,4歳以上500万下,1700,ダ,500万下
1975/12/13,4歳以上未勝利,3000,障,未勝利
1975/12/13,3歳新馬,1200,芝,新馬
1975/12/13,さざんか賞(300万下),1600,芝,300万下
1975/12/13,4歳以上300万下,1700,ダ,300万下
1975/12/13,六甲S(900万下),2200,芝,900万下
1975/12/13,逆瀬川特別(600万下),1600,芝,600万下
1975/12/13,4歳以上500万下,1800,ダ,500万下
1975/12/07,4歳以上,1700,ダ,
1975/12/07,3歳未勝利,1200,芝,未勝利
1975/12/07,3歳未勝利,1600,芝,未勝利
1975/12/07,4歳以上未勝利,2710,障,未勝利
1975/12/07,3歳新馬,1200,芝,新馬
1975/12/07,3歳300万下,1200,芝,300万下
