開催日,レース名,距離,地肌,クラス
1978/12/24,3歳勝入,1700,ダ,NoClass
1978/12/24,3歳未勝利,1200,芝,未勝利
1978/12/24,3歳未勝利,1600,芝,未勝利
1978/12/24,3歳新馬,1200,芝,新馬
1978/12/24,3歳400万下,1600,芝,400万
1978/12/24,4歳以上700万下,1600,芝,700万
1978/12/24,ひいらぎ賞(800万下),1600,芝,800万
1978/12/24,4歳以上300万下,2000,芝,300万
1978/12/24,中山大障害(OP),4100,障,OP
1978/12/24,クリスマスハンデキャ(1100万下),2200,芝,1100万
1978/12/24,4歳以上700万下,1800,ダ,700万
1978/12/24,3歳未勝利,1200,ダ,未勝利
1978/12/24,3歳未勝利,1200,ダ,未勝利
1978/12/24,4歳以上300万下,1700,ダ,300万
1978/12/24,3歳新馬,1200,芝,新馬
1978/12/24,4歳以上勝入900万円以下,3200,障,900万
1978/12/24,3歳新馬,1600,芝,新馬
1978/12/24,シクラメン賞(800万下),1600,芝,800万
1978/12/24,4歳以上700万下,1200,ダ,700万
1978/12/24,阪神大賞典(OP),3000,芝,OP
1978/12/24,中距離ハンデキャップ(700万下),2000,芝,700万
1978/12/24,4歳以上1100万下,1900,ダ,1100万
1978/12/23,4歳以上勝入,1800,ダ,NoClass
1978/12/23,3歳未勝利,1200,ダ,未勝利
1978/12/23,3歳未勝利,1600,芝,未勝利
1978/12/23,4歳以上勝入400万円以下,3550,障,400万
1978/12/23,3歳新馬,1200,芝,新馬
1978/12/23,3歳新馬,1200,芝,新馬
1978/12/23,3歳新馬,1600,芝,新馬
1978/12/23,万両賞(400万下),1600,芝,400万
1978/12/23,4歳以上1100万下,1200,芝,1100万
1978/12/23,ステイヤーズステーク(OP),3600,芝,OP
1978/12/23,冬至特別(700万下),2500,芝,700万
1978/12/23,4歳以上300万下,1800,ダ,300万
1978/12/23,3歳未勝利,1200,ダ,未勝利
1978/12/23,3歳未勝利,1200,ダ,未勝利
1978/12/23,4歳以上300万下,1800,ダ,300万
1978/12/23,3歳新馬,1300,芝,新馬
1978/12/23,4歳以上未勝利,3000,障,未勝利
1978/12/23,4歳以上300万下,2000,芝,300万
1978/12/23,4歳以上300万下,2000,芝,300万
1978/12/23,ひいらぎ賞(400万下),1600,芝,400万
1978/12/23,4歳以上700万下,1800,ダ,700万
1978/12/23,サンタクロースH(1100万下),2400,芝,1100万
1978/12/23,冬至特別(700万下),1600,芝,700万
1978/12/23,4歳以上700万下,1800,ダ,700万
1978/12/17,3歳未勝利,1600,芝,未勝利
1978/12/17,3歳未勝利,1200,芝,未勝利
1978/12/17,3歳未勝利,1600,芝,未勝利
1978/12/17,3歳新馬,1600,芝,新馬
1978/12/17,4歳以上300万下,1800,ダ,300万
1978/12/17,葉牡丹賞(400万下),1600,芝,400万
1978/12/17,仲冬特別(700万下),1800,芝,700万
1978/12/17,4歳以上700万下,2000,芝,700万
1978/12/17,有馬記念(OP),2500,芝,OP
1978/12/17,4歳以上300万下,1200,芝,300万
1978/12/17,3歳未勝利,1000,ダ,未勝利
1978/12/17,3歳勝入,1600,ダ,NoClass
1978/12/17,3歳未勝利,1000,ダ,未勝利
1978/12/17,3歳新馬,1200,芝,新馬
1978/12/17,3歳新馬,1200,芝,新馬
1978/12/17,4歳以上300万下,1700,ダ,300万
1978/12/17,葉牡丹賞(400万下),1400,芝,400万
1978/12/17,4歳以上700万下,1700,ダ,700万
1978/12/17,伊勢特別(700万下),1200,芝,700万
1978/12/17,愛知杯(OP),2000,芝,OP
1978/12/17,4歳以上300万下,1700,ダ,300万
1978/12/17,3歳未勝利,1200,ダ,未勝利
1978/12/17,3歳未勝利,1600,芝,未勝利
1978/12/17,3歳400万下,1200,ダ,400万
1978/12/17,4歳以上300万下,1700,ダ,300万
1978/12/17,4歳以上400万下,3200,障,400万
1978/12/17,3歳新馬,1600,芝,新馬
1978/12/17,御影特別(700万下),1600,芝,700万
1978/12/17,4歳以上300万下,1200,ダ,300万
1978/12/17,阪神牝馬特別(OP),2000,芝,OP
1978/12/17,武庫川特別(1100万下),1200,芝,1100万
1978/12/17,4歳以上700万下,1800,ダ,700万
1978/12/16,3歳未勝利,1200,ダ,未勝利
1978/12/16,3歳未勝利,1200,ダ,未勝利
1978/12/16,3歳未勝利,1600,芝,未勝利
1978/12/16,4歳以上未勝利,2700,障,未勝利
1978/12/16,3歳新馬,1200,芝,新馬
1978/12/16,3歳400万下,1200,芝,400万
1978/12/16,4歳以上700万下,1800,芝,700万
1978/12/16,黒松賞(400万下),1600,芝,400万
1978/12/16,4歳以上700万下,1800,芝,700万
1978/12/16,デイセンバーハンデキ(1100万下),1600,芝,1100万
1978/12/16,南総特別(700万下),2200,芝,700万
1978/12/16,4歳以上300万下,1600,芝,300万
1978/12/16,3歳200万下,1700,ダ,200万
1978/12/16,3歳未勝利,1000,ダ,未勝利
1978/12/16,3歳未勝利,1000,ダ,未勝利
1978/12/16,3歳新馬,1200,芝,新馬
1978/12/16,4歳以上,1600,ダ,NoClass
1978/12/16,4歳以上300万下,1700,ダ,300万
1978/12/16,中京3歳S(OP),1400,芝,OP
1978/12/16,4歳以上300万下,1700,ダ,300万
1978/12/16,美濃特別(300万下),1700,ダ,300万
1978/12/16,揖斐川特別(700万下),1800,芝,700万
1978/12/16,4歳以上300万下,1700,ダ,300万
1978/12/16,3歳未勝利,1200,ダ,未勝利
1978/12/16,3歳未勝利,1200,ダ,未勝利
1978/12/16,3歳未勝利,1300,芝,未勝利
1978/12/16,3歳新馬,1200,芝,新馬
1978/12/16,4歳以上未勝利,3000,障,未勝利
1978/12/16,4歳以上300万下,2000,芝,300万
1978/12/16,4歳以上300万下,2000,芝,300万
1978/12/16,さざんか賞(400万下),1300,芝,400万
1978/12/16,4歳以上700万下,1700,ダ,700万
1978/12/16,デイセンバーハンデキ(1100万下),2200,芝,1100万
1978/12/16,夙川特別(700万下),1800,ダ,700万
1978/12/16,4歳以上700万下,1900,ダ,700万
1978/12/10,3歳,1200,ダ,NoClass
1978/12/10,3歳未勝利,1200,芝,未勝利
1978/12/10,3歳未勝利,1600,芝,未勝利
1978/12/10,4歳以上未勝利,2700,障,未勝利
1978/12/10,3歳新馬,1200,芝,新馬
1978/12/10,3歳400万下,1600,芝,400万
1978/12/10,清澄特別(700万下),1800,芝,700万
1978/12/10,4歳以上700万下,2000,芝,700万
1978/12/10,朝日杯3歳S(OP),1600,芝,OP
1978/12/10,牝馬特別(1100万下),1800,芝,1100万
1978/12/10,4歳以上300万下,1600,芝,300万
1978/12/10,3歳未勝利,1600,ダ,未勝利
1978/12/10,3歳未勝利,1000,ダ,未勝利
1978/12/10,3歳未勝利,1000,ダ,未勝利
1978/12/10,4歳以上300万下,1700,ダ,300万
1978/12/10,3歳新馬,1200,芝,新馬
1978/12/10,3歳400万下,1000,ダ,400万
1978/12/10,恵那特別(300万下),1800,芝,300万
1978/12/10,4歳以上700万下,1700,ダ,700万
1978/12/10,清洲特別(700万下),2000,芝,700万
1978/12/10,CBC賞(OP),1400,芝,OP
1978/12/10,4歳以上300万下,1600,ダ,300万
1978/12/10,3歳未勝利,1200,ダ,未勝利
1978/12/10,3歳未勝利,1300,芝,未勝利
1978/12/10,3歳400万下,1200,ダ,400万
1978/12/10,4歳以上300万下,1900,ダ,300万
1978/12/10,4歳以上未勝利,3000,障,未勝利
1978/12/10,3歳新馬,1200,芝,新馬
1978/12/10,仲冬特別(700万下),2000,芝,700万
1978/12/10,4歳以上700万下,1800,ダ,700万
1978/12/10,阪神3歳S(OP),1600,芝,OP
1978/12/10,六甲S(1100万下),1600,芝,1100万
1978/12/10,4歳以上700万下,1700,ダ,700万
1978/12/09,4歳以上,1700,ダ,NoClass
1978/12/09,3歳未勝利,1200,ダ,未勝利
1978/12/09,3歳未勝利,1600,芝,未勝利
1978/12/09,4歳以上400万下,2700,障,400万
1978/12/09,3歳新馬,1200,芝,新馬
1978/12/09,3歳新馬,1200,芝,新馬
1978/12/09,4歳以上300万下,2000,芝,300万
1978/12/09,寒菊賞(400万下),1600,芝,400万
1978/12/09,4歳以上,1600,芝,NoClass
1978/12/09,ウインターハンデキャ(1100万下),2000,芝,1100万
1978/12/09,美駒特別(700万下),1800,ダ,700万
1978/12/09,4歳以上300万下,1800,ダ,300万
1978/12/09,3歳未勝利,1000,ダ,未勝利
1978/12/09,3歳200万下,1600,ダ,200万
1978/12/09,3歳未勝利,1000,ダ,未勝利
1978/12/09,3歳新馬,1200,芝,新馬
1978/12/09,3歳未勝利,1400,芝,未勝利
1978/12/09,4歳以上300万下,1600,ダ,300万
1978/12/09,中距離特別(300万下),1700,ダ,300万
1978/12/09,4歳以上300万下,1700,ダ,300万
1978/12/09,師走特別(700万下),1800,芝,700万
1978/12/09,クリスマスキャロルハ(1100万下),2400,芝,1100万
1978/12/09,4歳以上300万下,1600,ダ,300万
1978/12/09,3歳未勝利,1200,ダ,未勝利
1978/12/09,3歳未勝利,1200,ダ,未勝利
1978/12/09,4歳以上300万下,1700,ダ,300万
1978/12/09,3歳新馬,1200,芝,新馬
1978/12/09,3歳新馬,1200,芝,新馬
1978/12/09,4歳以上300万下,1800,ダ,300万
1978/12/09,3歳新馬,1200,芝,新馬
1978/12/09,障害S(OP),3200,障,OP
1978/12/09,4歳以上700万下,1900,ダ,700万
1978/12/09,逆瀬川特別(700万下),2400,芝,700万
1978/12/09,エリカ賞(400万下),1600,芝,400万
1978/12/09,4歳以上700万下,1200,ダ,700万
1978/12/03,3歳200万下,1700,ダ,200万
1978/12/03,3歳未勝利,1200,芝,未勝利
1978/12/03,3歳未勝利,1600,芝,未勝利
1978/12/03,4歳以上未勝利,2700,障,未勝利
1978/12/03,3歳新馬,1200,芝,新馬
1978/12/03,3歳新馬,1600,芝,新馬
1978/12/03,すずかけ賞(400万下),1600,芝,400万
1978/12/03,4歳以上300万下,2000,芝,300万
1978/12/03,クモハタ記念(OP),1800,芝,OP
1978/12/03,師走特別(700万下),1200,芝,700万
1978/12/03,4歳以上700万下,1600,芝,700万
1978/12/03,3歳200万下,1600,ダ,200万
1978/12/03,3歳未勝利,1000,ダ,未勝利
