開催日,レース名,距離,地肌,クラス
2013/12/23,2歳未勝利,1200,ダ,未勝利
2013/12/23,2歳未勝利,1600,芝,未勝利
2013/12/23,2歳未勝利,1800,芝,未勝利
2013/12/23,2歳新馬,1200,ダ,新馬
2013/12/23,2歳新馬,1800,ダ,新馬
2013/12/23,3歳以上500万下,1200,ダ,500万
2013/12/23,3歳以上500万下,2000,芝,500万
2013/12/23,3歳以上1000万下,1800,ダ,1000万
2013/12/23,冬桜賞(500万下),1200,ダ,500万
2013/12/23,クリスマスC(1600万下),2200,芝,1600万
2013/12/23,フェアウェルS(OP),1800,ダ,OP
2013/12/23,ハッピーエンドC(1000万下),1200,芝,1000万
2013/12/23,2歳未勝利,1800,ダ,未勝利
2013/12/23,2歳未勝利,1200,ダ,未勝利
2013/12/23,2歳新馬,1800,ダ,新馬
2013/12/23,障害3歳以上未勝利,2970,障,未勝利
2013/12/23,2歳新馬,1800,芝,新馬
2013/12/23,3歳以上500万下,1400,ダ,500万
2013/12/23,3歳以上500万下,2200,芝,500万
2013/12/23,3歳以上500万下,1800,ダ,500万
2013/12/23,万両賞(500万下),1400,芝,500万
2013/12/23,リボン賞(1000万下),2000,芝,1000万
2013/12/23,阪神C(G2),1400,芝,G2
2013/12/23,2013ファイナルS(1600万下),1400,ダ,1600万
2013/12/22,2歳未勝利,1200,ダ,未勝利
2013/12/22,2歳未勝利,1800,ダ,未勝利
2013/12/22,2歳未勝利,1800,ダ,未勝利
2013/12/22,2歳新馬,2000,芝,新馬
2013/12/22,3歳以上500万下,1800,ダ,500万
2013/12/22,3歳以上1000万下,1200,ダ,1000万
2013/12/22,ホープフルS(OP),2000,芝,OP
2013/12/22,グッドラックH(1000万下),2500,芝,1000万
2013/12/22,師走S(1600万下),1800,ダ,1600万
2013/12/22,有馬記念(G1),2500,芝,G1
2013/12/22,ノエル賞(1000万下),1600,芝,1000万
2013/12/22,2歳未勝利,1200,ダ,未勝利
2013/12/22,2歳未勝利,1800,ダ,未勝利
2013/12/22,2歳未勝利,1600,芝,未勝利
2013/12/22,2歳未勝利,2000,芝,未勝利
2013/12/22,2歳新馬,1400,芝,新馬
2013/12/22,3歳以上500万下,1200,ダ,500万
2013/12/22,3歳以上500万下,1800,ダ,500万
2013/12/22,3歳以上1000万下,1600,芝,1000万
2013/12/22,樅の木賞(500万下),1800,ダ,500万
2013/12/22,江坂特別(1000万下),2400,芝,1000万
2013/12/22,サンタクロースH(1600万下),2000,芝,1600万
2013/12/22,ギャラクシーS(OP),1400,ダ,OP
2013/12/21,2歳未勝利,1200,ダ,未勝利
2013/12/21,2歳未勝利,1800,ダ,未勝利
2013/12/21,2歳未勝利,2000,芝,未勝利
2013/12/21,2歳新馬,1200,ダ,新馬
2013/12/21,2歳新馬,1600,芝,新馬
2013/12/21,3歳以上500万下,1200,ダ,500万
2013/12/21,3歳以上500万下,2500,ダ,500万
2013/12/21,3歳以上500万下,1800,ダ,500万
2013/12/21,クリスマスローズS(OP),1200,芝,OP
2013/12/21,中山大障害(J.G1),4100,障,G1
2013/12/21,ラピスラズリS(OP),1200,芝,OP
2013/12/21,冬至特別(1000万下),1800,芝,1000万
2013/12/21,2歳未勝利,1800,ダ,未勝利
2013/12/21,2歳未勝利,1400,ダ,未勝利
2013/12/21,2歳未勝利,1800,芝,未勝利
2013/12/21,2歳未勝利,1400,芝,未勝利
2013/12/21,2歳新馬,1600,芝,新馬
2013/12/21,2歳新馬,1200,ダ,新馬
2013/12/21,3歳以上500万下,1800,ダ,500万
2013/12/21,3歳以上500万下,1200,ダ,500万
2013/12/21,赤穂特別(1000万下),2000,ダ,1000万
2013/12/21,六甲アイランドS(1600万下),1200,芝,1600万
2013/12/21,ラジオNIKKEI杯(G3),2000,芝,G3
2013/12/21,3歳以上1000万下,1400,ダ,1000万
2013/12/15,2歳未勝利,1200,ダ,未勝利
2013/12/15,2歳未勝利,1800,ダ,未勝利
2013/12/15,2歳未勝利,1200,芝,未勝利
2013/12/15,2歳未勝利,2000,芝,未勝利
2013/12/15,2歳新馬,1600,芝,新馬
2013/12/15,2歳新馬,1800,ダ,新馬
2013/12/15,3歳以上500万下,1800,ダ,500万
2013/12/15,3歳以上1000万下,1200,ダ,1000万
2013/12/15,チバテレ杯(1000万下),2000,芝,1000万
2013/12/15,仲冬S(1600万下),1200,ダ,1600万
2013/12/15,朝日フューチュリティ(G1),1600,芝,G1
2013/12/15,南総S(1600万下),1600,芝,1600万
2013/12/15,2歳未勝利,1800,ダ,未勝利
2013/12/15,3歳以上500万下,1400,ダ,500万
2013/12/15,3歳以上500万下,1200,ダ,500万
2013/12/15,2歳未勝利,1600,芝,未勝利
2013/12/15,2歳未勝利,1400,芝,未勝利
2013/12/15,3歳以上500万下,1800,ダ,500万
2013/12/15,3歳以上500万下,1200,芝,500万
2013/12/15,3歳以上500万下,1800,ダ,500万
2013/12/15,3歳以上500万下,1400,芝,500万
2013/12/15,栄特別(500万下),2000,芝,500万
2013/12/15,名古屋日刊スポーツ杯(1000万下),2200,芝,1000万
2013/12/15,大須特別(500万下),1400,ダ,500万
2013/12/15,2歳未勝利,1200,ダ,未勝利
2013/12/15,2歳未勝利,1400,ダ,未勝利
2013/12/15,2歳未勝利,1200,芝,未勝利
2013/12/15,障害3歳以上OP,3110,障,OP
2013/12/15,2歳未勝利,2000,芝,未勝利
2013/12/15,2歳新馬,1600,芝,新馬
2013/12/15,2歳500万下,1200,ダ,500万
2013/12/15,3歳以上500万下,1600,芝,500万
2013/12/15,高砂特別(1000万下),1200,芝,1000万
2013/12/15,元町S(1600万下),1800,芝,1600万
2013/12/15,ベテルギウスS(OP),2000,ダ,OP
2013/12/15,3歳以上1000万下,1800,ダ,1000万
2013/12/14,2歳未勝利,1200,ダ,未勝利
2013/12/14,2歳未勝利,1800,ダ,未勝利
2013/12/14,2歳未勝利,1800,ダ,未勝利
2013/12/14,障害3歳以上未勝利,2880,障,未勝利
2013/12/14,2歳未勝利,1600,芝,未勝利
2013/12/14,2歳新馬,1200,ダ,新馬
2013/12/14,2歳新馬,1800,芝,新馬
2013/12/14,3歳以上500万下,1200,ダ,500万
2013/12/14,ひいらぎ賞(500万下),1600,芝,500万
2013/12/14,香取特別(1000万下),1800,ダ,1000万
2013/12/14,ディセンバーS(OP),1800,芝,OP
2013/12/14,3歳以上1000万下,1600,芝,1000万
2013/12/14,2歳未勝利,1200,ダ,未勝利
2013/12/14,3歳以上500万下,1800,ダ,500万
2013/12/14,3歳以上500万下,1400,ダ,500万
2013/12/14,2歳未勝利,2000,芝,未勝利
2013/12/14,2歳新馬,1400,芝,新馬
2013/12/14,3歳以上500万下,1800,ダ,500万
2013/12/14,3歳以上500万下,1200,ダ,500万
2013/12/14,3歳以上500万下,2200,芝,500万
2013/12/14,3歳以上500万下,1900,ダ,500万
2013/12/14,つわぶき賞(500万下),1400,芝,500万
2013/12/14,愛知杯(G3),2000,芝,G3
2013/12/14,中京日経賞(1000万下),1600,芝,1000万
2013/12/14,2歳未勝利,1400,ダ,未勝利
2013/12/14,2歳未勝利,1800,ダ,未勝利
2013/12/14,2歳未勝利,1600,芝,未勝利
2013/12/14,障害3歳以上未勝利,2970,障,未勝利
2013/12/14,2歳新馬,2000,芝,新馬
2013/12/14,2歳新馬,1400,ダ,新馬
2013/12/14,2歳500万下,1200,芝,500万
2013/12/14,3歳以上500万下,1800,ダ,500万
2013/12/14,猪名川特別(1000万下),1800,芝,1000万
2013/12/14,摩耶S(1600万下),1800,ダ,1600万
2013/12/14,リゲルS(OP),1600,芝,OP
2013/12/14,3歳以上1000万下,1200,ダ,1000万
2013/12/08,2歳未勝利,1200,ダ,未勝利
2013/12/08,2歳未勝利,1800,ダ,未勝利
2013/12/08,2歳未勝利,1800,芝,未勝利
2013/12/08,障害3歳以上未勝利,2880,障,未勝利
2013/12/08,2歳新馬,2000,芝,新馬
2013/12/08,2歳新馬,1600,芝,新馬
2013/12/08,2歳500万下,1800,ダ,500万
2013/12/08,3歳以上500万下,1800,ダ,500万
2013/12/08,舞浜特別(1000万下),1200,ダ,1000万
2013/12/08,美浦S(1600万下),1800,芝,1600万
2013/12/08,カペラS(G3),1200,ダ,G3
2013/12/08,3歳以上1000万下,1600,芝,1000万
2013/12/08,2歳未勝利,1800,ダ,未勝利
2013/12/08,2歳未勝利,1400,ダ,未勝利
2013/12/08,3歳以上500万下,1800,ダ,500万
2013/12/08,3歳以上500万下,1200,ダ,500万
2013/12/08,2歳新馬,2000,芝,新馬
2013/12/08,3歳以上500万下,1400,ダ,500万
2013/12/08,3歳以上500万下,2200,芝,500万
2013/12/08,3歳以上500万下,1400,芝,500万
2013/12/08,3歳以上500万下,1800,ダ,500万
2013/12/08,こうやまき賞(500万下),1600,芝,500万
2013/12/08,尾張S(OP),1200,芝,OP
2013/12/08,遠州灘特別(1000万下),2000,芝,1000万
2013/12/08,2歳未勝利,1800,ダ,未勝利
