開催日,レース名,距離,地肌,クラス,通時,適性
2002/12/22,2歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
2002/12/22,2歳未勝利,1200,芝,未勝利,o.未勝利,1.芝 短距離
2002/12/22,2歳新馬,1200,ダ,新馬,o.未勝利,4.砂 短距離
2002/12/22,2歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
2002/12/22,3歳以上500万下,1800,ダ,500万,9.1勝,5.砂 マイル
2002/12/22,ホープフルS(OP),2000,芝,OP,6.OP,3.芝 中以遠
2002/12/22,グッドラックH(1000万下),2500,芝,1000万,8.2勝,3.芝 中以遠
2002/12/22,フェアウェルS(1600万下),1800,ダ,1600万,7.3勝,5.砂 マイル
2002/12/22,有馬記念(G1),2500,芝,G1,1.G1,3.芝 中以遠
2002/12/22,ハッピーエンドC(1000万下),1200,ダ,1000万,8.2勝,4.砂 短距離
2002/12/22,2歳未勝利,1700,ダ,未勝利,o.未勝利,5.砂 マイル
2002/12/22,2歳新馬,1700,ダ,新馬,o.未勝利,5.砂 マイル
2002/12/22,2歳新馬,1200,芝,新馬,o.未勝利,1.芝 短距離
2002/12/22,3歳以上500万下,1000,ダ,500万,9.1勝,4.砂 短距離
2002/12/22,3歳以上500万下,1700,ダ,500万,9.1勝,5.砂 マイル
2002/12/22,3歳以上500万下,1000,ダ,500万,9.1勝,4.砂 短距離
2002/12/22,3歳以上500万下,1700,ダ,500万,9.1勝,5.砂 マイル
2002/12/22,3歳以上500万下,1200,芝,500万,9.1勝,1.芝 短距離
2002/12/22,3歳以上500万下,1700,ダ,500万,9.1勝,5.砂 マイル
2002/12/22,矢作川特別(1000万下),1700,ダ,1000万,8.2勝,5.砂 マイル
2002/12/22,中京日経賞(1000万下),1200,芝,1000万,8.2勝,1.芝 短距離
2002/12/22,尾張特別(500万下),1800,芝,500万,9.1勝,2.芝 マイル
2002/12/22,2歳新馬,2000,芝,新馬,o.未勝利,3.芝 中以遠
2002/12/22,2歳未勝利,1400,ダ,未勝利,o.未勝利,4.砂 短距離
2002/12/22,2歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
2002/12/22,2歳新馬,1400,芝,新馬,o.未勝利,1.芝 短距離
