開催日,レース名,距離,地肌,クラス,通時,適性
1986/12/21,3歳未勝利,1200,芝,未勝利,o.未勝利,1.芝 短距離
1986/12/21,3歳未勝利,2000,芝,未勝利,o.未勝利,3.芝 中以遠
1986/12/21,3歳新馬,1200,ダ,新馬,o.未勝利,4.砂 短距離
1986/12/21,3歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
1986/12/21,障害4歳以上未勝利,2700,障,未勝利,o.未勝利,7.障害
1986/12/21,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1986/12/21,4歳以上900万下,2000,芝,900万,8.2勝,3.芝 中以遠
1986/12/21,万両賞(400万下),1800,芝,400万,9.1勝,2.芝 マイル
1986/12/21,南総特別(900万下),1800,ダ,900万,8.2勝,5.砂 マイル
1986/12/21,有馬記念(G1),2500,芝,G1,1.G1,3.芝 中以遠
1986/12/21,4歳以上1400万下,1800,ダ,1400万,7.3勝,5.砂 マイル
1986/12/21,3歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
1986/12/21,3歳新馬,2000,芝,新馬,o.未勝利,3.芝 中以遠
1986/12/21,3歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
1986/12/21,4歳以上400万下,1200,ダ,400万,9.1勝,4.砂 短距離
1986/12/21,障害4歳以上400万下,3200,障,400万,9.1勝,7.障害
1986/12/21,3歳400万下,1200,ダ,400万,9.1勝,4.砂 短距離
1986/12/21,4歳以上400万下,1200,ダ,400万,9.1勝,4.砂 短距離
1986/12/21,4歳以上900万下,1800,ダ,900万,8.2勝,5.砂 マイル
1986/12/21,シクラメン賞(OP),2000,芝,OP,6.OP,3.芝 中以遠
1986/12/21,サンタクロースH(1400万下),2500,芝,1400万,7.3勝,3.芝 中以遠
1986/12/21,サンスポ阪神牝馬特別(G3),2000,芝,G3,3.G3,3.芝 中以遠
1986/12/21,4歳以上900万下,1600,芝,900万,8.2勝,2.芝 マイル
1986/12/20,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1986/12/20,3歳新馬,1800,芝,新馬,o.未勝利,2.芝 マイル
1986/12/20,3歳新馬,1200,芝,新馬,o.未勝利,1.芝 短距離
1986/12/20,3歳400万下,1200,ダ,400万,9.1勝,4.砂 短距離
1986/12/20,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1986/12/20,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1986/12/20,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1986/12/20,ひいらぎ賞(OP),2000,芝,OP,6.OP,3.芝 中以遠
1986/12/20,4歳以上900万下,2500,ダ,900万,8.2勝,6.砂 中以遠
1986/12/20,中山大障害(秋)(G),4100,障,(G),4.(G),7.障害
1986/12/20,クリスマスS(OP),1600,芝,OP,6.OP,2.芝 マイル
1986/12/20,4歳以上900万下,1800,ダ,900万,8.2勝,5.砂 マイル
1986/12/20,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1986/12/20,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1986/12/20,3歳未勝利,2000,芝,未勝利,o.未勝利,3.芝 中以遠
1986/12/20,3歳新馬,1400,芝,新馬,o.未勝利,1.芝 短距離
1986/12/20,障害4歳以上未勝利,3000,障,未勝利,o.未勝利,7.障害
1986/12/20,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1986/12/20,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1986/12/20,4歳以上900万下,1200,ダ,900万,8.2勝,4.砂 短距離
1986/12/20,千両賞(400万下),1600,芝,400万,9.1勝,2.芝 マイル
1986/12/20,冬至特別(900万下),1800,ダ,900万,8.2勝,5.砂 マイル
1986/12/20,セントウルS(OP),2200,芝,OP,6.OP,3.芝 中以遠
1986/12/20,4歳以上900万下,2000,芝,900万,8.2勝,3.芝 中以遠
1986/12/14,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1986/12/14,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1986/12/14,3歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
1986/12/14,3歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
1986/12/14,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1986/12/14,3歳400万下,1200,ダ,400万,9.1勝,4.砂 短距離
1986/12/14,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1986/12/14,4歳以上900万下,1700,ダ,900万,8.2勝,5.砂 マイル
1986/12/14,北総特別(900万下),2000,芝,900万,8.2勝,3.芝 中以遠
1986/12/14,ターコイズS(OP),2000,芝,OP,6.OP,3.芝 中以遠
1986/12/14,朝日杯3歳S(G1),1600,芝,G1,1.G1,2.芝 マイル
1986/12/14,4歳以上900万下,1600,芝,900万,8.2勝,2.芝 マイル
