開催日,レース名,距離,地肌,クラス
1989/12/24,3歳未勝利,1200,ダ,未勝利
1989/12/24,3歳未勝利,1600,芝,未勝利
1989/12/24,3歳新馬,1200,ダ,新馬
1989/12/24,3歳新馬,1600,芝,新馬
1989/12/24,グッドラックH(900万下),2500,芝,900万
1989/12/24,ホープフルS(OP),2000,芝,OP
1989/12/24,ジョッキーズG.P.(900万下),1800,芝,900万
1989/12/24,’89フェアウェルS(1400万下),2000,芝,1400万
1989/12/24,有馬記念(G1),2500,芝,G1
1989/12/24,4歳以上400万下,1800,ダ,400万
1989/12/24,3歳未勝利,1200,ダ,未勝利
1989/12/24,3歳新馬,2000,芝,新馬
1989/12/24,3歳400万下,1200,ダ,400万
1989/12/24,4歳以上400万下,1800,ダ,400万
1989/12/24,障害4歳以上400万下,3200,障,400万
1989/12/24,4歳以上900万下,1800,ダ,900万
1989/12/24,4歳以上900万下,2500,芝,900万
1989/12/24,4歳以上900万下,1200,芝,900万
1989/12/24,シクラメンS(OP),2000,芝,OP
1989/12/24,サンタクロースH(1400万下),1800,ダ,1400万
1989/12/24,サンスポ阪神牝馬特別(G3),2000,芝,G3
1989/12/24,4歳以上900万下,1200,芝,900万
1989/12/23,3歳未勝利,1200,ダ,未勝利
1989/12/23,3歳未勝利,2000,芝,未勝利
1989/12/23,3歳新馬,1200,芝,新馬
1989/12/23,3歳新馬,1800,芝,新馬
1989/12/23,4歳以上400万下,1800,ダ,400万
1989/12/23,4歳以上400万下,1800,ダ,400万
1989/12/23,4歳以上400万下,1200,ダ,400万
1989/12/23,4歳以上900万下,1800,ダ,900万
1989/12/23,ひいらぎ賞(400万下),1600,芝,400万
1989/12/23,中山大障害(秋)(G),4100,障,(G)
1989/12/23,クリスマスS(OP),1600,芝,OP
1989/12/23,4歳以上900万下,1200,芝,900万
1989/12/23,3歳未勝利,1200,ダ,未勝利
1989/12/23,3歳未勝利,2000,芝,未勝利
1989/12/23,3歳未勝利,2000,芝,未勝利
1989/12/23,3歳新馬,1200,ダ,新馬
1989/12/23,障害4歳以上未勝利,3000,障,未勝利
1989/12/23,3歳新馬,1400,芝,新馬
1989/12/23,4歳以上400万下,1200,ダ,400万
1989/12/23,4歳以上400万下,1800,ダ,400万
1989/12/23,千両賞(400万下),1600,芝,400万
1989/12/23,夙川特別(900万下),1400,芝,900万
1989/12/23,六甲S(OP),2000,芝,OP
1989/12/23,4歳以上900万下,1800,ダ,900万
1989/12/17,3歳OP,1200,ダ,OP
1989/12/17,3歳未勝利,1200,ダ,未勝利
1989/12/17,3歳未勝利,1200,芝,未勝利
1989/12/17,3歳新馬,1600,芝,新馬
1989/12/17,3歳400万下,1800,ダ,400万
1989/12/17,4歳以上900万下,1600,芝,900万
1989/12/17,4歳以上900万下,1600,芝,900万
1989/12/17,4歳以上400万下,1800,ダ,400万
1989/12/17,師走特別(900万下),1200,ダ,900万
1989/12/17,ターコイズS(OP),2000,芝,OP
1989/12/17,朝日杯3歳S(G1),1600,芝,G1
1989/12/17,4歳以上900万下,2500,芝,900万
1989/12/17,4歳以上OP,1700,ダ,OP
1989/12/17,3歳未勝利,1700,ダ,未勝利
1989/12/17,3歳新馬,1200,芝,新馬
1989/12/17,4歳以上400万下,2200,ダ,400万
1989/12/17,4歳以上400万下,2000,芝,400万
1989/12/17,4歳以上400万下,2000,芝,400万
1989/12/17,4歳以上400万下,1700,ダ,400万
1989/12/17,4歳以上400万下,1200,芝,400万
1989/12/17,中京3歳S(OP),1800,芝,OP
1989/12/17,クリスマスキャロル賞(900万下),1800,芝,900万
1989/12/17,CBC賞(G3),1200,芝,G3
1989/12/17,4歳以上400万下,1700,ダ,400万
1989/12/17,3歳未勝利,1600,芝,未勝利
1989/12/17,3歳未勝利,1600,芝,未勝利
1989/12/17,3歳未勝利,1200,ダ,未勝利
1989/12/17,3歳新馬,1200,芝,新馬
1989/12/17,障害4歳以上未勝利,3000,障,未勝利
1989/12/17,4歳以上400万下,1800,ダ,400万
1989/12/17,4歳以上400万下,1200,ダ,400万
1989/12/17,4歳以上900万下,1800,ダ,900万
1989/12/17,オリオンS(1400万下),2500,芝,1400万
1989/12/17,高砂特別(900万下),1600,芝,900万
1989/12/17,阪神3歳S(G1),1600,芝,G1
1989/12/17,4歳以上900万下,2000,芝,900万
1989/12/16,3歳未勝利,1200,ダ,未勝利
1989/12/16,3歳未勝利,1600,芝,未勝利
1989/12/16,3歳新馬,1200,ダ,新馬
1989/12/16,4歳以上400万下,1800,ダ,400万
1989/12/16,障害4歳以上未勝利,2700,障,未勝利
1989/12/16,4歳以上400万下,1200,ダ,400万
1989/12/16,4歳以上400万下,1800,ダ,400万
1989/12/16,北総特別(900万下),2000,芝,900万
1989/12/16,冬至S(1400万下),2500,芝,1400万
1989/12/16,テレビ東京3歳牝馬S(G3),1600,芝,G3
1989/12/16,4歳以上900万下,1800,ダ,900万
1989/12/16,3歳未勝利,1700,ダ,未勝利
1989/12/16,3歳未勝利,1200,芝,未勝利
1989/12/16,3歳新馬,1000,ダ,新馬
1989/12/16,3歳新馬,2000,芝,新馬
1989/12/16,4歳以上400万下,1000,ダ,400万
1989/12/16,4歳以上400万下,1800,芝,400万
1989/12/16,4歳以上400万下,1800,芝,400万
1989/12/16,4歳以上400万下,1700,ダ,400万
1989/12/16,アラブ3歳S(OP),1800,芝,OP
1989/12/16,恵那特別(400万下),1800,芝,400万
1989/12/16,天竜川特別(900万下),2500,芝,900万
1989/12/16,4歳以上400万下,1700,ダ,400万
1989/12/16,3歳未勝利,1800,ダ,未勝利
1989/12/16,3歳未勝利,1200,芝,未勝利
1989/12/16,3歳未勝利,1200,芝,未勝利
1989/12/16,3歳新馬,1600,芝,新馬
1989/12/16,障害4歳以上OP,3200,障,OP
1989/12/16,3歳400万下,1700,ダ,400万
1989/12/16,4歳以上400万下,1800,ダ,400万
1989/12/16,4歳以上900万下,1200,ダ,900万
1989/12/16,吹田特別(400万下),1200,芝,400万
1989/12/16,千種川特別(900万下),2000,芝,900万
1989/12/16,逆瀬川S(1400万下),1600,芝,1400万
1989/12/16,4歳以上900万下,1800,ダ,900万
1989/12/10,3歳未勝利,1200,ダ,未勝利
1989/12/10,3歳未勝利,1600,芝,未勝利
1989/12/10,3歳新馬,1200,芝,新馬
1989/12/10,3歳新馬,1200,芝,新馬
1989/12/10,3歳400万下,1200,ダ,400万
1989/12/10,障害4歳以上400万下,3200,障,400万
1989/12/10,4歳以上900万下,1200,ダ,900万
1989/12/10,4歳以上400万下,1800,ダ,400万
1989/12/10,清澄特別(900万下),1600,芝,900万
1989/12/10,仲冬S(1400万下),1200,芝,1400万
1989/12/10,ステイヤーズS(G3),3600,芝,G3
1989/12/10,4歳以上900万下,1800,ダ,900万
1989/12/10,3歳未勝利,1700,ダ,未勝利
1989/12/10,3歳未勝利,1000,ダ,未勝利
1989/12/10,3歳未勝利,1200,芝,未勝利
1989/12/10,3歳新馬,1200,芝,新馬
1989/12/10,4歳以上400万下,1700,ダ,400万
1989/12/10,4歳以上400万下,1000,ダ,400万
1989/12/10,4歳以上400万下,1800,芝,400万
1989/12/10,4歳以上400万下,1800,芝,400万
1989/12/10,濃尾特別(400万下),1700,ダ,400万
1989/12/10,伊吹山特別(900万下),1200,芝,900万
1989/12/10,愛知杯(G3),2000,芝,G3
1989/12/10,4歳以上400万下,1700,ダ,400万
1989/12/10,3歳未勝利,1700,ダ,未勝利
1989/12/10,3歳未勝利,1200,ダ,未勝利
1989/12/10,3歳新馬,1200,ダ,新馬
1989/12/10,障害4歳以上400万下,3000,障,400万
1989/12/10,3歳新馬,1400,芝,新馬
1989/12/10,4歳以上400万下,1800,ダ,400万
1989/12/10,4歳以上400万下,1800,ダ,400万
1989/12/10,猪名川特別(900万下),2000,芝,900万
1989/12/10,阪神RC開設40周年(1400万下),1200,ダ,1400万
1989/12/10,ラジオたんぱ3歳牝S(G3),1600,芝,G3
1989/12/10,4歳以上900万下,1400,芝,900万
1989/12/09,3歳未勝利,1200,ダ,未勝利
1989/12/09,3歳未勝利,1800,芝,未勝利
1989/12/09,3歳新馬,1200,ダ,新馬
1989/12/09,3歳新馬,1600,芝,新馬
1989/12/09,4歳以上400万下,1800,ダ,400万
1989/12/09,障害4歳以上未勝利,2700,障,未勝利
1989/12/09,4歳以上400万下,1200,ダ,400万
1989/12/09,4歳以上400万下,1800,ダ,400万
1989/12/09,黒松賞(400万下),1200,芝,400万
1989/12/09,鹿野山特別(900万下),1800,芝,900万
1989/12/09,市川S(1400万下),1800,ダ,1400万
1989/12/09,4歳以上900万下,2000,芝,900万
1989/12/09,3歳未勝利,1000,ダ,未勝利
1989/12/09,3歳300万下,1700,ダ,300万
1989/12/09,3歳未勝利,2000,芝,未勝利
1989/12/09,3歳新馬,1200,芝,新馬
1989/12/09,4歳以上400万下,1700,ダ,400万
1989/12/09,4歳以上400万下,1000,ダ,400万
1989/12/09,4歳以上400万下,1000,ダ,400万
1989/12/09,4歳以上400万下,1700,ダ,400万
1989/12/09,樅の木賞(400万下),1200,芝,400万
1989/12/09,揖斐川特別(400万下),2500,芝,400万
1989/12/09,尾張特別(900万下),2000,芝,900万
1989/12/09,4歳以上400万下,1700,ダ,400万
1989/12/09,3歳未勝利,1200,ダ,未勝利
1989/12/09,3歳未勝利,2000,芝,未勝利
1989/12/09,3歳新馬,1200,芝,新馬
1989/12/09,3歳新馬,1600,芝,新馬
1989/12/09,障害4歳以上未勝利,3000,障,未勝利
1989/12/09,3歳新馬,1600,芝,新馬
1989/12/09,4歳以上400万下,1200,ダ,400万
1989/12/09,4歳以上900万下,2200,芝,900万
1989/12/09,さざんか賞(400万下),1400,芝,400万
1989/12/09,葺合特別(400万下),2000,芝,400万
1989/12/09,北摂特別(900万下),1800,ダ,900万
1989/12/09,4歳以上900万下,1200,ダ,900万
1989/12/03,3歳未勝利,1200,ダ,未勝利
1989/12/03,3歳未勝利,2000,芝,未勝利
1989/12/03,3歳新馬,1200,芝,新馬
1989/12/03,3歳新馬,1600,芝,新馬
1989/12/03,3歳新馬,1600,芝,新馬
1989/12/03,障害4歳以上未勝利,2700,障,未勝利
1989/12/03,4歳以上400万下,1200,ダ,400万
1989/12/03,4歳以上400万下,1800,ダ,400万
1989/12/03,葉牡丹賞(400万下),2000,芝,400万
1989/12/03,美浦特別(900万下),2600,芝,900万
1989/12/03,ダービー卿チャレンジ(G3),1600,芝,G3
1989/12/03,4歳以上900万下,1200,ダ,900万
1989/12/03,3歳OP,1200,芝,OP
1989/12/03,3歳未勝利,1700,ダ,未勝利
1989/12/03,3歳新馬,1000,ダ,新馬
1989/12/03,3歳新馬,1200,芝,新馬
1989/12/03,4歳以上400万下,1700,ダ,400万
1989/12/03,4歳以上400万下,1700,ダ,400万
1989/12/03,4歳以上400万下,1200,芝,400万
1989/12/03,4歳以上400万下,1200,芝,400万
1989/12/03,長篠特別(400万下),2000,芝,400万
1989/12/03,鳥羽特別(900万下),1800,芝,900万
1989/12/03,ウインターS(G3),2200,ダ,G3
1989/12/03,4歳以上400万下,1700,ダ,400万
1989/12/03,3歳未勝利,1700,ダ,未勝利
1989/12/03,3歳未勝利,1200,ダ,未勝利
1989/12/03,3歳新馬,1200,芝,新馬
1989/12/03,3歳新馬,1200,芝,新馬
1989/12/03,3歳新馬,1600,芝,新馬
1989/12/03,3歳400万下,1200,ダ,400万
1989/12/03,4歳以上400万下,1800,ダ,400万
1989/12/03,4歳以上400万下,1200,ダ,400万
1989/12/03,ゴールデンサドルT(900万下),1600,芝,900万
1989/12/03,鳴尾記念(G2),2500,芝,G2
1989/12/03,ゴールデンホィップT(1400万下),2000,芝,1400万
1989/12/03,4歳以上900万下,1800,ダ,900万
1989/12/02,3歳未勝利,1400,芝,未勝利
1989/12/02,3歳未勝利,1200,ダ,未勝利
1989/12/02,3歳未勝利,1200,ダ,未勝利
1989/12/02,3歳新馬,2000,芝,新馬
1989/12/02,4歳以上400万下,1800,ダ,400万
1989/12/02,障害4歳以上OP,3200,障,OP
1989/12/02,3歳新馬,1200,ダ,新馬
1989/12/02,4歳以上400万下,1800,ダ,400万
1989/12/02,すずかけS(OP),1200,芝,OP
1989/12/02,南総特別(900万下),1800,ダ,900万
1989/12/02,ディセンバーS(OP),2000,芝,OP
1989/12/02,4歳以上900万下,1800,芝,900万
1989/12/02,3歳未勝利,1700,ダ,未勝利
1989/12/02,3歳未勝利,1200,芝,未勝利
1989/12/02,3歳新馬,1200,芝,新馬
1989/12/02,4歳以上400万下,1700,ダ,400万
1989/12/02,4歳以上400万下,1000,ダ,400万
1989/12/02,4歳以上400万下,1700,ダ,400万
1989/12/02,4歳以上400万下,1700,ダ,400万
1989/12/02,4歳以上400万下,2000,芝,400万
1989/12/02,アラブ大賞典(OP),2500,芝,OP
1989/12/02,高山特別(400万下),1800,芝,400万
1989/12/02,矢作川特別(900万下),1700,ダ,900万
1989/12/02,4歳以上400万下,2000,芝,400万
1989/12/02,3歳未勝利,1200,ダ,未勝利
1989/12/02,3歳未勝利,1400,芝,未勝利
1989/12/02,3歳新馬,1200,ダ,新馬
1989/12/02,3歳新馬,2000,芝,新馬
1989/12/02,障害4歳以上未勝利,3000,障,未勝利
1989/12/02,3歳新馬,2000,芝,新馬
1989/12/02,4歳以上400万下,1800,ダ,400万
1989/12/02,4歳以上400万下,1800,ダ,400万
1989/12/02,ゴールデンスパーT(900万下),1200,芝,900万
1989/12/02,エリカ賞(400万下),2000,芝,400万
1989/12/02,ゴールデンブーツT(900万下),2500,芝,900万
1989/12/02,4歳以上900万下,1800,ダ,900万
1989/11/26,3歳未勝利,1200,ダ,未勝利
1989/11/26,3歳新馬,1400,ダ,新馬
1989/11/26,3歳新馬,1800,芝,新馬
1989/11/26,3歳400万下,1600,ダ,400万
1989/11/26,4歳以上400万下,1700,ダ,400万
1989/11/26,4歳以上400万下,1600,ダ,400万
1989/11/26,ウェルカムS(1400万下),1800,芝,1400万
1989/11/26,INT.ジョッキー2(900万下),1600,芝,900万
1989/11/26,4歳以上400万下,1200,ダ,400万
1989/11/26,ジャパンC(G1),2400,芝,G1
1989/11/26,4歳以上900万下,1400,ダ,900万
1989/11/26,4歳以上OP,1700,ダ,OP
1989/11/26,3歳未勝利,1000,ダ,未勝利
1989/11/26,3歳新馬,1800,芝,新馬
1989/11/26,4歳以上400万下,1700,ダ,400万
1989/11/26,4歳以上400万下,2200,ダ,400万
1989/11/26,4歳以上400万下,1700,ダ,400万
1989/11/26,4歳以上400万下,1800,芝,400万
1989/11/26,4歳以上400万下,1800,芝,400万
1989/11/26,カトレア賞(400万下),1800,芝,400万
1989/11/26,清洲特別(400万下),1200,芝,400万
1989/11/26,中京日経賞(900万下),2000,芝,900万
1989/11/26,4歳以上400万下,1700,ダ,400万
1989/11/26,3歳未勝利,1400,ダ,未勝利
1989/11/26,3歳未勝利,1600,芝,未勝利
1989/11/26,3歳新馬,1400,芝,新馬
1989/11/26,3歳新馬,1600,芝,新馬
1989/11/26,4歳以上400万下,1800,ダ,400万
1989/11/26,4歳以上400万下,1400,芝,400万
1989/11/26,4歳以上900万下,1800,ダ,900万
1989/11/26,京都大障害(秋)(G),3270,障,(G)
1989/11/26,桃山特別(900万下),1400,ダ,900万
1989/11/26,トパーズS(OP),2000,芝,OP
1989/11/26,4歳以上900万下,1600,芝,900万
1989/11/25,3歳未勝利,1400,ダ,未勝利
1989/11/25,3歳新馬,1200,ダ,新馬
1989/11/25,3歳未勝利,1600,ダ,未勝利
1989/11/25,3歳新馬,1400,芝,新馬
1989/11/25,4歳以上400万下,1600,ダ,400万
1989/11/25,4歳以上400万下,1600,ダ,400万
1989/11/25,4歳以上400万下,1400,ダ,400万
1989/11/25,府中3歳S(OP),1800,芝,OP
1989/11/25,ユートピアS(1400万下),1400,芝,1400万
1989/11/25,INT.ジョッキー1(900万下),1800,芝,900万
1989/11/25,4歳以上900万下,2100,ダ,900万
1989/11/25,3歳未勝利,1000,ダ,未勝利
