開催日,レース名,距離,年齢制限,一着賞金,地肌,クラス,通時,適性
2006/12/24,2歳未勝利,1200,1:２歳,500.0,ダ,未勝利,o.未勝利,4.砂 短距離
2006/12/24,2歳未勝利,1800,1:２歳,500.0,ダ,未勝利,o.未勝利,5.砂 マイル
2006/12/24,2歳未勝利,2000,1:２歳,500.0,芝,未勝利,o.未勝利,3.芝 中以遠
2006/12/24,2歳新馬,2000,1:２歳,700.0,芝,新馬,o.未勝利,3.芝 中以遠
2006/12/24,3歳以上500万下,1200,3:３歳以上,740.0,ダ,500万,9.1勝,4.砂 短距離
2006/12/24,ホープフルS(OP),2000,1:２歳,1600.0,芝,OP,6.OP,3.芝 中以遠
2006/12/24,グッドラックH(1000万下),2500,3:３歳以上,1480.0,芝,1000万,8.2勝,3.芝 中以遠
2006/12/24,フェアウェルS(1600万下),1800,3:３歳以上,1830.0,ダ,1600万,7.3勝,5.砂 マイル
2006/12/24,有馬記念(G1),2500,3:３歳以上,18000.0,芝,G1,1.G1,3.芝 中以遠
2006/12/24,ハッピーエンドC(1000万下),1200,3:３歳以上,1480.0,ダ,1000万,8.2勝,4.砂 短距離
2006/12/24,2歳未勝利,1000,1:２歳,500.0,ダ,未勝利,o.未勝利,4.砂 短距離
2006/12/24,3歳以上500万下,1700,3:３歳以上,740.0,ダ,500万,9.1勝,5.砂 マイル
2006/12/24,3歳以上500万下,1000,3:３歳以上,740.0,ダ,500万,9.1勝,4.砂 短距離
2006/12/24,2歳未勝利,1200,1:２歳,500.0,芝,未勝利,o.未勝利,1.芝 短距離
2006/12/24,3歳以上500万下,1700,3:３歳以上,740.0,ダ,500万,9.1勝,5.砂 マイル
2006/12/24,3歳以上500万下,1700,3:３歳以上,740.0,ダ,500万,9.1勝,5.砂 マイル
2006/12/24,3歳以上500万下,2000,3:３歳以上,740.0,芝,500万,9.1勝,3.芝 中以遠
2006/12/24,3歳以上500万下,1700,3:３歳以上,740.0,ダ,500万,9.1勝,5.砂 マイル
2006/12/24,3歳以上500万下,1200,3:３歳以上,740.0,芝,500万,9.1勝,1.芝 短距離
2006/12/24,矢作川特別(1000万下),1700,3:３歳以上,1480.0,ダ,1000万,8.2勝,5.砂 マイル
2006/12/24,名古屋日刊スポーツ杯(1000万下),2000,3:３歳以上,1480.0,芝,1000万,8.2勝,3.芝 中以遠
2006/12/24,尾張S(OP),1200,3:３歳以上,2400.0,芝,OP,6.OP,1.芝 短距離
2006/12/24,2歳未勝利,1800,1:２歳,500.0,ダ,未勝利,o.未勝利,5.砂 マイル
2006/12/24,2歳未勝利,1400,1:２歳,500.0,ダ,未勝利,o.未勝利,4.砂 短距離
2006/12/24,2歳未勝利,2000,1:２歳,500.0,芝,未勝利,o.未勝利,3.芝 中以遠
2006/12/24,障害3歳以上OP,3110,3:３歳以上,1500.0,障,OP,6.OP,7.障害
2006/12/24,2歳新馬,1200,1:２歳,700.0,ダ,新馬,o.未勝利,4.砂 短距離
2006/12/24,2歳500万下,1600,1:２歳,700.0,芝,500万,9.1勝,2.芝 マイル
2006/12/24,3歳以上500万下,1400,3:３歳以上,740.0,ダ,500万,9.1勝,4.砂 短距離
2006/12/24,3歳以上500万下,1800,3:３歳以上,740.0,芝,500万,9.1勝,2.芝 マイル
2006/12/24,3歳以上1000万下,1200,3:３歳以上,1050.0,芝,1000万,8.2勝,1.芝 短距離
2006/12/24,クリスマスキャロル賞(1000万下),1800,3:３歳以上,1480.0,芝,1000万,8.2勝,2.芝 マイル
2006/12/24,サンタクロースS(1600万下),1400,3:３歳以上,1830.0,芝,1600万,7.3勝,1.芝 短距離
2006/12/24,2006ファイナルS(OP),1800,3:３歳以上,2400.0,ダ,OP,6.OP,5.砂 マイル
