開催日,レース名,距離,地肌,クラス,通時,適性
2016/12/25,2歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
2016/12/25,2歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
2016/12/25,2歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
2016/12/25,2歳新馬,1200,ダ,新馬,o.未勝利,4.砂 短距離
2016/12/25,2歳新馬,2000,芝,新馬,o.未勝利,3.芝 中以遠
2016/12/25,3歳以上500万下,1800,ダ,500万,9.1勝,5.砂 マイル
2016/12/25,グッドラックH(1000万下),2500,芝,1000万,8.2勝,3.芝 中以遠
2016/12/25,フェアウェルS(1600万下),1200,ダ,1600万,7.3勝,4.砂 短距離
2016/12/25,ホープフルS(G2),2000,芝,G2,2.G2,3.芝 中以遠
2016/12/25,有馬記念(G1),2500,芝,G1,1.G1,3.芝 中以遠
2016/12/25,ハッピーエンドC(1000万下),1200,芝,1000万,8.2勝,1.芝 短距離
2016/12/25,2歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
2016/12/25,2歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
2016/12/25,2歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
2016/12/25,2歳未勝利,2000,芝,未勝利,o.未勝利,3.芝 中以遠
2016/12/25,2歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
2016/12/25,2歳500万下,2000,芝,500万,9.1勝,3.芝 中以遠
2016/12/25,3歳以上500万下,1800,ダ,500万,9.1勝,5.砂 マイル
2016/12/25,3歳以上500万下,1400,ダ,500万,9.1勝,4.砂 短距離
2016/12/25,江坂特別(1000万下),2400,芝,1000万,8.2勝,3.芝 中以遠
2016/12/25,赤穂特別(1000万下),2000,ダ,1000万,8.2勝,6.砂 中以遠
2016/12/25,カウントダウンS(1600万下),2000,芝,1600万,7.3勝,3.芝 中以遠
2016/12/25,2016ファイナルS(OP),1400,ダ,OP,6.OP,4.砂 短距離
2016/12/24,2歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
2016/12/24,2歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
2016/12/24,2歳未勝利,2000,芝,未勝利,o.未勝利,3.芝 中以遠
2016/12/24,2歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
2016/12/24,2歳新馬,1200,ダ,新馬,o.未勝利,4.砂 短距離
2016/12/24,2歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
2016/12/24,3歳以上500万下,1200,ダ,500万,9.1勝,4.砂 短距離
2016/12/24,3歳以上1000万下,1800,ダ,1000万,8.2勝,5.砂 マイル
2016/12/24,冬桜賞(500万下),1200,ダ,500万,9.1勝,4.砂 短距離
2016/12/24,クリスマスC(1000万下),1800,芝,1000万,8.2勝,2.芝 マイル
2016/12/24,師走S(OP),1800,ダ,OP,6.OP,5.砂 マイル
2016/12/24,3歳以上500万下,1600,芝,500万,9.1勝,2.芝 マイル
2016/12/24,2歳未勝利,1400,ダ,未勝利,o.未勝利,4.砂 短距離
2016/12/24,2歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
2016/12/24,2歳未勝利,1400,芝,未勝利,o.未勝利,1.芝 短距離
2016/12/24,障害3歳以上未勝利,2970,障,未勝利,o.未勝利,7.障害
2016/12/24,2歳新馬,1800,芝,新馬,o.未勝利,2.芝 マイル
2016/12/24,2歳新馬,1400,ダ,新馬,o.未勝利,4.砂 短距離
2016/12/24,3歳以上500万下,1200,ダ,500万,9.1勝,4.砂 短距離
2016/12/24,3歳以上500万下,2600,芝,500万,9.1勝,3.芝 中以遠
2016/12/24,ジングルベル賞(1000万下),2000,芝,1000万,8.2勝,3.芝 中以遠
2016/12/24,摩耶S(1600万下),1800,ダ,1600万,7.3勝,5.砂 マイル
2016/12/24,阪神C(G2),1400,芝,G2,2.G2,1.芝 短距離
