開催日,レース名,距離,地肌,クラス,通時,適性
1991/12/22,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1991/12/22,3歳新馬,1200,芝,新馬,o.未勝利,1.芝 短距離
1991/12/22,3歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
1991/12/22,4歳以上500万下,1800,ダ,500万,9.1勝,5.砂 マイル
1991/12/22,グッドラックH(900万下),2500,芝,900万,8.2勝,3.芝 中以遠
1991/12/22,ホープフルS(OP),2000,芝,OP,6.OP,3.芝 中以遠
1991/12/22,ジョッキーズG.P.(900万下),1800,芝,900万,8.2勝,2.芝 マイル
1991/12/22,’91フェアウェルS(1500万下),2000,芝,1500万,7.3勝,3.芝 中以遠
1991/12/22,有馬記念(G1),2500,芝,G1,1.G1,3.芝 中以遠
1991/12/22,4歳以上500万下,1200,ダ,500万,9.1勝,4.砂 短距離
1991/12/22,3歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
1991/12/22,3歳未勝利,1200,芝,未勝利,o.未勝利,1.芝 短距離
1991/12/22,3歳新馬,2000,芝,新馬,o.未勝利,3.芝 中以遠
1991/12/22,4歳以上500万下,1200,ダ,500万,9.1勝,4.砂 短距離
1991/12/22,障害4歳以上400万下,3000,障,400万,9.1勝,7.障害
1991/12/22,4歳以上500万下,1800,ダ,500万,9.1勝,5.砂 マイル
1991/12/22,4歳以上900万下,1400,芝,900万,8.2勝,1.芝 短距離
1991/12/22,4歳以上900万下,1400,芝,900万,8.2勝,1.芝 短距離
1991/12/22,さざんか賞(500万下),1400,ダ,500万,9.1勝,4.砂 短距離
1991/12/22,千種川特別(900万下),2000,芝,900万,8.2勝,3.芝 中以遠
1991/12/22,六甲S(OP),2000,芝,OP,6.OP,3.芝 中以遠
1991/12/22,4歳以上900万下,1800,ダ,900万,8.2勝,5.砂 マイル
1991/12/21,3歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
1991/12/21,3歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
1991/12/21,3歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
1991/12/21,3歳新馬,1200,ダ,新馬,o.未勝利,4.砂 短距離
1991/12/21,3歳新馬,2000,芝,新馬,o.未勝利,3.芝 中以遠
1991/12/21,3歳500万下,1200,ダ,500万,9.1勝,4.砂 短距離
1991/12/21,4歳以上500万下,1800,ダ,500万,9.1勝,5.砂 マイル
1991/12/21,4歳以上900万下,1800,ダ,900万,8.2勝,5.砂 マイル
1991/12/21,クリスマスS(OP),1600,芝,OP,6.OP,2.芝 マイル
1991/12/21,中山大障害(秋)(G),4100,障,(G),4.(G),7.障害
1991/12/21,テレビ東京3歳牝馬S(G3),1200,芝,G3,3.G3,1.芝 短距離
1991/12/21,4歳以上900万下,1200,芝,900万,8.2勝,1.芝 短距離
1991/12/21,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1991/12/21,3歳未勝利,2000,芝,未勝利,o.未勝利,3.芝 中以遠
1991/12/21,3歳新馬,1400,ダ,新馬,o.未勝利,4.砂 短距離
1991/12/21,3歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
1991/12/21,障害4歳以上未勝利,3000,障,未勝利,o.未勝利,7.障害
1991/12/21,3歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
1991/12/21,4歳以上500万下,1200,ダ,500万,9.1勝,4.砂 短距離
1991/12/21,4歳以上500万下,1800,ダ,500万,9.1勝,5.砂 マイル
1991/12/21,江坂特別(900万下),2500,芝,900万,8.2勝,3.芝 中以遠
1991/12/21,サンタクロースH(1500万下),1800,ダ,1500万,7.3勝,5.砂 マイル
1991/12/21,ラジオたんぱ杯3歳S(G3),2000,芝,G3,3.G3,3.芝 中以遠
1991/12/21,4歳以上900万下,1200,ダ,900万,8.2勝,4.砂 短距離
1991/12/15,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1991/12/15,3歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
1991/12/15,3歳未勝利,2000,芝,未勝利,o.未勝利,3.芝 中以遠
1991/12/15,3歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
1991/12/15,3歳500万下,1800,ダ,500万,9.1勝,5.砂 マイル
1991/12/15,4歳以上500万下,1200,ダ,500万,9.1勝,4.砂 短距離
1991/12/15,4歳以上500万下,1800,ダ,500万,9.1勝,5.砂 マイル
1991/12/15,冬至S(1500万下),2500,芝,1500万,7.3勝,3.芝 中以遠
1991/12/15,千葉テレビ杯(900万下),1200,ダ,900万,8.2勝,4.砂 短距離
1991/12/15,スプリンターズS(G1),1200,芝,G1,1.G1,1.芝 短距離
1991/12/15,4歳以上900万下,1600,芝,900万,8.2勝,2.芝 マイル
1991/12/15,4歳以上OP,1700,ダ,OP,6.OP,5.砂 マイル
1991/12/15,3歳未勝利,1000,ダ,未勝利,o.未勝利,4.砂 短距離
1991/12/15,3歳新馬,2000,芝,新馬,o.未勝利,3.芝 中以遠
1991/12/15,4歳以上500万下,1700,ダ,500万,9.1勝,5.砂 マイル
1991/12/15,4歳以上500万下,1000,ダ,500万,9.1勝,4.砂 短距離
1991/12/15,4歳以上500万下,1000,芝,500万,9.1勝,1.芝 短距離
1991/12/15,4歳以上500万下,1700,ダ,500万,9.1勝,5.砂 マイル
1991/12/15,4歳以上500万下,1000,芝,500万,9.1勝,1.芝 短距離
1991/12/15,中京3歳S(OP),1800,芝,OP,6.OP,2.芝 マイル
1991/12/15,クリスマスキャロル賞(900万下),1800,芝,900万,8.2勝,2.芝 マイル
1991/12/15,ウインターS(G3),2300,ダ,G3,3.G3,6.砂 中以遠
1991/12/15,4歳以上500万下,2500,芝,500万,9.1勝,3.芝 中以遠
1991/12/15,3歳未勝利,1400,ダ,未勝利,o.未勝利,4.砂 短距離
1991/12/15,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1991/12/15,3歳新馬,1400,芝,新馬,o.未勝利,1.芝 短距離
1991/12/15,障害4歳以上未勝利,3000,障,未勝利,o.未勝利,7.障害
1991/12/15,3歳500万下,1800,ダ,500万,9.1勝,5.砂 マイル
1991/12/15,4歳以上500万下,1400,ダ,500万,9.1勝,4.砂 短距離
1991/12/15,4歳以上500万下,1800,ダ,500万,9.1勝,5.砂 マイル
1991/12/15,夙川特別(900万下),1400,芝,900万,8.2勝,1.芝 短距離
1991/12/15,オリオンS(1500万下),2500,芝,1500万,7.3勝,3.芝 中以遠
1991/12/15,サンスポ阪神牝馬特別(G3),2000,芝,G3,3.G3,3.芝 中以遠
1991/12/15,4歳以上900万下,1600,芝,900万,8.2勝,2.芝 マイル
1991/12/14,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1991/12/14,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1991/12/14,3歳新馬,1200,ダ,新馬,o.未勝利,4.砂 短距離
1991/12/14,3歳未勝利,1200,芝,未勝利,o.未勝利,1.芝 短距離
1991/12/14,4歳以上500万下,1800,ダ,500万,9.1勝,5.砂 マイル
1991/12/14,障害4歳以上未勝利,2700,障,未勝利,o.未勝利,7.障害
1991/12/14,4歳以上900万下,1800,ダ,900万,8.2勝,5.砂 マイル
1991/12/14,4歳以上900万下,1800,ダ,900万,8.2勝,5.砂 マイル
1991/12/14,ひいらぎ賞(500万下),1600,芝,500万,9.1勝,2.芝 マイル
1991/12/14,師走S(1500万下),1600,芝,1500万,7.3勝,2.芝 マイル
1991/12/14,ターコイズS(OP),2000,芝,OP,6.OP,3.芝 中以遠
