開催日,レース名,距離,年齢制限,一着賞金,地肌,クラス,通時,適性
1973/12/23,3歳勝入,1700,1:２歳,170.0,ダ,NoClass,z.NoClass,5.砂 マイル
1973/12/23,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/23,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/23,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/23,3歳新馬,1200,1:２歳,180.0,芝,新馬,o.未勝利,1.芝 短距離
1973/12/23,3歳,1600,1:２歳,330.0,芝,NoClass,z.NoClass,2.芝 マイル
1973/12/23,万両賞(200万下),1600,1:２歳,350.0,芝,200万,9.1勝,2.芝 マイル
1973/12/23,安房特別(700万下),2000,3:３歳以上,640.0,芝,700万,7.3勝,3.芝 中以遠
1973/12/23,4歳以上200万下,1800,3:３歳以上,280.0,芝,200万,9.1勝,2.芝 マイル
1973/12/23,中山大障害(OP),4100,3:３歳以上,2200.0,障,OP,6.OP,7.障害
1973/12/23,ステイヤーズステーク(OP),3600,3:３歳以上,1200.0,芝,OP,6.OP,3.芝 中以遠
1973/12/23,4歳以上400万下,1600,3:３歳以上,380.0,芝,400万,8.2勝,2.芝 マイル
1973/12/23,3歳未勝利,1400,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/23,3歳未勝利,1400,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/23,3歳新馬,1200,1:２歳,180.0,芝,新馬,o.未勝利,1.芝 短距離
1973/12/23,4歳以上200万下,1900,3:３歳以上,280.0,芝,200万,9.1勝,3.芝 中以遠
1973/12/23,4歳以上未勝利,2600,3:３歳以上,380.0,障,未勝利,o.未勝利,7.障害
1973/12/23,3歳,1600,1:２歳,330.0,芝,NoClass,z.NoClass,2.芝 マイル
1973/12/23,ひいらぎ賞(200万下),1400,1:２歳,350.0,芝,200万,9.1勝,1.芝 短距離
1973/12/23,4歳以上400万下,2000,3:３歳以上,380.0,芝,400万,8.2勝,3.芝 中以遠
1973/12/23,阪神大賞典(OP),3100,3:３歳以上,1700.0,芝,OP,6.OP,3.芝 中以遠
1973/12/23,武庫川特別(700万下),1600,3:３歳以上,1280.0,芝,700万,7.3勝,2.芝 マイル
1973/12/23,4歳以上500万下,1900,3:３歳以上,440.0,芝,500万,8.2勝,3.芝 中以遠
1973/12/22,4歳以上勝入,1700,3:３歳以上,180.0,ダ,NoClass,z.NoClass,5.砂 マイル
1973/12/22,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/22,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/22,4歳以上未勝利,2710,3:３歳以上,380.0,障,未勝利,o.未勝利,7.障害
1973/12/22,3歳新馬,1200,1:２歳,180.0,芝,新馬,o.未勝利,1.芝 短距離
1973/12/22,3歳新馬,1200,1:２歳,180.0,芝,新馬,o.未勝利,1.芝 短距離
1973/12/22,黒松賞(200万下),1600,1:２歳,350.0,芝,200万,9.1勝,2.芝 マイル
1973/12/22,冬至特別(400万下),1800,3:３歳以上,570.0,芝,400万,8.2勝,2.芝 マイル
1973/12/22,4歳以上500万下,1800,3:３歳以上,440.0,芝,500万,8.2勝,2.芝 マイル
1973/12/22,クリスマスハンデキャ(800万下),2200,3:３歳以上,670.0,芝,800万,7.3勝,3.芝 中以遠
1973/12/22,3歳牝馬S(OP),1600,1:２歳,500.0,芝,OP,6.OP,2.芝 マイル
1973/12/22,4歳以上200万下,1600,3:３歳以上,280.0,芝,200万,9.1勝,2.芝 マイル
1973/12/22,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/22,3歳未勝利,1400,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/22,3歳未勝利,1400,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/22,3歳未勝利,1400,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/22,3歳新馬,1200,1:２歳,180.0,芝,新馬,o.未勝利,1.芝 短距離
1973/12/22,3歳200万下,1400,1:２歳,220.0,芝,200万,9.1勝,1.芝 短距離
1973/12/22,4歳以上200万下,1900,3:３歳以上,280.0,芝,200万,9.1勝,3.芝 中以遠
1973/12/22,障害S(OP),3300,3:３歳以上,720.0,障,OP,6.OP,7.障害
1973/12/22,4歳以上400万下,2000,3:３歳以上,380.0,芝,400万,8.2勝,3.芝 中以遠
1973/12/22,サンタクロースH(800万下),1900,3:３歳以上,670.0,芝,800万,7.3勝,3.芝 中以遠
1973/12/22,冬至特別(400万下),1900,3:３歳以上,570.0,芝,400万,8.2勝,3.芝 中以遠
1973/12/22,4歳以上700万下,2000,3:３歳以上,440.0,芝,700万,7.3勝,3.芝 中以遠
1973/12/16,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/16,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/16,3歳新馬,1200,1:２歳,180.0,芝,新馬,o.未勝利,1.芝 短距離
1973/12/16,3歳200万下,1600,1:２歳,220.0,芝,200万,9.1勝,2.芝 マイル
1973/12/16,4歳以上200万下,1800,3:３歳以上,280.0,芝,200万,9.1勝,2.芝 マイル
1973/12/16,ひいらぎ賞(500万下),1600,1:２歳,440.0,芝,500万,8.2勝,2.芝 マイル
1973/12/16,短距離特別(500万下),1200,3:３歳以上,640.0,芝,500万,8.2勝,1.芝 短距離
1973/12/16,4歳以上400万下,1600,3:３歳以上,380.0,芝,400万,8.2勝,2.芝 マイル
1973/12/16,有馬記念(OP),2500,3:３歳以上,3400.0,芝,OP,6.OP,3.芝 中以遠
1973/12/16,4歳以上700万下,1600,3:３歳以上,440.0,芝,700万,7.3勝,2.芝 マイル
1973/12/16,3歳100万下,1000,1:２歳,120.0,ダ,100万,9.1勝,4.砂 短距離
1973/12/16,4歳以上,1600,3:３歳以上,170.0,ダ,NoClass,z.NoClass,5.砂 マイル
1973/12/16,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1973/12/16,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1973/12/16,3歳新馬,1200,1:２歳,180.0,芝,新馬,o.未勝利,1.芝 短距離
1973/12/16,3歳200万下,1000,1:２歳,210.0,ダ,200万,9.1勝,4.砂 短距離
1973/12/16,中京3歳S(OP),1400,1:２歳,600.0,芝,OP,6.OP,1.芝 短距離
1973/12/16,4歳以上200万下,1600,3:３歳以上,270.0,ダ,200万,9.1勝,5.砂 マイル
1973/12/16,CBC賞(OP),1400,3:３歳以上,900.0,芝,OP,6.OP,1.芝 短距離
1973/12/16,多治見特別(400万下),2000,3:３歳以上,550.0,芝,400万,8.2勝,3.芝 中以遠
1973/12/16,4歳以上200万下,1600,3:３歳以上,270.0,ダ,200万,9.1勝,5.砂 マイル
1973/12/16,3歳未勝利,1400,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/16,3歳未勝利,1400,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/16,3歳新馬,1200,1:２歳,180.0,芝,新馬,o.未勝利,1.芝 短距離
1973/12/16,4歳以上200万下,1900,3:３歳以上,280.0,芝,200万,9.1勝,3.芝 中以遠
1973/12/16,4歳以上未勝利,2600,3:３歳以上,380.0,障,未勝利,o.未勝利,7.障害
1973/12/16,4歳以上500万下,1600,3:３歳以上,440.0,芝,500万,8.2勝,2.芝 マイル
1973/12/16,えりか賞(200万下),1400,1:２歳,350.0,芝,200万,9.1勝,1.芝 短距離
1973/12/16,4歳以上400万下,1600,3:３歳以上,380.0,芝,400万,8.2勝,2.芝 マイル
1973/12/16,阪神牝馬特別(OP),2000,3:３歳以上,1100.0,芝,OP,6.OP,3.芝 中以遠
1973/12/16,短距離特別(400万下),1400,3:３歳以上,570.0,芝,400万,8.2勝,1.芝 短距離
1973/12/16,4歳以上700万下,1600,3:３歳以上,440.0,芝,700万,7.3勝,2.芝 マイル
1973/12/15,3歳100万下,1200,1:２歳,120.0,ダ,100万,9.1勝,4.砂 短距離
1973/12/15,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/15,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/15,4歳以上勝入300万円以下,2710,3:３歳以上,430.0,障,300万,9.1勝,7.障害
1973/12/15,3歳新馬,1200,1:２歳,180.0,芝,新馬,o.未勝利,1.芝 短距離
1973/12/15,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/15,4歳以上400万下,1800,3:３歳以上,380.0,芝,400万,8.2勝,2.芝 マイル
1973/12/15,葉牡丹賞(200万下),1600,1:２歳,350.0,芝,200万,9.1勝,2.芝 マイル
1973/12/15,4歳以上400万下,1800,3:３歳以上,380.0,芝,400万,8.2勝,2.芝 マイル
1973/12/15,デイセンバーハンデキ(1000万下),2000,3:３歳以上,670.0,芝,1000万,7.3勝,3.芝 中以遠
1973/12/15,師走特別(700万下),1600,3:３歳以上,640.0,芝,700万,7.3勝,2.芝 マイル
1973/12/15,4歳以上200万下,1600,3:３歳以上,280.0,芝,200万,9.1勝,2.芝 マイル
1973/12/15,3歳未勝利,1000,1:２歳,80.0,ダ,未勝利,o.未勝利,4.砂 短距離
1973/12/15,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1973/12/15,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1973/12/15,3歳新馬,1200,1:２歳,180.0,芝,新馬,o.未勝利,1.芝 短距離
1973/12/15,3歳200万下,1000,1:２歳,210.0,ダ,200万,9.1勝,4.砂 短距離
1973/12/15,4歳以上200万下,1600,3:３歳以上,270.0,ダ,200万,9.1勝,5.砂 マイル
1973/12/15,4歳以上200万下,1600,3:３歳以上,270.0,ダ,200万,9.1勝,5.砂 マイル
1973/12/15,4歳以上200万下,1600,3:３歳以上,270.0,ダ,200万,9.1勝,5.砂 マイル
1973/12/15,師走特別(500万下),2000,3:３歳以上,620.0,芝,500万,8.2勝,3.芝 中以遠
1973/12/15,アラブ3歳S(OP),1600,1:２歳,200.0,ダ,OP,6.OP,5.砂 マイル
1973/12/15,4歳以上400万下,1700,3:３歳以上,370.0,ダ,400万,8.2勝,5.砂 マイル
1973/12/15,3歳未勝利,1400,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/15,3歳未勝利,1400,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/15,3歳200万下,1200,1:２歳,220.0,芝,200万,9.1勝,1.芝 短距離
1973/12/15,3歳新馬,1200,1:２歳,180.0,芝,新馬,o.未勝利,1.芝 短距離
1973/12/15,4歳以上300万下,3000,3:３歳以上,420.0,障,300万,9.1勝,7.障害
1973/12/15,4歳以上200万下,1900,3:３歳以上,280.0,芝,200万,9.1勝,3.芝 中以遠
1973/12/15,寒菊賞(200万下),1600,1:２歳,350.0,芝,200万,9.1勝,2.芝 マイル
1973/12/15,4歳以上200万下,1900,3:３歳以上,280.0,芝,200万,9.1勝,3.芝 中以遠
1973/12/15,デイセンバーハンデキ(700万下),2200,3:３歳以上,640.0,芝,700万,7.3勝,3.芝 中以遠
1973/12/15,御影特別(500万下),1600,3:３歳以上,640.0,芝,500万,8.2勝,2.芝 マイル
1973/12/15,4歳以上400万下,1600,3:３歳以上,380.0,芝,400万,8.2勝,2.芝 マイル
1973/12/09,3歳,1700,1:２歳,160.0,ダ,NoClass,z.NoClass,5.砂 マイル
1973/12/09,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/09,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/09,4歳以上未勝利,2710,3:３歳以上,380.0,障,未勝利,o.未勝利,7.障害
1973/12/09,3歳新馬,1200,1:２歳,180.0,芝,新馬,o.未勝利,1.芝 短距離
1973/12/09,3歳200万下,1200,1:２歳,220.0,芝,200万,9.1勝,1.芝 短距離
1973/12/09,障害特別(600万下),2710,3:３歳以上,600.0,障,600万,8.2勝,7.障害
1973/12/09,北総特別(400万下),2000,3:３歳以上,570.0,芝,400万,8.2勝,3.芝 中以遠
1973/12/09,4歳以上400万下,1800,3:３歳以上,380.0,芝,400万,8.2勝,2.芝 マイル
1973/12/09,3歳S(OP),1600,1:２歳,1300.0,芝,OP,6.OP,2.芝 マイル
1973/12/09,牝馬特別(700万下),1800,3:３歳以上,640.0,芝,700万,7.3勝,2.芝 マイル
1973/12/09,4歳以上200万下,1600,3:３歳以上,280.0,芝,200万,9.1勝,2.芝 マイル
1973/12/09,3歳未勝利,1000,1:２歳,80.0,ダ,未勝利,o.未勝利,4.砂 短距離
1973/12/09,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1973/12/09,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1973/12/09,3歳新馬,1200,1:２歳,180.0,芝,新馬,o.未勝利,1.芝 短距離
1973/12/09,4歳以上200万下,1600,3:３歳以上,270.0,ダ,200万,9.1勝,5.砂 マイル
1973/12/09,4歳以上200万下,1600,3:３歳以上,270.0,ダ,200万,9.1勝,5.砂 マイル
1973/12/09,葉牡丹賞(200万下),1400,1:２歳,330.0,芝,200万,9.1勝,1.芝 短距離
1973/12/09,4歳以上400万下,1700,3:３歳以上,370.0,ダ,400万,8.2勝,5.砂 マイル
1973/12/09,アラブ大賞典(OP),1800,3:３歳以上,600.0,芝,OP,6.OP,2.芝 マイル
1973/12/09,クリスマスキャロルハ(700万下),2400,3:３歳以上,620.0,芝,700万,7.3勝,3.芝 中以遠
1973/12/09,4歳以上400万下,1700,3:３歳以上,370.0,ダ,400万,8.2勝,5.砂 マイル
1973/12/09,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/09,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1973/12/09,3歳200万下,1400,1:２歳,220.0,芝,200万,9.1勝,1.芝 短距離
1973/12/09,3歳新馬,1200,1:２歳,180.0,芝,新馬,o.未勝利,1.芝 短距離
1973/12/09,4歳以上未勝利,2600,3:３歳以上,380.0,障,未勝利,o.未勝利,7.障害
1973/12/09,4歳以上200万下,1600,3:３歳以上,280.0,芝,200万,9.1勝,2.芝 マイル
1973/12/09,猪名川特別(400万下),1600,3:３歳以上,570.0,芝,400万,8.2勝,2.芝 マイル
1973/12/09,4歳以上400万下,1900,3:３歳以上,380.0,芝,400万,8.2勝,3.芝 中以遠
1973/12/09,阪神3歳S(OP),1600,1:２歳,1300.0,芝,OP,6.OP,2.芝 マイル
1973/12/09,六甲S(800万下),2200,3:３歳以上,670.0,芝,800万,7.3勝,3.芝 中以遠
1973/12/09,4歳以上500万下,1900,3:３歳以上,440.0,芝,500万,8.2勝,3.芝 中以遠
1973/12/08,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
