開催日,レース名,距離,地肌,クラス,通時,適性
1987/12/27,3歳未勝利,2000,芝,未勝利,o.未勝利,3.芝 中以遠
1987/12/27,3歳未勝利,1200,芝,未勝利,o.未勝利,1.芝 短距離
1987/12/27,3歳新馬,1800,芝,新馬,o.未勝利,2.芝 マイル
1987/12/27,3歳新馬,1200,芝,新馬,o.未勝利,1.芝 短距離
1987/12/27,障害4歳以上未勝利,2700,障,未勝利,o.未勝利,7.障害
1987/12/27,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1987/12/27,4歳以上900万下,1800,芝,900万,8.2勝,2.芝 マイル
1987/12/27,万両賞(400万下),1800,芝,400万,9.1勝,2.芝 マイル
1987/12/27,南総特別(900万下),1800,ダ,900万,8.2勝,5.砂 マイル
1987/12/27,有馬記念(G1),2500,芝,G1,1.G1,3.芝 中以遠
1987/12/27,4歳以上1400万下,1800,ダ,1400万,7.3勝,5.砂 マイル
1987/12/27,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1987/12/27,3歳新馬,1400,芝,新馬,o.未勝利,1.芝 短距離
1987/12/27,3歳400万下,1200,ダ,400万,9.1勝,4.砂 短距離
1987/12/27,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1987/12/27,障害4歳以上400万下,3200,障,400万,9.1勝,7.障害
1987/12/27,4歳以上900万下,1400,芝,900万,8.2勝,1.芝 短距離
1987/12/27,4歳以上900万下,2000,芝,900万,8.2勝,3.芝 中以遠
1987/12/27,4歳以上900万下,1400,芝,900万,8.2勝,1.芝 短距離
1987/12/27,シクラメン賞(OP),2000,芝,OP,6.OP,3.芝 中以遠
1987/12/27,オリオンS(1400万下),1800,ダ,1400万,7.3勝,5.砂 マイル
1987/12/27,サンスポ阪神牝馬特別(G3),2000,芝,G3,3.G3,3.芝 中以遠
1987/12/27,4歳以上900万下,1800,ダ,900万,8.2勝,5.砂 マイル
1987/12/26,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1987/12/26,3歳新馬,1200,ダ,新馬,o.未勝利,4.砂 短距離
1987/12/26,3歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
1987/12/26,3歳400万下,1600,芝,400万,9.1勝,2.芝 マイル
1987/12/26,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1987/12/26,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1987/12/26,4歳以上900万下,1800,ダ,900万,8.2勝,5.砂 マイル
1987/12/26,ひいらぎ賞(OP),2000,芝,OP,6.OP,3.芝 中以遠
1987/12/26,師走特別(900万下),1200,ダ,900万,8.2勝,4.砂 短距離
1987/12/26,中山大障害(秋)(G),4100,障,(G),4.(G),7.障害
1987/12/26,クリスマスS(OP),1600,芝,OP,6.OP,2.芝 マイル
1987/12/26,4歳以上900万下,2500,芝,900万,8.2勝,3.芝 中以遠
1987/12/26,3歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
1987/12/26,3歳未勝利,2000,芝,未勝利,o.未勝利,3.芝 中以遠
1987/12/26,3歳新馬,1200,ダ,新馬,o.未勝利,4.砂 短距離
1987/12/26,4歳以上400万下,1200,ダ,400万,9.1勝,4.砂 短距離
1987/12/26,障害4歳以上未勝利,3000,障,未勝利,o.未勝利,7.障害
1987/12/26,3歳新馬,2000,芝,新馬,o.未勝利,3.芝 中以遠
1987/12/26,4歳以上400万下,1200,ダ,400万,9.1勝,4.砂 短距離
1987/12/26,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1987/12/26,千両賞(400万下),1600,芝,400万,9.1勝,2.芝 マイル
1987/12/26,夙川特別(900万下),1800,ダ,900万,8.2勝,5.砂 マイル
1987/12/26,六甲S(OP),2200,芝,OP,6.OP,3.芝 中以遠
1987/12/26,4歳以上900万下,1200,ダ,900万,8.2勝,4.砂 短距離
1987/12/20,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1987/12/20,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1987/12/20,3歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
1987/12/20,3歳新馬,1200,芝,新馬,o.未勝利,1.芝 短距離
1987/12/20,3歳400万下,1200,ダ,400万,9.1勝,4.砂 短距離
1987/12/20,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1987/12/20,4歳以上900万下,1200,ダ,900万,8.2勝,4.砂 短距離
1987/12/20,黒松賞(400万下),1200,芝,400万,9.1勝,1.芝 短距離
1987/12/20,鹿野山特別(900万下),1800,芝,900万,8.2勝,2.芝 マイル
1987/12/20,ターコイズS(OP),2000,芝,OP,6.OP,3.芝 中以遠
1987/12/20,朝日杯3歳S(G1),1600,芝,G1,1.G1,2.芝 マイル
1987/12/20,4歳以上900万下,1600,芝,900万,8.2勝,2.芝 マイル
1987/12/20,4歳以上OP,1700,ダ,OP,6.OP,5.砂 マイル
1987/12/20,3歳未勝利,1700,ダ,未勝利,o.未勝利,5.砂 マイル
1987/12/20,3歳新馬,1200,芝,新馬,o.未勝利,1.芝 短距離
1987/12/20,4歳以上400万下,2200,ダ,400万,9.1勝,6.砂 中以遠
1987/12/20,4歳以上400万下,1200,芝,400万,9.1勝,1.芝 短距離
1987/12/20,4歳以上400万下,1700,ダ,400万,9.1勝,5.砂 マイル
1987/12/20,4歳以上400万下,1200,芝,400万,9.1勝,1.芝 短距離
1987/12/20,4歳以上400万下,2000,芝,400万,9.1勝,3.芝 中以遠
1987/12/20,中京3歳S(OP),1800,芝,OP,6.OP,2.芝 マイル
1987/12/20,天竜川特別(900万下),2500,芝,900万,8.2勝,3.芝 中以遠
1987/12/20,CBC賞(G3),1200,芝,G3,3.G3,1.芝 短距離
1987/12/20,4歳以上400万下,1700,ダ,400万,9.1勝,5.砂 マイル
1987/12/20,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1987/12/20,3歳未勝利,1200,芝,未勝利,o.未勝利,1.芝 短距離
1987/12/20,3歳新馬,1200,ダ,新馬,o.未勝利,4.砂 短距離
1987/12/20,3歳未勝利,1200,芝,未勝利,o.未勝利,1.芝 短距離
1987/12/20,障害4歳以上OP,3200,障,OP,6.OP,7.障害
1987/12/20,3歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
1987/12/20,4歳以上400万下,1700,ダ,400万,9.1勝,5.砂 マイル
1987/12/20,4歳以上900万下,2000,芝,900万,8.2勝,3.芝 中以遠
1987/12/20,芦屋川特別(400万下),1200,ダ,400万,9.1勝,4.砂 短距離
1987/12/20,千種川特別(900万下),2000,芝,900万,8.2勝,3.芝 中以遠
1987/12/20,阪神3歳S(G1),1600,芝,G1,1.G1,2.芝 マイル
1987/12/20,4歳以上900万下,1700,ダ,900万,8.2勝,5.砂 マイル
1987/12/19,3歳未勝利,1400,芝,未勝利,o.未勝利,1.芝 短距離
1987/12/19,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1987/12/19,3歳未勝利,1200,芝,未勝利,o.未勝利,1.芝 短距離
1987/12/19,3歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
1987/12/19,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1987/12/19,障害4歳以上未勝利,2700,障,未勝利,o.未勝利,7.障害
1987/12/19,4歳以上400万下,1200,ダ,400万,9.1勝,4.砂 短距離
1987/12/19,北総特別(900万下),2000,芝,900万,8.2勝,3.芝 中以遠
1987/12/19,冬至特別(1400万下),2500,芝,1400万,7.3勝,3.芝 中以遠
1987/12/19,ステイヤーズS(G3),3600,芝,G3,3.G3,3.芝 中以遠
1987/12/19,テレビ東京3歳牝馬S(G3),1600,芝,G3,3.G3,2.芝 マイル
1987/12/19,4歳以上900万下,1800,ダ,900万,8.2勝,5.砂 マイル
1987/12/19,3歳未勝利,1700,ダ,未勝利,o.未勝利,5.砂 マイル
1987/12/19,3歳未勝利,1200,芝,未勝利,o.未勝利,1.芝 短距離
1987/12/19,3歳新馬,1000,ダ,新馬,o.未勝利,4.砂 短距離
1987/12/19,3歳新馬,2000,芝,新馬,o.未勝利,3.芝 中以遠
1987/12/19,4歳以上400万下,1700,ダ,400万,9.1勝,5.砂 マイル
1987/12/19,4歳以上400万下,1000,ダ,400万,9.1勝,4.砂 短距離
1987/12/19,4歳以上400万下,1800,芝,400万,9.1勝,2.芝 マイル
1987/12/19,4歳以上400万下,1800,芝,400万,9.1勝,2.芝 マイル
1987/12/19,アラブ3歳S(OP),1700,ダ,OP,6.OP,5.砂 マイル
1987/12/19,恵那特別(400万下),1800,芝,400万,9.1勝,2.芝 マイル
1987/12/19,クリスマスキャロルS(900万下),1800,芝,900万,8.2勝,2.芝 マイル
1987/12/19,4歳以上400万下,1700,ダ,400万,9.1勝,5.砂 マイル
1987/12/19,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1987/12/19,3歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
1987/12/19,3歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
1987/12/19,3歳新馬,1200,芝,新馬,o.未勝利,1.芝 短距離
1987/12/19,障害4歳以上未勝利,3000,障,未勝利,o.未勝利,7.障害
1987/12/19,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1987/12/19,4歳以上400万下,1700,ダ,400万,9.1勝,5.砂 マイル
1987/12/19,4歳以上400万下,1200,ダ,400万,9.1勝,4.砂 短距離
1987/12/19,さざんか賞(400万下),1200,芝,400万,9.1勝,1.芝 短距離
1987/12/19,高砂特別(900万下),1600,芝,900万,8.2勝,2.芝 マイル
1987/12/19,サンタクロースS(1400万下),2500,芝,1400万,7.3勝,3.芝 中以遠
1987/12/19,4歳以上900万下,1800,ダ,900万,8.2勝,5.砂 マイル
1987/12/13,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1987/12/13,3歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
1987/12/13,3歳未勝利,1700,ダ,未勝利,o.未勝利,5.砂 マイル
1987/12/13,3歳未勝利,1000,ダ,未勝利,o.未勝利,4.砂 短距離
1987/12/13,3歳未勝利,1400,芝,未勝利,o.未勝利,1.芝 短距離
1987/12/13,3歳新馬,1200,芝,新馬,o.未勝利,1.芝 短距離
1987/12/13,4歳以上400万下,1700,ダ,400万,9.1勝,5.砂 マイル
1987/12/13,4歳以上400万下,2000,芝,400万,9.1勝,3.芝 中以遠
1987/12/13,4歳以上400万下,1700,ダ,400万,9.1勝,5.砂 マイル
1987/12/13,4歳以上400万下,2000,芝,400万,9.1勝,3.芝 中以遠
1987/12/13,濃尾特別(400万下),1700,ダ,400万,9.1勝,5.砂 マイル
1987/12/13,伊吹山特別(900万下),1200,芝,900万,8.2勝,1.芝 短距離
1987/12/13,愛知杯(G3),2000,芝,G3,3.G3,3.芝 中以遠
1987/12/13,4歳以上400万下,1700,ダ,400万,9.1勝,5.砂 マイル
1987/12/13,3歳未勝利,1700,ダ,未勝利,o.未勝利,5.砂 マイル
1987/12/13,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1987/12/13,3歳新馬,1400,芝,新馬,o.未勝利,1.芝 短距離
1987/12/13,3歳新馬,1400,芝,新馬,o.未勝利,1.芝 短距離
1987/12/13,障害4歳以上未勝利,3000,障,未勝利,o.未勝利,7.障害
1987/12/13,3歳新馬,1200,芝,新馬,o.未勝利,1.芝 短距離
1987/12/13,4歳以上400万下,1200,ダ,400万,9.1勝,4.砂 短距離
1987/12/13,4歳以上900万下,1700,ダ,900万,8.2勝,5.砂 マイル
1987/12/13,葺合特別(400万下),2000,芝,400万,9.1勝,3.芝 中以遠
1987/12/13,猪名川特別(900万下),2000,芝,900万,8.2勝,3.芝 中以遠
1987/12/13,ラジオたんぱ3歳牝S(G3),1600,芝,G3,3.G3,2.芝 マイル
1987/12/13,4歳以上900万下,1200,ダ,900万,8.2勝,4.砂 短距離
1987/12/12,3歳OP,1400,芝,OP,6.OP,1.芝 短距離
1987/12/12,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1987/12/12,3歳未勝利,2000,芝,未勝利,o.未勝利,3.芝 中以遠
1987/12/12,3歳新馬,1200,ダ,新馬,o.未勝利,4.砂 短距離
1987/12/12,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1987/12/12,障害4歳以上未勝利,2700,障,未勝利,o.未勝利,7.障害
1987/12/12,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1987/12/12,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1987/12/12,寒菊賞(400万下),1600,芝,400万,9.1勝,2.芝 マイル
1987/12/12,清澄特別(900万下),2000,芝,900万,8.2勝,3.芝 中以遠
1987/12/12,ディセンバーS(1400万下),1200,芝,1400万,7.3勝,1.芝 短距離
1987/12/12,4歳以上900万下,1600,芝,900万,8.2勝,2.芝 マイル
1987/12/12,3歳未勝利,1000,ダ,未勝利,o.未勝利,4.砂 短距離
1987/12/12,3歳300万下,1700,ダ,300万,9.1勝,5.砂 マイル
1987/12/12,3歳未勝利,2000,芝,未勝利,o.未勝利,3.芝 中以遠
