開催日,レース名,距離,年齢制限,一着賞金,地肌,クラス,通時,適性
1972/12/29,3歳未勝利,1200,1:２歳,100.0,芝,未勝利,o.未勝利,1.芝 短距離
1972/12/29,3歳新馬,1200,1:２歳,180.0,芝,新馬,o.未勝利,1.芝 短距離
1972/12/29,4歳以上未勝利,2710,3:３歳以上,0.0,障,未勝利,o.未勝利,7.障害
1972/12/29,3歳新馬,1200,1:２歳,180.0,芝,新馬,o.未勝利,1.芝 短距離
1972/12/29,3歳未勝利,1200,1:２歳,100.0,芝,未勝利,o.未勝利,1.芝 短距離
1972/12/29,3歳200万下,1600,1:２歳,210.0,芝,200万,9.1勝,2.芝 マイル
1972/12/29,ひいらぎ賞(400万下),1600,1:２歳,400.0,芝,400万,8.2勝,2.芝 マイル
1972/12/29,4歳以上200万下,1800,3:３歳以上,270.0,芝,200万,9.1勝,2.芝 マイル
1972/12/29,ステイヤーズステーク(OP),3600,3:３歳以上,1100.0,芝,OP,6.OP,3.芝 中以遠
1972/12/29,師走特別(700万下),1800,3:３歳以上,580.0,芝,700万,7.3勝,2.芝 マイル
1972/12/29,4歳以上300万下,1600,3:３歳以上,350.0,芝,300万,9.1勝,2.芝 マイル
1972/12/28,3歳勝入,1200,1:２歳,150.0,ダ,NoClass,z.NoClass,4.砂 短距離
1972/12/28,3歳未勝利,1200,1:２歳,100.0,芝,未勝利,o.未勝利,1.芝 短距離
1972/12/28,4歳以上勝入300万円以下,2710,3:３歳以上,390.0,障,300万,9.1勝,7.障害
1972/12/28,3歳新馬,1200,1:２歳,180.0,芝,新馬,o.未勝利,1.芝 短距離
1972/12/28,3歳未勝利,1200,1:２歳,100.0,芝,未勝利,o.未勝利,1.芝 短距離
1972/12/28,3歳,1600,1:２歳,300.0,芝,NoClass,z.NoClass,2.芝 マイル
1972/12/28,万両賞(200万下),1600,1:２歳,320.0,芝,200万,9.1勝,2.芝 マイル
1972/12/28,4歳以上500万下,1600,3:３歳以上,400.0,芝,500万,8.2勝,2.芝 マイル
1972/12/28,ウインターハンデキャ(800万下),2200,3:３歳以上,600.0,芝,800万,7.3勝,3.芝 中以遠
1972/12/28,北総特別(400万下),1600,3:３歳以上,520.0,芝,400万,8.2勝,2.芝 マイル
