開催日,レース名,距離,地肌,クラス,通時
2011/12/25,2歳未勝利,1800,ダ,未勝利,o.未勝利
2011/12/25,2歳未勝利,1600,芝,未勝利,o.未勝利
2011/12/25,2歳新馬,1200,ダ,新馬,o.未勝利
2011/12/25,2歳新馬,1800,芝,新馬,o.未勝利
2011/12/25,3歳以上500万下,1800,ダ,500万,9.1勝
2011/12/25,3歳以上1000万下,1200,ダ,1000万,8.2勝
2011/12/25,ホープフルS(OP),2000,芝,OP,6.OP
2011/12/25,グッドラックH(1000万下),2500,芝,1000万,8.2勝
2011/12/25,フェアウェルS(1600万下),1800,ダ,1600万,7.3勝
2011/12/25,有馬記念(G1),2500,芝,G1,1.G1
2011/12/25,ハッピーエンドP(1000万下),1200,芝,1000万,8.2勝
2011/12/25,2歳未勝利,1800,ダ,未勝利,o.未勝利
2011/12/25,2歳未勝利,1200,ダ,未勝利,o.未勝利
2011/12/25,2歳未勝利,2000,芝,未勝利,o.未勝利
2011/12/25,障害3歳以上OP,3110,障,OP,6.OP
2011/12/25,2歳新馬,2000,芝,新馬,o.未勝利
2011/12/25,2歳新馬,1400,ダ,新馬,o.未勝利
2011/12/25,2歳500万下,1600,芝,500万,9.1勝
2011/12/25,3歳以上500万下,1200,ダ,500万,9.1勝
2011/12/25,江坂特別(1000万下),2400,芝,1000万,8.2勝
2011/12/25,赤穂特別(1000万下),1800,ダ,1000万,8.2勝
2011/12/25,摩耶S(1600万下),1400,ダ,1600万,7.3勝
2011/12/25,2011ファイナルS(OP),1600,芝,OP,6.OP
2011/12/25,2歳未勝利,1700,ダ,未勝利,o.未勝利
2011/12/25,3歳以上500万下,1000,ダ,500万,9.1勝
2011/12/25,2歳未勝利,1200,芝,未勝利,o.未勝利
2011/12/25,3歳以上500万下,1700,ダ,500万,9.1勝
2011/12/25,3歳以上500万下,2000,芝,500万,9.1勝
2011/12/25,3歳以上500万下,1000,ダ,500万,9.1勝
2011/12/25,3歳以上500万下,1200,芝,500万,9.1勝
2011/12/25,3歳以上500万下,1700,ダ,500万,9.1勝
2011/12/25,3歳以上500万下,2600,芝,500万,9.1勝
2011/12/25,八女特別(1000万下),1700,ダ,1000万,8.2勝
2011/12/25,筥崎特別(1000万下),2000,芝,1000万,8.2勝
2011/12/25,2011アンコールS(OP),1200,芝,OP,6.OP
2011/12/24,2歳未勝利,1200,ダ,未勝利,o.未勝利
2011/12/24,2歳未勝利,1800,ダ,未勝利,o.未勝利
2011/12/24,2歳未勝利,2000,芝,未勝利,o.未勝利
2011/12/24,2歳未勝利,1800,ダ,未勝利,o.未勝利
2011/12/24,2歳新馬,1600,芝,新馬,o.未勝利
2011/12/24,2歳新馬,1800,ダ,新馬,o.未勝利
2011/12/24,3歳以上1000万下,1600,芝,1000万,8.2勝
2011/12/24,3歳以上1000万下,1800,ダ,1000万,8.2勝
2011/12/24,クリスマスローズS(OP),1200,芝,OP,6.OP
2011/12/24,中山大障害(J.G1),4100,障,G1,1.G1
2011/12/24,師走S(OP),1800,ダ,OP,6.OP
2011/12/24,グレイトフルS(1600万下),2200,芝,1600万,7.3勝
2011/12/24,2歳未勝利,1800,ダ,未勝利,o.未勝利
2011/12/24,2歳未勝利,1400,ダ,未勝利,o.未勝利
2011/12/24,2歳未勝利,1600,芝,未勝利,o.未勝利
2011/12/24,障害3歳以上未勝利,2970,障,未勝利,o.未勝利
2011/12/24,2歳未勝利,1800,芝,未勝利,o.未勝利
2011/12/24,2歳新馬,1800,ダ,新馬,o.未勝利
2011/12/24,2歳新馬,1600,芝,新馬,o.未勝利
2011/12/24,3歳以上500万下,1800,ダ,500万,9.1勝
2011/12/24,摂津特別(1000万下),1600,芝,1000万,8.2勝
2011/12/24,元町S(1600万下),2000,芝,1600万,7.3勝
2011/12/24,ラジオNIKKEI杯(G3),2000,芝,G3,3.G3
2011/12/24,3歳以上1000万下,1400,ダ,1000万,8.2勝
2011/12/24,2歳未勝利,1000,ダ,未勝利,o.未勝利
2011/12/24,3歳以上500万下,1700,ダ,500万,9.1勝
2011/12/24,2歳未勝利,1200,芝,未勝利,o.未勝利
2011/12/24,2歳未勝利,2000,芝,未勝利,o.未勝利
2011/12/24,3歳以上500万下,1700,ダ,500万,9.1勝
2011/12/24,3歳以上500万下,2400,ダ,500万,9.1勝
2011/12/24,3歳以上500万下,1700,ダ,500万,9.1勝
2011/12/24,3歳以上500万下,1200,芝,500万,9.1勝
2011/12/24,3歳以上500万下,1000,ダ,500万,9.1勝
2011/12/24,樅の木賞(500万下),1700,ダ,500万,9.1勝
2011/12/24,宗像特別(1000万下),1200,芝,1000万,8.2勝
2011/12/24,志賀島特別(500万下),1800,芝,500万,9.1勝
2011/12/18,2歳未勝利,1200,ダ,未勝利,o.未勝利
2011/12/18,2歳未勝利,1200,芝,未勝利,o.未勝利
2011/12/18,2歳未勝利,2000,芝,未勝利,o.未勝利
2011/12/18,2歳新馬,1800,ダ,新馬,o.未勝利
2011/12/18,2歳新馬,1600,芝,新馬,o.未勝利
2011/12/18,2歳500万下,1200,ダ,500万,9.1勝
2011/12/18,3歳以上500万下,2500,ダ,500万,9.1勝
2011/12/18,3歳以上1000万下,1200,ダ,1000万,8.2勝
2011/12/18,千葉テレビ杯(1000万下),1800,芝,1000万,8.2勝
2011/12/18,仲冬S(1600万下),1200,ダ,1600万,7.3勝
2011/12/18,朝日フューチュリティ(G1),1600,芝,G1,1.G1
2011/12/18,中山ウインターP(1600万下),1600,芝,1600万,7.3勝
2011/12/18,2歳未勝利,1800,ダ,未勝利,o.未勝利
2011/12/18,2歳未勝利,1400,ダ,未勝利,o.未勝利
2011/12/18,2歳未勝利,2000,芝,未勝利,o.未勝利
2011/12/18,障害3歳以上未勝利,2970,障,未勝利,o.未勝利
2011/12/18,2歳新馬,1600,芝,新馬,o.未勝利
2011/12/18,2歳新馬,1200,ダ,新馬,o.未勝利
2011/12/18,2歳500万下,1200,ダ,500万,9.1勝
2011/12/18,3歳以上500万下,1800,芝,500万,9.1勝
2011/12/18,クリスマスキャロル賞(1000万下),1400,芝,1000万,8.2勝
2011/12/18,逆瀬川S(1600万下),1800,芝,1600万,7.3勝
2011/12/18,ギャラクシーS(OP),1400,ダ,OP,6.OP
2011/12/18,3歳以上1000万下,1200,ダ,1000万,8.2勝
2011/12/18,2歳未勝利,1700,ダ,未勝利,o.未勝利
2011/12/18,3歳以上500万下,1000,ダ,500万,9.1勝
2011/12/18,2歳未勝利,1200,芝,未勝利,o.未勝利
2011/12/18,2歳未勝利,1800,芝,未勝利,o.未勝利
2011/12/18,3歳以上500万下,1700,ダ,500万,9.1勝
2011/12/18,3歳以上500万下,1000,ダ,500万,9.1勝
2011/12/18,3歳以上500万下,1700,ダ,500万,9.1勝
2011/12/18,3歳以上500万下,1800,芝,500万,9.1勝
2011/12/18,3歳以上500万下,1700,ダ,500万,9.1勝
2011/12/18,名古屋日刊スポーツ杯(1000万下),2600,芝,1000万,8.2勝
2011/12/18,愛知杯(G3),2000,芝,G3,3.G3
2011/12/18,九重特別(500万下),1200,芝,500万,9.1勝
2011/12/17,2歳未勝利,1200,ダ,未勝利,o.未勝利
2011/12/17,2歳未勝利,1800,ダ,未勝利,o.未勝利
2011/12/17,2歳未勝利,1600,芝,未勝利,o.未勝利
2011/12/17,障害3歳以上未勝利,2880,障,未勝利,o.未勝利
2011/12/17,2歳未勝利,1800,ダ,未勝利,o.未勝利
2011/12/17,2歳新馬,1200,ダ,新馬,o.未勝利
2011/12/17,2歳新馬,2000,芝,新馬,o.未勝利
2011/12/17,3歳以上500万下,1200,ダ,500万,9.1勝
2011/12/17,ひいらぎ賞(500万下),1600,芝,500万,9.1勝
2011/12/17,香取特別(1000万下),1800,ダ,1000万,8.2勝
2011/12/17,ディセンバーS(OP),1800,芝,OP,6.OP
2011/12/17,3歳以上1000万下,1600,芝,1000万,8.2勝
2011/12/17,2歳未勝利,1800,ダ,未勝利,o.未勝利
2011/12/17,2歳未勝利,1200,ダ,未勝利,o.未勝利
2011/12/17,2歳未勝利,1400,芝,未勝利,o.未勝利
2011/12/17,2歳未勝利,1400,ダ,未勝利,o.未勝利
2011/12/17,2歳未勝利,1600,芝,未勝利,o.未勝利
2011/12/17,2歳新馬,1400,芝,新馬,o.未勝利
2011/12/17,2歳新馬,1800,芝,新馬,o.未勝利
2011/12/17,3歳以上500万下,1200,ダ,500万,9.1勝
2011/12/17,猪名川特別(1000万下),1800,芝,1000万,8.2勝
2011/12/17,サンタクロースS(1600万下),1800,ダ,1600万,7.3勝
2011/12/17,阪神C(G2),1400,芝,G2,2.G2
2011/12/17,3歳以上1000万下,1800,ダ,1000万,8.2勝
2011/12/17,2歳未勝利,1000,ダ,未勝利,o.未勝利
2011/12/17,3歳以上500万下,1700,ダ,500万,9.1勝
2011/12/17,2歳未勝利,2000,芝,未勝利,o.未勝利
2011/12/17,3歳以上500万下,1000,ダ,500万,9.1勝
2011/12/17,2歳新馬,1700,ダ,新馬,o.未勝利
2011/12/17,3歳以上500万下,2400,ダ,500万,9.1勝
2011/12/17,3歳以上500万下,1200,芝,500万,9.1勝
2011/12/17,3歳以上500万下,1700,ダ,500万,9.1勝
2011/12/17,3歳以上500万下,2600,芝,500万,9.1勝
2011/12/17,つわぶき賞(500万下),1200,芝,500万,9.1勝
2011/12/17,豊明特別(1000万下),1700,ダ,1000万,8.2勝
2011/12/17,高塔山特別(500万下),2000,芝,500万,9.1勝
2011/12/11,2歳未勝利,1200,ダ,未勝利,o.未勝利
2011/12/11,2歳未勝利,1600,芝,未勝利,o.未勝利
2011/12/11,2歳未勝利,1800,芝,未勝利,o.未勝利
2011/12/11,障害3歳以上未勝利,2880,障,未勝利,o.未勝利
2011/12/11,2歳新馬,1600,芝,新馬,o.未勝利
2011/12/11,2歳500万下,1800,ダ,500万,9.1勝
2011/12/11,3歳以上500万下,1200,ダ,500万,9.1勝
2011/12/11,3歳以上1000万下,1200,ダ,1000万,8.2勝
2011/12/11,舞浜特別(1000万下),1800,ダ,1000万,8.2勝
2011/12/11,美浦S(1600万下),1800,芝,1600万,7.3勝
2011/12/11,カペラS(G3),1200,ダ,G3,3.G3
2011/12/11,3歳以上1000万下,1600,芝,1000万,8.2勝
2011/12/11,2歳未勝利,1200,ダ,未勝利,o.未勝利
2011/12/11,2歳未勝利,1800,ダ,未勝利,o.未勝利
2011/12/11,2歳未勝利,1400,芝,未勝利,o.未勝利
2011/12/11,2歳新馬,1400,ダ,新馬,o.未勝利
2011/12/11,2歳新馬,1200,芝,新馬,o.未勝利
2011/12/11,3歳以上500万下,1800,ダ,500万,9.1勝
2011/12/11,3歳以上1000万下,1600,芝,1000万,8.2勝
2011/12/11,3歳以上1000万下,1800,ダ,1000万,8.2勝
2011/12/11,エリカ賞(500万下),2000,芝,500万,9.1勝
2011/12/11,オリオンS(1600万下),2400,芝,1600万,7.3勝
2011/12/11,阪神ジュベナイルF(G1),1600,芝,G1,1.G1
2011/12/11,阪神ウインターP(1600万下),1400,ダ,1600万,7.3勝
2011/12/11,2歳未勝利,1700,ダ,未勝利,o.未勝利
2011/12/11,3歳以上500万下,1000,ダ,500万,9.1勝
2011/12/11,2歳未勝利,1200,芝,未勝利,o.未勝利
2011/12/11,3歳以上500万下,1700,ダ,500万,9.1勝
2011/12/11,2歳新馬,2000,芝,新馬,o.未勝利
2011/12/11,3歳以上500万下,1000,ダ,500万,9.1勝
2011/12/11,3歳以上500万下,1700,ダ,500万,9.1勝
2011/12/11,3歳以上500万下,2600,芝,500万,9.1勝
2011/12/11,3歳以上500万下,1700,ダ,500万,9.1勝
2011/12/11,筑前特別(500万下),2000,芝,500万,9.1勝
2011/12/11,柳川特別(1000万下),1800,芝,1000万,8.2勝
2011/12/11,沖ノ島特別(500万下),1200,芝,500万,9.1勝
2011/12/10,2歳未勝利,1200,ダ,未勝利,o.未勝利
2011/12/10,2歳未勝利,1800,ダ,未勝利,o.未勝利
2011/12/10,2歳未勝利,2000,芝,未勝利,o.未勝利
2011/12/10,2歳未勝利,1800,ダ,未勝利,o.未勝利
2011/12/10,2歳新馬,1600,芝,新馬,o.未勝利
2011/12/10,2歳新馬,1200,ダ,新馬,o.未勝利
2011/12/10,3歳以上500万下,1800,ダ,500万,9.1勝
2011/12/10,3歳以上1000万下,2400,ダ,1000万,8.2勝
2011/12/10,黒松賞(500万下),1200,芝,500万,9.1勝
2011/12/10,北総S(1600万下),1800,ダ,1600万,7.3勝
2011/12/10,ラピスラズリS(OP),1200,芝,OP,6.OP
2011/12/10,3歳以上1000万下,2000,芝,1000万,8.2勝
2011/12/10,2歳未勝利,1800,ダ,未勝利,o.未勝利
2011/12/10,2歳未勝利,1400,ダ,未勝利,o.未勝利
2011/12/10,2歳未勝利,1600,芝,未勝利,o.未勝利
2011/12/10,2歳未勝利,1800,芝,未勝利,o.未勝利
2011/12/10,2歳新馬,1600,芝,新馬,o.未勝利
2011/12/10,2歳500万下,1400,芝,500万,9.1勝
2011/12/10,3歳以上500万下,1400,ダ,500万,9.1勝
2011/12/10,三木ホースランドJS(OP),3900,障,OP,6.OP
2011/12/10,境港特別(1000万下),2200,芝,1000万,8.2勝
2011/12/10,六甲アイランドS(1600万下),1400,芝,1600万,7.3勝
2011/12/10,ベテルギウスS(OP),2000,ダ,OP,6.OP
2011/12/10,3歳以上1000万下,1400,ダ,1000万,8.2勝
2011/12/10,2歳未勝利,1000,ダ,未勝利,o.未勝利
2011/12/10,2歳未勝利,1700,ダ,未勝利,o.未勝利
2011/12/10,2歳未勝利,1800,芝,未勝利,o.未勝利
2011/12/10,3歳以上500万下,1000,ダ,500万,9.1勝
2011/12/10,3歳以上500万下,1700,ダ,500万,9.1勝
2011/12/10,3歳以上500万下,1700,ダ,500万,9.1勝
2011/12/10,3歳以上500万下,2400,ダ,500万,9.1勝
2011/12/10,3歳以上500万下,1200,芝,500万,9.1勝
2011/12/10,3歳以上500万下,1700,ダ,500万,9.1勝
2011/12/10,耶馬渓特別(1000万下),1200,芝,1000万,8.2勝
2011/12/10,中日新聞杯(G3),2000,芝,G3,3.G3
2011/12/10,姫島特別(500万下),1800,芝,500万,9.1勝
2011/12/04,2歳未勝利,1200,ダ,未勝利,o.未勝利
2011/12/04,2歳未勝利,1800,ダ,未勝利,o.未勝利
2011/12/04,2歳未勝利,2000,芝,未勝利,o.未勝利
2011/12/04,障害3歳以上未勝利,2880,障,未勝利,o.未勝利
2011/12/04,2歳新馬,1200,芝,新馬,o.未勝利
2011/12/04,2歳新馬,1800,ダ,新馬,o.未勝利
2011/12/04,2歳500万下,1200,ダ,500万,9.1勝
2011/12/04,3歳以上500万下,1200,ダ,500万,9.1勝
2011/12/04,霞ヶ浦特別(1000万下),1800,ダ,1000万,8.2勝
2011/12/04,市川S(1600万下),1200,芝,1600万,7.3勝
2011/12/04,ターコイズS(OP),1600,芝,OP,6.OP
2011/12/04,3歳以上1000万下,2500,芝,1000万,8.2勝
2011/12/04,2歳未勝利,1400,ダ,未勝利,o.未勝利
2011/12/04,2歳未勝利,1200,ダ,未勝利,o.未勝利
2011/12/04,2歳未勝利,1400,芝,未勝利,o.未勝利
2011/12/04,2歳未勝利,1800,芝,未勝利,o.未勝利
