開催日,レース名,距離,地肌,クラス,通時
1997/12/21,3歳未勝利,1200,ダ,未勝利,o.未勝利
1997/12/21,3歳新馬,1800,ダ,新馬,o.未勝利
1997/12/21,3歳新馬,1600,芝,新馬,o.未勝利
1997/12/21,4歳以上500万下,1800,ダ,500万,9.1勝
1997/12/21,グッドラックH(900万下),2500,芝,900万,8.2勝
1997/12/21,ハッピーエンドC(900万下),1800,ダ,900万,8.2勝
1997/12/21,ホープフルS(OP),2000,芝,OP,6.OP
1997/12/21,フェアウェルS(1600万下),1200,ダ,1600万,7.3勝
1997/12/21,有馬記念(G1),2500,芝,G1,1.G1
1997/12/21,4歳以上500万下,1200,ダ,500万,9.1勝
1997/12/21,3歳新馬,1800,ダ,新馬,o.未勝利
1997/12/21,3歳新馬,1600,芝,新馬,o.未勝利
1997/12/21,3歳新馬,1200,芝,新馬,o.未勝利
1997/12/21,3歳未勝利,1200,ダ,未勝利,o.未勝利
1997/12/21,障害4歳以上未勝利,3000,障,未勝利,o.未勝利
1997/12/21,3歳未勝利,2000,芝,未勝利,o.未勝利
1997/12/21,4歳以上500万下,1800,ダ,500万,9.1勝
1997/12/21,4歳以上900万下,1200,芝,900万,8.2勝
1997/12/21,江坂特別(900万下),2500,芝,900万,8.2勝
1997/12/21,サンタクロースS(1600万下),1800,ダ,1600万,7.3勝
1997/12/21,六甲S(OP),2000,芝,OP,6.OP
1997/12/21,4歳以上900万下,1200,ダ,900万,8.2勝
1997/12/20,3歳未勝利,1200,ダ,未勝利,o.未勝利
1997/12/20,3歳未勝利,1800,ダ,未勝利,o.未勝利
1997/12/20,3歳新馬,1200,ダ,新馬,o.未勝利
1997/12/20,3歳新馬,1200,芝,新馬,o.未勝利
1997/12/20,障害4歳以上未勝利,2700,障,未勝利,o.未勝利
1997/12/20,3歳新馬,2000,芝,新馬,o.未勝利
1997/12/20,3歳500万下,1200,ダ,500万,9.1勝
1997/12/20,4歳以上500万下,1800,ダ,500万,9.1勝
1997/12/20,アクアラインS(1600万下),1800,芝,1600万,7.3勝
1997/12/20,クリスマスS(OP),1600,芝,OP,6.OP
1997/12/20,フェアリーS(G3),1200,芝,G3,3.G3
1997/12/20,4歳以上900万下,1200,ダ,900万,8.2勝
1997/12/20,3歳新馬,1400,ダ,新馬,o.未勝利
1997/12/20,3歳未勝利,1800,ダ,未勝利,o.未勝利
1997/12/20,3歳未勝利,1400,芝,未勝利,o.未勝利
1997/12/20,3歳新馬,2000,芝,新馬,o.未勝利
1997/12/20,3歳500万下,1800,ダ,500万,9.1勝
1997/12/20,4歳以上500万下,1400,ダ,500万,9.1勝
1997/12/20,4歳以上500万下,1200,ダ,500万,9.1勝
1997/12/20,4歳以上900万下,1600,芝,900万,8.2勝
1997/12/20,クリスマスキャロルH(1600万下),2200,芝,1600万,7.3勝
1997/12/20,摩耶S(OP),1200,芝,OP,6.OP
1997/12/20,ラジオたんぱ杯3歳S(G3),2000,芝,G3,3.G3
1997/12/20,4歳以上900万下,1800,ダ,900万,8.2勝
1997/12/14,3歳未勝利,1200,ダ,未勝利,o.未勝利
1997/12/14,3歳未勝利,1800,ダ,未勝利,o.未勝利
1997/12/14,3歳新馬,1200,ダ,新馬,o.未勝利
1997/12/14,3歳新馬,1200,芝,新馬,o.未勝利
1997/12/14,4歳以上500万下,1200,ダ,500万,9.1勝
1997/12/14,4歳以上500万下,1800,ダ,500万,9.1勝
1997/12/14,ひいらぎ賞(500万下),1600,芝,500万,9.1勝
1997/12/14,霞ケ浦特別(900万下),1200,ダ,900万,8.2勝
1997/12/14,清澄特別(900万下),1800,芝,900万,8.2勝
1997/12/14,冬至S(1600万下),2500,芝,1600万,7.3勝
1997/12/14,スプリンターズS(G1),1200,芝,G1,1.G1
1997/12/14,4歳以上900万下,1800,ダ,900万,8.2勝
1997/12/14,3歳新馬,2000,芝,新馬,o.未勝利
1997/12/14,3歳未勝利,1000,ダ,未勝利,o.未勝利
1997/12/14,4歳以上500万下,1700,ダ,500万,9.1勝
1997/12/14,4歳以上500万下,1700,ダ,500万,9.1勝
1997/12/14,4歳以上500万下,1000,ダ,500万,9.1勝
1997/12/14,4歳以上500万下,1700,ダ,500万,9.1勝
1997/12/14,4歳以上500万下,1800,芝,500万,9.1勝
1997/12/14,4歳以上500万下,2500,芝,500万,9.1勝
1997/12/14,中京3歳S(OP),1800,芝,OP,6.OP
1997/12/14,長篠特別(500万下),1200,芝,500万,9.1勝
1997/12/14,中京日経賞(900万下),1800,芝,900万,8.2勝
1997/12/14,4歳以上500万下,1000,ダ,500万,9.1勝
1997/12/14,3歳未勝利,1200,ダ,未勝利,o.未勝利
1997/12/14,3歳未勝利,1600,芝,未勝利,o.未勝利
