開催日,レース名,距離,地肌,クラス,通時,適性
1993/12/26,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1993/12/26,3歳新馬,1800,ダ,新馬,o.未勝利,5.砂 マイル
1993/12/26,3歳新馬,1200,芝,新馬,o.未勝利,1.芝 短距離
1993/12/26,4歳以上500万下,1800,ダ,500万,9.1勝,5.砂 マイル
1993/12/26,グッドラックH(900万下),2500,芝,900万,8.2勝,3.芝 中以遠
1993/12/26,ホープフルS(OP),2000,芝,OP,6.OP,3.芝 中以遠
1993/12/26,ジョッキーズG.P.(900万下),1800,芝,900万,8.2勝,2.芝 マイル
1993/12/26,’93フェアウェルS(1500万下),2000,芝,1500万,7.3勝,3.芝 中以遠
1993/12/26,有馬記念(G1),2500,芝,G1,1.G1,3.芝 中以遠
1993/12/26,4歳以上500万下,1200,ダ,500万,9.1勝,4.砂 短距離
1993/12/26,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1993/12/26,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1993/12/26,3歳新馬,1200,ダ,新馬,o.未勝利,4.砂 短距離
1993/12/26,3歳新馬,2000,芝,新馬,o.未勝利,3.芝 中以遠
1993/12/26,障害4歳以上400万下,3000,障,400万,9.1勝,7.障害
1993/12/26,4歳以上500万下,1200,ダ,500万,9.1勝,4.砂 短距離
1993/12/26,4歳以上500万下,1800,ダ,500万,9.1勝,5.砂 マイル
1993/12/26,4歳以上900万下,1800,ダ,900万,8.2勝,5.砂 マイル
1993/12/26,さざんか賞(500万下),1400,ダ,500万,9.1勝,4.砂 短距離
1993/12/26,千種川特別(900万下),1400,芝,900万,8.2勝,1.芝 短距離
1993/12/26,六甲S(OP),2000,芝,OP,6.OP,3.芝 中以遠
1993/12/26,4歳以上900万下,1200,ダ,900万,8.2勝,4.砂 短距離
1993/12/25,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1993/12/25,3歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
1993/12/25,3歳新馬,1200,ダ,新馬,o.未勝利,4.砂 短距離
1993/12/25,3歳新馬,2000,芝,新馬,o.未勝利,3.芝 中以遠
1993/12/25,3歳500万下,1200,ダ,500万,9.1勝,4.砂 短距離
1993/12/25,4歳以上500万下,1800,ダ,500万,9.1勝,5.砂 マイル
1993/12/25,4歳以上500万下,1800,ダ,500万,9.1勝,5.砂 マイル
1993/12/25,4歳以上900万下,1800,ダ,900万,8.2勝,5.砂 マイル
1993/12/25,中山大障害(秋)(G),4100,障,(G),4.(G),7.障害
1993/12/25,クリスマスS(OP),1600,芝,OP,6.OP,2.芝 マイル
1993/12/25,テレビ東京3歳牝馬S(G3),1200,芝,G3,3.G3,1.芝 短距離
1993/12/25,4歳以上900万下,1200,ダ,900万,8.2勝,4.砂 短距離
1993/12/25,3歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
1993/12/25,3歳未勝利,2000,芝,未勝利,o.未勝利,3.芝 中以遠
1993/12/25,3歳新馬,1200,ダ,新馬,o.未勝利,4.砂 短距離
1993/12/25,3歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
1993/12/25,障害4歳以上未勝利,3000,障,未勝利,o.未勝利,7.障害
1993/12/25,3歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
1993/12/25,4歳以上500万下,1800,ダ,500万,9.1勝,5.砂 マイル
1993/12/25,4歳以上500万下,1200,ダ,500万,9.1勝,4.砂 短距離
1993/12/25,江坂特別(900万下),2500,芝,900万,8.2勝,3.芝 中以遠
1993/12/25,サンタクロースH(1500万下),1800,ダ,1500万,7.3勝,5.砂 マイル
1993/12/25,ラジオたんぱ杯3歳S(G3),2000,芝,G3,3.G3,3.芝 中以遠
1993/12/25,4歳以上900万下,1800,ダ,900万,8.2勝,5.砂 マイル
1993/12/19,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1993/12/19,3歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
1993/12/19,3歳未勝利,2000,芝,未勝利,o.未勝利,3.芝 中以遠
1993/12/19,3歳新馬,1200,ダ,新馬,o.未勝利,4.砂 短距離
1993/12/19,4歳以上500万下,1200,ダ,500万,9.1勝,4.砂 短距離
1993/12/19,ひいらぎ賞(500万下),1600,芝,500万,9.1勝,2.芝 マイル
1993/12/19,香取特別(900万下),1800,ダ,900万,8.2勝,5.砂 マイル
1993/12/19,千葉テレビ杯(900万下),2000,芝,900万,8.2勝,3.芝 中以遠
