開催日,レース名,距離,年齢制限,一着賞金,地肌,クラス,通時,適性
1977/12/25,3歳勝入,1700,1:２歳,330.0,ダ,NoClass,z.NoClass,5.砂 マイル
1977/12/25,3歳未勝利,1200,1:２歳,220.0,芝,未勝利,o.未勝利,1.芝 短距離
1977/12/25,3歳未勝利,1600,1:２歳,220.0,芝,未勝利,o.未勝利,2.芝 マイル
1977/12/25,3歳新馬,1600,1:２歳,330.0,芝,新馬,o.未勝利,2.芝 マイル
1977/12/25,3歳新馬,1200,1:２歳,330.0,芝,新馬,o.未勝利,1.芝 短距離
1977/12/25,3歳300万下,1600,1:２歳,370.0,芝,300万,9.1勝,2.芝 マイル
1977/12/25,ひいらぎ賞(600万下),1600,1:２歳,630.0,芝,600万,8.2勝,2.芝 マイル
1977/12/25,4歳以上300万下,2000,3:３歳以上,410.0,芝,300万,9.1勝,3.芝 中以遠
1977/12/25,中山大障害(OP),4100,3:３歳以上,3200.0,障,OP,6.OP,7.障害
1977/12/25,クリスマスハンデキャ(1000万下),2200,3:３歳以上,860.0,芝,1000万,7.3勝,3.芝 中以遠
1977/12/25,4歳以上600万下,1600,3:３歳以上,530.0,芝,600万,8.2勝,2.芝 マイル
1977/12/25,3歳未勝利,1200,1:２歳,220.0,ダ,未勝利,o.未勝利,4.砂 短距離
1977/12/25,3歳未勝利,1200,1:２歳,220.0,ダ,未勝利,o.未勝利,4.砂 短距離
1977/12/25,4歳以上300万下,1900,3:３歳以上,410.0,ダ,300万,9.1勝,6.砂 中以遠
1977/12/25,3歳新馬,1200,1:２歳,330.0,芝,新馬,o.未勝利,1.芝 短距離
1977/12/25,4歳以上勝入300万円以下,3200,3:３歳以上,740.0,障,300万,9.1勝,7.障害
1977/12/25,3歳新馬,1600,1:２歳,330.0,芝,新馬,o.未勝利,2.芝 マイル
1977/12/25,シクラメン賞(600万下),1600,1:２歳,630.0,芝,600万,8.2勝,2.芝 マイル
1977/12/25,4歳以上1000万下,1600,3:３歳以上,690.0,芝,1000万,7.3勝,2.芝 マイル
1977/12/25,阪神大賞典(OP),3000,3:３歳以上,2500.0,芝,OP,6.OP,3.芝 中以遠
1977/12/25,中距離ハンデキャップ(600万下),2000,3:３歳以上,720.0,芝,600万,8.2勝,3.芝 中以遠
1977/12/25,4歳以上600万下,1800,3:３歳以上,530.0,ダ,600万,8.2勝,5.砂 マイル
1977/12/24,4歳以上勝入,1800,3:３歳以上,440.0,ダ,NoClass,z.NoClass,5.砂 マイル
1977/12/24,3歳未勝利,1200,1:２歳,220.0,芝,未勝利,o.未勝利,1.芝 短距離
1977/12/24,3歳未勝利,1600,1:２歳,220.0,芝,未勝利,o.未勝利,2.芝 マイル
1977/12/24,4歳以上未勝利,2710,3:３歳以上,590.0,障,未勝利,o.未勝利,7.障害
1977/12/24,3歳新馬,1200,1:２歳,330.0,芝,新馬,o.未勝利,1.芝 短距離
1977/12/24,4歳以上300万下,1800,3:３歳以上,410.0,芝,300万,9.1勝,2.芝 マイル
1977/12/24,4歳以上300万下,1800,3:３歳以上,410.0,芝,300万,9.1勝,2.芝 マイル
1977/12/24,万両賞(300万下),1600,1:２歳,520.0,芝,300万,9.1勝,2.芝 マイル
1977/12/24,4歳以上600万下,1600,3:３歳以上,530.0,芝,600万,8.2勝,2.芝 マイル
1977/12/24,ステイヤーズステーク(OP),3600,3:３歳以上,2000.0,芝,OP,6.OP,3.芝 中以遠
1977/12/24,冬至特別(600万下),2500,3:３歳以上,720.0,芝,600万,8.2勝,3.芝 中以遠
1977/12/24,4歳以上1000万下,1200,3:３歳以上,690.0,芝,1000万,7.3勝,1.芝 短距離
1977/12/24,3歳未勝利,1200,1:２歳,220.0,ダ,未勝利,o.未勝利,4.砂 短距離
1977/12/24,3歳未勝利,1200,1:２歳,220.0,ダ,未勝利,o.未勝利,4.砂 短距離
1977/12/24,3歳未勝利,1600,1:２歳,220.0,芝,未勝利,o.未勝利,2.芝 マイル
1977/12/24,4歳以上300万下,1700,3:３歳以上,410.0,ダ,300万,9.1勝,5.砂 マイル
1977/12/24,4歳以上未勝利,3000,3:３歳以上,590.0,障,未勝利,o.未勝利,7.障害
1977/12/24,3歳新馬,1200,1:２歳,330.0,芝,新馬,o.未勝利,1.芝 短距離
1977/12/24,4歳以上600万下,1700,3:３歳以上,530.0,ダ,600万,8.2勝,5.砂 マイル
1977/12/24,ひいらぎ賞(300万下),1600,1:２歳,520.0,芝,300万,9.1勝,2.芝 マイル
1977/12/24,4歳以上300万下,1800,3:３歳以上,410.0,ダ,300万,9.1勝,5.砂 マイル
1977/12/24,サンタクロースH(1000万下),2200,3:３歳以上,860.0,芝,1000万,7.3勝,3.芝 中以遠
1977/12/24,夙川特別(600万下),1800,3:３歳以上,720.0,ダ,600万,8.2勝,5.砂 マイル
1977/12/24,4歳以上600万下,1700,3:３歳以上,530.0,ダ,600万,8.2勝,5.砂 マイル
1977/12/18,3歳未勝利,1600,1:２歳,220.0,芝,未勝利,o.未勝利,2.芝 マイル
1977/12/18,3歳未勝利,1200,1:２歳,220.0,芝,未勝利,o.未勝利,1.芝 短距離
1977/12/18,3歳未勝利,1600,1:２歳,220.0,芝,未勝利,o.未勝利,2.芝 マイル
1977/12/18,3歳新馬,1600,1:２歳,330.0,芝,新馬,o.未勝利,2.芝 マイル
