開催日,レース名,距離,地肌,クラス,通時,適性
1982/12/26,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1982/12/26,3歳未勝利,1200,芝,未勝利,o.未勝利,1.芝 短距離
1982/12/26,3歳新馬,1200,芝,新馬,o.未勝利,1.芝 短距離
1982/12/26,4歳以上未勝利,3200,障,未勝利,o.未勝利,7.障害
1982/12/26,4歳以上400万下,2400,ダ,400万,9.1勝,6.砂 中以遠
1982/12/26,万両賞(400万下),1600,芝,400万,9.1勝,2.芝 マイル
1982/12/26,南総特別(800万下),2200,芝,800万,8.2勝,3.芝 中以遠
1982/12/26,4歳以上800万下,1600,芝,800万,8.2勝,2.芝 マイル
1982/12/26,有馬記念(OP),2500,芝,OP,6.OP,3.芝 中以遠
1982/12/26,4歳以上1300万下,1800,ダ,1300万,7.3勝,5.砂 マイル
1982/12/26,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1982/12/26,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1982/12/26,3歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
1982/12/26,4歳以上勝入400万円以下,3200,障,400万,9.1勝,7.障害
1982/12/26,4歳以上400万下,1200,ダ,400万,9.1勝,4.砂 短距離
1982/12/26,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1982/12/26,さざんか賞(400万下),1600,芝,400万,9.1勝,2.芝 マイル
1982/12/26,4歳以上800万下,1400,芝,800万,8.2勝,1.芝 短距離
1982/12/26,夙川特別(800万下),2200,芝,800万,8.2勝,3.芝 中以遠
1982/12/26,阪神大賞典(OP),3000,芝,OP,6.OP,3.芝 中以遠
1982/12/26,4歳以上800万下,1700,ダ,800万,8.2勝,5.砂 マイル
1982/12/25,3歳未勝利,1200,芝,未勝利,o.未勝利,1.芝 短距離
1982/12/25,3歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
1982/12/25,3歳新馬,1200,ダ,新馬,o.未勝利,4.砂 短距離
1982/12/25,3歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
1982/12/25,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1982/12/25,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1982/12/25,4歳以上800万下,2400,ダ,800万,8.2勝,6.砂 中以遠
1982/12/25,4歳以上800万下,2000,芝,800万,8.2勝,3.芝 中以遠
1982/12/25,ひいらぎ賞(800万下),1800,芝,800万,8.2勝,2.芝 マイル
1982/12/25,中山大障害(OP),4100,障,OP,6.OP,7.障害
1982/12/25,クリスマスS(1800万円以下),2200,芝,1800万,7.3勝,3.芝 中以遠
1982/12/25,4歳以上,1600,芝,NoClass,z.NoClass,2.芝 マイル
1982/12/25,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1982/12/25,3歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
1982/12/25,3歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
1982/12/25,3歳新馬,1200,ダ,新馬,o.未勝利,4.砂 短距離
1982/12/25,4歳以上未勝利,3000,障,未勝利,o.未勝利,7.障害
1982/12/25,3歳新馬,1300,芝,新馬,o.未勝利,1.芝 短距離
1982/12/25,3歳400万下,1200,ダ,400万,9.1勝,4.砂 短距離
1982/12/25,シクラメン賞(800万下),1600,芝,800万,8.2勝,2.芝 マイル
1982/12/25,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1982/12/25,ディセンバーハンデキ(800万下),2000,芝,800万,8.2勝,3.芝 中以遠
1982/12/25,サンタクロースH(1300万下),2200,芝,1300万,7.3勝,3.芝 中以遠
1982/12/25,4歳以上800万下,1800,ダ,800万,8.2勝,5.砂 マイル
1982/12/19,4歳以上,1800,ダ,NoClass,z.NoClass,5.砂 マイル
1982/12/19,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1982/12/19,3歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
1982/12/19,3歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
1982/12/19,3歳未勝利,1200,芝,未勝利,o.未勝利,1.芝 短距離
1982/12/19,3歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
1982/12/19,3歳400万下,1200,ダ,400万,9.1勝,4.砂 短距離
1982/12/19,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1982/12/19,葉牡丹賞(400万下),1600,芝,400万,9.1勝,2.芝 マイル
1982/12/19,冬至特別(800万下),1800,ダ,800万,8.2勝,5.砂 マイル
1982/12/19,ステイヤーズステーク(OP),3600,芝,OP,6.OP,3.芝 中以遠
1982/12/19,4歳以上800万下,1600,芝,800万,8.2勝,2.芝 マイル
1982/12/19,3歳未勝利,1600,ダ,未勝利,o.未勝利,5.砂 マイル
1982/12/19,3歳未勝利,1000,ダ,未勝利,o.未勝利,4.砂 短距離
1982/12/19,4歳以上400万下,1700,ダ,400万,9.1勝,5.砂 マイル
1982/12/19,3歳新馬,1000,ダ,新馬,o.未勝利,4.砂 短距離
1982/12/19,3歳新馬,1200,芝,新馬,o.未勝利,1.芝 短距離
1982/12/19,4歳以上400万下,1700,ダ,400万,9.1勝,5.砂 マイル
1982/12/19,4歳以上400万下,1700,ダ,400万,9.1勝,5.砂 マイル
1982/12/19,中京3歳S(OP),1800,芝,OP,6.OP,2.芝 マイル
1982/12/19,4歳以上400万下,1000,ダ,400万,9.1勝,4.砂 短距離
1982/12/19,師走特別(800万下),2000,芝,800万,8.2勝,3.芝 中以遠
1982/12/19,CBC賞(OP),1200,芝,OP,6.OP,1.芝 短距離
1982/12/19,4歳以上800万下,1800,芝,800万,8.2勝,2.芝 マイル
1982/12/19,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1982/12/19,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1982/12/19,3歳新馬,1200,芝,新馬,o.未勝利,1.芝 短距離
1982/12/19,4歳以上400万下,1600,芝,400万,9.1勝,2.芝 マイル
1982/12/19,4歳以上未勝利,3000,障,未勝利,o.未勝利,7.障害
1982/12/19,4歳以上400万下,1800,ダ,400万,9.1勝,5.砂 マイル
1982/12/19,4歳以上400万下,1600,芝,400万,9.1勝,2.芝 マイル
1982/12/19,逆瀬川特別(800万下),1800,ダ,800万,8.2勝,5.砂 マイル
1982/12/19,4歳以上800万下,1700,ダ,800万,8.2勝,5.砂 マイル
1982/12/19,万両賞(400万下),1400,芝,400万,9.1勝,1.芝 短距離
1982/12/19,阪神牝馬特別(OP),2000,芝,OP,6.OP,3.芝 中以遠
1982/12/19,4歳以上800万下,1600,芝,800万,8.2勝,2.芝 マイル
1982/12/18,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1982/12/18,3歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
1982/12/18,3歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
1982/12/18,3歳新馬,1200,ダ,新馬,o.未勝利,4.砂 短距離
1982/12/18,4歳以上400万下,1200,ダ,400万,9.1勝,4.砂 短距離
