開催日,レース名,距離,地肌,クラス,通時,適性
2017/12/28,2歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
2017/12/28,2歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
2017/12/28,2歳未勝利,1800,芝,未勝利,o.未勝利,2.芝 マイル
2017/12/28,2歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
2017/12/28,2歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
2017/12/28,2歳新馬,1200,ダ,新馬,o.未勝利,4.砂 短距離
2017/12/28,3歳以上500万下,1800,ダ,500万,9.1勝,5.砂 マイル
2017/12/28,ヤングJSFR中山1(500万下),2000,芝,500万,9.1勝,3.芝 中以遠
2017/12/28,エスペランサ賞(500万下),1200,ダ,500万,9.1勝,4.砂 短距離
2017/12/28,ヤングJSFR中山2(1000万下),1800,ダ,1000万,8.2勝,5.砂 マイル
2017/12/28,ホープフルS(G1),2000,芝,G1,1.G1,3.芝 中以遠
2017/12/28,ベストウィッシュC(1000万下),1800,芝,1000万,8.2勝,2.芝 マイル
2017/12/28,2歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
2017/12/28,2歳未勝利,1400,ダ,未勝利,o.未勝利,4.砂 短距離
2017/12/28,2歳未勝利,1800,芝,未勝利,o.未勝利,2.芝 マイル
2017/12/28,2歳新馬,1800,ダ,新馬,o.未勝利,5.砂 マイル
2017/12/28,2歳新馬,1400,芝,新馬,o.未勝利,1.芝 短距離
2017/12/28,2歳500万下,2000,芝,500万,9.1勝,3.芝 中以遠
2017/12/28,3歳以上500万下,1800,ダ,500万,9.1勝,5.砂 マイル
2017/12/28,3歳以上500万下,1600,芝,500万,9.1勝,2.芝 マイル
2017/12/28,春待月賞(1000万下),1400,ダ,1000万,8.2勝,4.砂 短距離
2017/12/28,フォーチュンC(1000万下),1600,芝,1000万,8.2勝,2.芝 マイル
2017/12/28,ベテルギウスS(OP),1800,ダ,OP,6.OP,5.砂 マイル
2017/12/28,2017ファイナルS(1600万下),1400,芝,1600万,7.3勝,1.芝 短距離
2017/12/24,2歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
2017/12/24,2歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
2017/12/24,2歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
2017/12/24,2歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
2017/12/24,2歳新馬,2000,芝,新馬,o.未勝利,3.芝 中以遠
2017/12/24,3歳以上500万下,1800,ダ,500万,9.1勝,5.砂 マイル
2017/12/24,3歳以上500万下,1200,ダ,500万,9.1勝,4.砂 短距離
2017/12/24,クリスマスローズS(OP),1200,芝,OP,6.OP,1.芝 短距離
2017/12/24,グッドラックH(1000万下),2500,芝,1000万,8.2勝,3.芝 中以遠
2017/12/24,フェアウェルS(1600万下),1200,ダ,1600万,7.3勝,4.砂 短距離
2017/12/24,有馬記念(G1),2500,芝,G1,1.G1,3.芝 中以遠
2017/12/24,クリスマスC(1000万下),1200,芝,1000万,8.2勝,1.芝 短距離
2017/12/24,2歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
2017/12/24,2歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
2017/12/24,2歳未勝利,1400,芝,未勝利,o.未勝利,1.芝 短距離
2017/12/24,2歳未勝利,2000,芝,未勝利,o.未勝利,3.芝 中以遠
2017/12/24,障害3歳以上未勝利,2970,障,未勝利,o.未勝利,7.障害
2017/12/24,2歳新馬,1800,芝,新馬,o.未勝利,2.芝 マイル
2017/12/24,3歳以上500万下,1400,ダ,500万,9.1勝,4.砂 短距離
2017/12/24,3歳以上1000万下,2000,ダ,1000万,8.2勝,6.砂 中以遠
2017/12/24,千両賞(500万下),1600,芝,500万,9.1勝,2.芝 マイル
2017/12/24,江坂特別(1000万下),2400,芝,1000万,8.2勝,3.芝 中以遠
2017/12/24,サンタクロースS(1600万下),2000,芝,1600万,7.3勝,3.芝 中以遠
2017/12/24,ギャラクシーS(OP),1400,ダ,OP,6.OP,4.砂 短距離
2017/12/23,2歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
2017/12/23,2歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
2017/12/23,2歳未勝利,1200,芝,未勝利,o.未勝利,1.芝 短距離
2017/12/23,2歳未勝利,2000,芝,未勝利,o.未勝利,3.芝 中以遠
2017/12/23,2歳新馬,1800,ダ,新馬,o.未勝利,5.砂 マイル
2017/12/23,2歳新馬,1200,ダ,新馬,o.未勝利,4.砂 短距離
2017/12/23,3歳以上500万下,2500,ダ,500万,9.1勝,6.砂 中以遠
2017/12/23,舞浜特別(1000万下),1200,ダ,1000万,8.2勝,4.砂 短距離
2017/12/23,ノエル賞(500万下),1600,芝,500万,9.1勝,2.芝 マイル
2017/12/23,中山大障害(J.G1),4100,障,G1,1.G1,7.障害
2017/12/23,グレイトフルS(1600万下),2500,芝,1600万,7.3勝,3.芝 中以遠
2017/12/23,3歳以上500万下,1200,芝,500万,9.1勝,1.芝 短距離
2017/12/23,2歳未勝利,1400,ダ,未勝利,o.未勝利,4.砂 短距離
2017/12/23,2歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
2017/12/23,2歳未勝利,1400,芝,未勝利,o.未勝利,1.芝 短距離
2017/12/23,2歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
2017/12/23,2歳新馬,2000,芝,新馬,o.未勝利,3.芝 中以遠
2017/12/23,2歳新馬,1400,ダ,新馬,o.未勝利,4.砂 短距離
2017/12/23,3歳以上500万下,2600,芝,500万,9.1勝,3.芝 中以遠
2017/12/23,3歳以上500万下,2000,ダ,500万,9.1勝,6.砂 中以遠
2017/12/23,ジングルベル賞(1000万下),2000,芝,1000万,8.2勝,3.芝 中以遠
2017/12/23,摩耶S(1600万下),1800,ダ,1600万,7.3勝,5.砂 マイル
2017/12/23,阪神C(G2),1400,芝,G2,2.G2,1.芝 短距離
2017/12/23,3歳以上1000万下,1200,ダ,1000万,8.2勝,4.砂 短距離
2017/12/17,2歳未勝利,1200,ダ,未勝利,o.未勝利,4.砂 短距離
2017/12/17,2歳未勝利,1800,ダ,未勝利,o.未勝利,5.砂 マイル
2017/12/17,2歳未勝利,1600,芝,未勝利,o.未勝利,2.芝 マイル
2017/12/17,2歳未勝利,2000,芝,未勝利,o.未勝利,3.芝 中以遠
2017/12/17,2歳新馬,1800,ダ,新馬,o.未勝利,5.砂 マイル
2017/12/17,2歳新馬,1600,芝,新馬,o.未勝利,2.芝 マイル
2017/12/17,2歳500万下,1800,ダ,500万,9.1勝,5.砂 マイル
