開催日,レース名,距離,地肌,クラス,通時
1995/12/24,3歳未勝利,1800,ダ,未勝利,o.未勝利
1995/12/24,3歳未勝利,1200,ダ,未勝利,o.未勝利
1995/12/24,3歳新馬,1800,ダ,新馬,o.未勝利
1995/12/24,3歳新馬,1200,芝,新馬,o.未勝利
1995/12/24,グッドラックH(900万下),2500,芝,900万,8.2勝
1995/12/24,ホープフルS(OP),2000,芝,OP,6.OP
1995/12/24,ジョッキーズG.P.(900万下),1800,芝,900万,8.2勝
1995/12/24,フェアウェルS(1500万下),2000,芝,1500万,7.3勝
1995/12/24,有馬記念(G1),2500,芝,G1,1.G1
1995/12/24,4歳以上500万下,1800,ダ,500万,9.1勝
1995/12/24,3歳未勝利,1800,ダ,未勝利,o.未勝利
1995/12/24,3歳未勝利,1600,芝,未勝利,o.未勝利
1995/12/24,3歳未勝利,1600,芝,未勝利,o.未勝利
1995/12/24,3歳新馬,1200,芝,新馬,o.未勝利
1995/12/24,障害4歳以上未勝利,3000,障,未勝利,o.未勝利
1995/12/24,3歳新馬,2000,芝,新馬,o.未勝利
1995/12/24,4歳以上500万下,1200,ダ,500万,9.1勝
1995/12/24,4歳以上900万下,1800,ダ,900万,8.2勝
1995/12/24,千種川特別(900万下),1400,芝,900万,8.2勝
1995/12/24,シクラメンS(OP),1400,ダ,OP,6.OP
1995/12/24,六甲S(OP),2000,芝,OP,6.OP
1995/12/24,4歳以上900万下,1200,ダ,900万,8.2勝
1995/12/23,3歳未勝利,1800,ダ,未勝利,o.未勝利
1995/12/23,3歳新馬,1200,ダ,新馬,o.未勝利
1995/12/23,3歳新馬,2000,芝,新馬,o.未勝利
1995/12/23,3歳500万下,1200,ダ,500万,9.1勝
1995/12/23,4歳以上500万下,1200,ダ,500万,9.1勝
1995/12/23,障害4歳以上未勝利,2700,障,未勝利,o.未勝利
1995/12/23,4歳以上500万下,1800,ダ,500万,9.1勝
1995/12/23,4歳以上500万下,1200,ダ,500万,9.1勝
1995/12/23,霞ケ浦特別(900万下),1800,ダ,900万,8.2勝
1995/12/23,クリスマスS(OP),1600,芝,OP,6.OP
1995/12/23,フェアリーS(G3),1200,芝,G3,3.G3
1995/12/23,4歳以上900万下,1200,ダ,900万,8.2勝
1995/12/23,3歳未勝利,1200,ダ,未勝利,o.未勝利
1995/12/23,3歳未勝利,2000,芝,未勝利,o.未勝利
1995/12/23,3歳新馬,1800,ダ,新馬,o.未勝利
1995/12/23,3歳新馬,1600,芝,新馬,o.未勝利
1995/12/23,3歳新馬,1600,芝,新馬,o.未勝利
1995/12/23,4歳以上500万下,1800,ダ,500万,9.1勝
1995/12/23,4歳以上500万下,1200,ダ,500万,9.1勝
1995/12/23,4歳以上900万下,1200,芝,900万,8.2勝
1995/12/23,江坂特別(900万下),2500,芝,900万,8.2勝
1995/12/23,サンタクロースH(1500万下),1800,ダ,1500万,7.3勝
