開催日,レース名,距離,地肌,クラス,通時
1994/12/25,3歳未勝利,1200,ダ,未勝利,o.未勝利
1994/12/25,3歳未勝利,1800,ダ,未勝利,o.未勝利
1994/12/25,3歳新馬,1800,ダ,新馬,o.未勝利
1994/12/25,3歳新馬,1200,芝,新馬,o.未勝利
1994/12/25,グッドラックH(900万下),2500,芝,900万,8.2勝
1994/12/25,ホープフルS(OP),2000,芝,OP,6.OP
1994/12/25,ジョッキーズG.P.(900万下),1800,芝,900万,8.2勝
1994/12/25,’94フェアウェルS(1500万下),2000,芝,1500万,7.3勝
1994/12/25,有馬記念(G1),2500,芝,G1,1.G1
1994/12/25,4歳以上500万下,1800,ダ,500万,9.1勝
1994/12/25,3歳新馬,1200,ダ,新馬,o.未勝利
1994/12/25,3歳未勝利,1200,ダ,未勝利,o.未勝利
1994/12/25,3歳未勝利,1600,芝,未勝利,o.未勝利
1994/12/25,3歳未勝利,1600,芝,未勝利,o.未勝利
1994/12/25,障害4歳以上未勝利,3000,障,未勝利,o.未勝利
1994/12/25,3歳新馬,2000,芝,新馬,o.未勝利
1994/12/25,4歳以上500万下,1800,ダ,500万,9.1勝
1994/12/25,4歳以上900万下,1800,ダ,900万,8.2勝
1994/12/25,さざんか賞(500万下),1400,ダ,500万,9.1勝
1994/12/25,千種川特別(900万下),1400,芝,900万,8.2勝
1994/12/25,六甲S(OP),2000,芝,OP,6.OP
1994/12/25,4歳以上500万下,1200,ダ,500万,9.1勝
1994/12/24,3歳未勝利,1200,ダ,未勝利,o.未勝利
1994/12/24,3歳新馬,1200,ダ,新馬,o.未勝利
1994/12/24,3歳新馬,2000,芝,新馬,o.未勝利
1994/12/24,3歳500万下,1200,ダ,500万,9.1勝
1994/12/24,4歳以上500万下,1200,ダ,500万,9.1勝
1994/12/24,障害4歳以上未勝利,2700,障,未勝利,o.未勝利
1994/12/24,4歳以上500万下,1800,ダ,500万,9.1勝
1994/12/24,4歳以上500万下,1200,ダ,500万,9.1勝
1994/12/24,霞ケ浦特別(900万下),1800,ダ,900万,8.2勝
1994/12/24,クリスマスS(OP),1600,芝,OP,6.OP
1994/12/24,フェアリーS(G3),1200,芝,G3,3.G3
1994/12/24,4歳以上900万下,1200,ダ,900万,8.2勝
1994/12/24,3歳未勝利,1800,ダ,未勝利,o.未勝利
1994/12/24,3歳未勝利,2000,芝,未勝利,o.未勝利
1994/12/24,3歳新馬,1800,ダ,新馬,o.未勝利
1994/12/24,3歳新馬,1600,芝,新馬,o.未勝利
1994/12/24,3歳新馬,1600,芝,新馬,o.未勝利
1994/12/24,4歳以上500万下,1800,ダ,500万,9.1勝
1994/12/24,4歳以上500万下,1200,ダ,500万,9.1勝
1994/12/24,4歳以上900万下,1800,ダ,900万,8.2勝
1994/12/24,江坂特別(900万下),2500,芝,900万,8.2勝
1994/12/24,サンタクロースH(1500万下),1800,ダ,1500万,7.3勝
1994/12/24,ラジオたんぱ杯3歳S(G3),2000,芝,G3,3.G3
1994/12/24,4歳以上900万下,1200,ダ,900万,8.2勝
1994/12/18,3歳未勝利,1800,ダ,未勝利,o.未勝利
1994/12/18,3歳未勝利,1200,ダ,未勝利,o.未勝利
1994/12/18,3歳未勝利,2000,芝,未勝利,o.未勝利
1994/12/18,3歳新馬,1200,ダ,新馬,o.未勝利
1994/12/18,4歳以上500万下,1800,ダ,500万,9.1勝
1994/12/18,ひいらぎ賞(500万下),1600,芝,500万,9.1勝
1994/12/18,香取特別(900万下),1200,ダ,900万,8.2勝
1994/12/18,千葉テレビ杯(900万下),2000,芝,900万,8.2勝
1994/12/18,冬至S(1500万下),2500,芝,1500万,7.3勝
1994/12/18,スプリンターズS(G1),1200,芝,G1,1.G1
1994/12/18,4歳以上500万下,1800,ダ,500万,9.1勝
1994/12/18,3歳未勝利,1700,ダ,未勝利,o.未勝利
1994/12/18,3歳未勝利,1000,ダ,未勝利,o.未勝利
1994/12/18,3歳新馬,2000,芝,新馬,o.未勝利
1994/12/18,4歳以上500万下,2300,ダ,500万,9.1勝
1994/12/18,4歳以上500万下,1700,ダ,500万,9.1勝
1994/12/18,4歳以上500万下,1000,ダ,500万,9.1勝
1994/12/18,4歳以上500万下,1700,ダ,500万,9.1勝
1994/12/18,4歳以上500万下,1800,芝,500万,9.1勝
1994/12/18,中京3歳S(OP),1800,芝,OP,6.OP
1994/12/18,尾張特別(500万下),2000,芝,500万,9.1勝
1994/12/18,天竜川特別(900万下),2500,芝,900万,8.2勝
1994/12/18,4歳以上500万下,1200,芝,500万,9.1勝
