開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
1978/12/16,3中京7,晴,11,4歳以上300万下,,ダ1700,18,良,1:50.3,,フェアプロス,安藤賢一,松田由太郎,オートミファイター,ファインアゲイン
1978/12/16,5阪神5,晴,1,3歳未勝利,,ダ1200,8,良,1:14.6,,キーフローリー,須崎昇,久保道雄,トウメイサム,マルカコトブキ
1978/12/16,5阪神5,晴,2,3歳未勝利,,ダ1200,10,良,1:14.8,,ファインライジン,田島良保,福島角一,シルクタイテー,ミズトンボ
1978/12/16,5阪神5,晴,3,3歳未勝利,,芝1300,12,良,1:18.7,,ハシピゴラス,桜井誠二,栗田勝,ハードルビー,スナークリーズン
1978/12/16,5阪神5,晴,4,3歳新馬,,芝1200,9,良,1:11.5,,リュウオソレザン,白坂宗治,宮本悳,ニホンピロダイオー,シバライク
1978/12/16,5阪神5,晴,5,4歳以上未勝利,,障3000,8,良,3:25.9,,ミヤノクイン,小島貞博,戸山為夫,エレガントシャダイ,ワイエムカチドキ
1978/12/16,5阪神5,晴,6,4歳以上300万下,,芝2000,10,良,2:04.5,,ケイシュウフォルテ,福永洋一,福島角一,タイホク,スタードラゴン
1978/12/16,5阪神5,晴,7,4歳以上300万下,,芝2000,9,良,2:03.6,,シャークテイム,楠孝志,荻野光男,ヒダカユウセイ,ニッポウヒーロー
1978/12/16,5阪神5,晴,8,さざんか賞(400万下),,芝1300,14,良,1:16.8,,イナドコトブキ,楠孝志,須貝彦三,ニチドウアラシ,カツラノハイセイコ
1978/12/16,5阪神5,晴,9,4歳以上700万下,,ダ1700,14,良,1:45.6,,バンブールーラー,岩元市三,島崎宏,ナラサンスイ,ラッキーグロリー
1978/12/16,5阪神5,晴,10,デイセンバーハンデキ(1100万下),,芝2200,12,良,2:14.5,,ウラカワスター,福永洋一,栗田勝,ハマノワールドオー,ビートンオール
1978/12/16,5阪神5,晴,11,夙川特別(700万下),,ダ1800,11,良,1:51.1,,ケイパンチ,武邦彦,浅見国一,ナチノチカラ,ネプチュフル
1978/12/16,5阪神5,晴,12,4歳以上700万下,,ダ1900,11,良,2:00.2,,スピードダーマ,福永洋一,池田三郎,エスティキング,ネプチュパワー
1978/12/10,5中山4,曇,1,3歳,,ダ1200,7,良,1:16.0,,トネリバー,坂井千明,相川勝敏,アイノスリー,ミシマサイコ
1978/12/10,5中山4,曇,2,3歳未勝利,,芝1200,14,良,1:12.2,,ファイブロマン,嶋田功,小西登,ドリームシュート,テツスイセイ
1978/12/10,5中山4,曇,3,3歳未勝利,,芝1600,13,良,1:38.3,,スパートリドン,蛯沢誠治,成宮明光,ラハイナ,タイムポリシー
1978/12/10,5中山4,曇,4,4歳以上未勝利,,障2700,10,良,3:03.4,,イブキアラシ,三浦春美,柄崎義信,サンダーキング,ジェットサバンナ
1978/12/10,5中山4,曇,5,3歳新馬,,芝1200,18,良,1:12.1,,プリンスランナ,東信二,境勝太郎,ダイゴウジュニア,メジロマセラッティ
1978/12/10,5中山4,小雨,6,3歳400万下,,芝1600,12,良,1:37.7,,ヨシノスキー,増沢末夫,佐藤征助,ナイトペンダス,カンカンリュウエン
1978/12/10,5中山4,曇,7,清澄特別(700万下),,芝1800,16,良,1:50.6,,イサミウイング,安田富男,松永光雄,ピムリコ,リスボンシチー
