開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
1978/11/18,6東京5,晴,6,4歳以上300万下,,ダ1700,9,稍,1:45.0,,アジアフォンテン,堀井雅広,宮沢今朝太郎,マルベリーダスト,コインパース
1978/11/18,6東京5,晴,7,東京障害特別(OP),,障3300,6,良,3:45.6,,オンワードカオリ,星野忍,阿部正太郎,メジロレブン,シブノオスカル
1978/11/18,6東京5,晴,8,4歳以上700万下,,ダ1600,14,稍,1:37.5,,フリートボーイ,岡部幸雄,鈴木清,サクラオール,ブイツキー
1978/11/18,6東京5,晴,9,ノベンバーハンデキャ(1100万下),,芝2000,7,良,2:02.6,,サニーバース,嶋田功,小西喜蔵,タケショウダイヤ,セツザン
1978/11/18,6東京5,晴,10,3歳抽せん馬特別(400万下),,芝1400,11,良,1:25.7,,テンセイキング,田中清隆,野平祐二,イブセイコー,サンセイペンダス
1978/11/18,6東京5,晴,11,4歳以上700万下,,芝1800,8,良,1:50.7,,アイノチドリ,蛯沢誠治,成宮明光,オールドシュー,チェッカールーラー
1978/11/18,5京都5,晴,1,3歳未勝利,,ダ1400,6,稍,1:30.5,,フリージア,猿橋重利,大久保石松,ワンマンスカイ,バドルダイヤ
1978/11/18,5京都5,晴,2,3歳未勝利,,ダ1200,10,稍,1:14.3,,ダンデイサニー,舞原昌博,松永善晴,ニホンピロビラス,ベルダンサー
1978/11/18,5京都5,晴,3,3歳未勝利,,芝1400,14,稍,1:24.9,,サイコーエイザン,福永洋一,内田繁三,ゴールデンギャラン,スズカスター
1978/11/18,5京都5,晴,4,4歳以上300万下,,芝2000,10,稍,2:04.4,,カワセヒリュウ,清水英次,坂田正行,タイホク,ハクサンオーザ
1978/11/18,5京都5,晴,5,4歳以上未勝利,,障3290,12,稍,3:43.0,,ニホンピロリージ,古川隆文,諏訪真,ミカワプリンス,キンセンホマレ
1978/11/18,5京都5,晴,6,3歳新馬,,芝1200,11,良,1:11.5,,マルカミノル,河内洋,内藤繁春,ミズトンボ,タテヤマホープ
1978/11/18,5京都5,晴,7,4歳以上700万下,,ダ1800,5,良,1:54.1,,トキツコーター,安藤賢一,梅内慶蔵,マゼッタ,タニノホーク
1978/11/18,5京都5,晴,8,アラブ3歳S(OP),,ダ1400,12,良,1:29.2,,リネンカイケン,押田年郎,坂口正大,スズカタケル,タガミヒカリ
1978/11/18,5京都5,晴,9,4歳以上300万下,,芝2000,10,良,2:05.6,,キタシバツバメ,今岡正,佐藤勇,ノトテスコ,ミヤコヒーロー
1978/11/18,5京都5,晴,10,大原特別(1100万下),,芝3200,6,良,3:28.3,,スーパーソニック,安田隆行,浅見国一,ヤマニンミノル,リュウフローリスト
1978/11/18,5京都5,晴,11,3歳抽せん馬特別(400万下),,芝1600,10,良,1:37.2,,シバホーオー,福永洋一,工藤嘉見,エリモセフト,コールチェリー
1978/11/18,5京都5,晴,12,4歳以上700万下,,ダ1900,9,良,1:57.5,,マチカネイッキュウ,福永洋一,清田十一,ケイパンチ,ネプチュフル
1978/11/12,2福島6,曇,1,3歳未勝利,,芝1000,8,良,1:02.3,,タニマサミサン,高山裕,佐藤嘉秋,サカエホーオー,マサゴールド
1978/11/12,2福島6,曇,2,3歳未勝利,,芝1000,6,良,0:59.6,,ハーバーギャラン,増沢末夫,佐藤征助,クリノダイヤ,スズカフール
