開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
2022/05/08,2東京6,晴,1,3歳未勝利,,ダ1400,16,良,1:26.3,35.6-38.3,フィーカ,Ｍ．デム,[東]矢野英一,ルチア,ラッキーガブリエル,2:３歳,520.0
2022/05/08,2東京6,晴,2,3歳未勝利,,ダ1600,16,良,1:39.6,35.8-38.0,フォーワンセルフ,横山和生,[東]小桧山悟,タカラライナー,アルバダイヤー,2:３歳,520.0
2022/05/08,2東京6,晴,3,3歳未勝利,,芝2300,9,良,2:22.3,31.3-34.0,ホウオウフウジン,坂井瑠星,[西]矢作芳人,ゴーシェナイト,ローズナイトシチー,2:３歳,520.0
2022/05/08,2東京6,晴,4,3歳未勝利,,芝1800,15,良,1:47.2,35.1-35.0,ルージュカルミア,福永祐一,[東]木村哲也,ボルザコフスキー,アルテラ,2:３歳,520.0
2022/05/08,2東京6,曇,5,3歳1勝クラス,,ダ1600,13,良,1:37.7,35.9-36.3,ビヨンドザファザー,坂井瑠星,[西]藤岡健一,マウントベル,ディープグラビティ,2:３歳,750.0
2022/05/08,2東京6,曇,6,4歳以上1勝クラス,,ダ1300,16,良,1:18.6,29.9-36.1,フェイマスダンディ,田中勝春,[東]深山雅史,ニルアドミラリ,トーセンニック,4:４歳以上,770.0
2022/05/08,2東京6,曇,7,4歳以上1勝クラス,,芝2000,7,良,2:00.0,37.0-34.3,バニシングポイント,横山武史,[東]蛯名正義,ディオスバリエンテ,マイネルヒッツェ,4:４歳以上,770.0
2022/05/08,2東京6,曇,8,4歳以上2勝クラス,,ダ1400,16,良,1:23.6,35.4-36.1,アルメイダミノル,横山典弘,[西]北出成人,プレシオーソ,バクシン,4:４歳以上,1110.0
2022/05/08,2東京6,曇,9,湘南S(3勝クラス),,芝1600,16,良,1:32.3,35.1-34.3,ジャスティンカフェ,横山典弘,[西]安田翔伍,ウインシャーロット,ルペルカーリア,4:４歳以上,1840.0
2022/05/08,2東京6,曇,10,メトロポリタンS(L),,芝2400,10,良,2:25.9,37.0-34.9,ヴァイスメテオール,レーン,[東]木村哲也,フライライクバード,ボスジラ,4:４歳以上,2600.0
2022/05/08,2東京6,曇,11,NHKマイルC(G1),,芝1600,18,良,1:32.3,34.1-34.9,ダノンスコーピオン,川田将雅,[西]安田隆行,マテンロウオリオン,カワキタレブリー,2:３歳,13000.0
2022/05/08,2東京6,曇,12,立川特別(2勝クラス),,ダ1600,16,良,1:36.5,35.4-36.5,クリーンスレイト,横山武史,[東]久保田貴,アナンシエーション,ダイシンピスケス,4:４歳以上,1510.0
2022/05/08,3中京2,晴,1,3歳未勝利,,ダ1800,13,良,1:56.9,39.3-38.1,エピックジョイ,浜中俊,[西]武幸四郎,フォーランマリア,スマートグランデ,2:３歳,520.0
2022/05/08,3中京2,晴,2,3歳未勝利,,ダ1400,16,良,1:26.1,34.5-39.4,メイショウヒメゴゼ,浜中俊,[西]南井克巳,サンライズタイタン,リョウフウ,2:３歳,520.0
2022/05/08,3中京2,晴,3,3歳未勝利,,ダ1800,12,良,1:56.1,37.6-39.9,メジャークオリティ,藤岡康太,[西]西園正都,キージュピター,ストロンゲスト,2:３歳,520.0
2022/05/08,3中京2,晴,4,3歳未勝利,,芝2000,12,良,2:00.2,36.5-34.7,ベリーヴィーナス,藤岡康太,[西]鈴木孝志,エピプランセス,ジューンレインボー,2:３歳,520.0
2022/05/08,3中京2,晴,5,3歳未勝利,,芝1600,16,良,1:33.4,34.8-35.0,ブライトオンベイス,秋山真一,[西]清水久詞,スコールユニバンス,バレル,2:３歳,520.0
2022/05/08,3中京2,晴,6,3歳1勝クラス,,ダ1400,12,良,1:24.5,34.5-37.9,スマートラプター,角田大河,[西]西園正都,フォーチュンテラー,ライラボンド,2:３歳,750.0
2022/05/08,3中京2,晴,7,4歳以上1勝クラス,,芝2000,9,良,1:59.6,35.9-35.3,サウンドウォリアー,幸英明,[西]高橋康之,ルーパステソーロ,サイモンメガライズ,4:４歳以上,770.0
2022/05/08,3中京2,晴,8,4歳以上1勝クラス,,ダ1800,9,良,1:54.1,37.0-39.4,クリノクラール,太宰啓介,[西]武英智,レッドシリウス,レスペディーザ,4:４歳以上,770.0
