開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
2022/09/03,2札幌7,晴,9,札幌スポニチ賞(2勝クラス),,芝1200,16,良,1:09.3,33.8-35.5,キミワクイーン,横山武史,[東]奥村武,ケイアイオメガ,グラスミヤラビ,3:３歳以上,1510.0
2022/09/03,2札幌7,晴,10,日高S(3勝クラス),,芝1500,14,良,1:28.7,28.4-37.3,シャイニーロック,鮫島克駿,[西]佐々木晶,オーバーディリバー,コスモエスパーダ,3:３歳以上,1840.0
2022/09/03,2札幌7,晴,11,札幌2歳S(G3),,芝1800,14,良,1:50.0,36.7-36.3,ドゥーラ,斎藤新,[西]高橋康之,ドゥアイズ,ダイヤモンドハンズ,1:２歳,3100.0
2022/09/03,2札幌7,晴,12,3歳以上1勝クラス,,ダ1700,14,良,1:46.2,29.5-39.5,フームスムート,藤岡佑介,[東]水野貴広,リチュアル,パワーブローキング,3:３歳以上,770.0
2022/09/03,3新潟7,雨,1,障害3歳以上未勝利,,障2850,14,良,3:06.1,104.1-0.0,ファルヴォーレ,難波剛健,[西]高橋義忠,プンタアレナス,ヴィーヴァバッカス,3:３歳以上,790.0
2022/09/03,3新潟7,雨,2,2歳未勝利,,ダ1800,15,稍,1:55.8,37.2-40.3,ノーブルミステリー,佐々木大,[東]菊川正達,ナックダンス,グランサバナ,1:２歳,520.0
2022/09/03,3新潟7,雨,3,3歳未勝利,,ダ1200,15,稍,1:12.0,34.2-37.8,クリスタルウエイ,吉田豊,[東]高橋文雅,チャオベッラ,セオリーリターン,2:３歳,520.0
2022/09/03,3新潟7,雨,4,障害3歳以上OP,,障3250,12,良,3:34.5,105.0-0.0,ノーザンクリス,小野寺祐,[東]加藤征弘,ハーツシンフォニー,マイネルグロン,3:３歳以上,1350.0
2022/09/03,3新潟7,曇,5,2歳新馬,,芝2000,7,良,2:07.2,40.3-34.9,ミヤビ,武藤雅,[東]尾形和幸,メイショウカガ,ダイヤプリーモ,1:２歳,700.0
2022/09/03,3新潟7,曇,6,3歳未勝利,,芝1600,18,良,1:34.8,34.9-35.3,ジュエルラビシア,戸崎圭太,[東]蛯名正義,イワクニ,チューウィー,2:３歳,520.0
2022/09/03,3新潟7,晴,7,3歳未勝利,,芝1800,18,良,1:48.2,35.8-34.8,ナンヨーアゼリア,田辺裕信,[東]手塚貴久,ウインエイムハイ,ヴァイオルナ,2:３歳,520.0
2022/09/03,3新潟7,晴,8,3歳以上1勝クラス,,ダ1200,15,稍,1:10.8,33.9-36.9,ハイアムズビーチ,三浦皇成,[東]萩原清,ミラビリス,カリカ,3:３歳以上,770.0
2022/09/03,3新潟7,曇,9,瓢湖特別(1勝クラス),,芝2200,12,良,2:14.1,36.5-35.4,ジャスティンヴェル,戸崎圭太,[西]安田隆行,バラジ,ストキャスティーク,3:３歳以上,1070.0
2022/09/03,3新潟7,曇,10,赤倉特別(2勝クラス),,芝2000,13,良,2:00.9,36.9-34.2,ミスフィガロ,三浦皇成,[西]友道康夫,アラビアンナイト,マリノソフィア,3:３歳以上,1510.0
2022/09/03,3新潟7,曇,11,古町S(3勝クラス),,ダ1800,15,稍,1:51.0,35.8-37.1,ルリアン,田辺裕信,[西]佐々木晶,ゴールドパラディン,オンザライン,3:３歳以上,1840.0
2022/09/03,3新潟7,曇,12,3歳以上1勝クラス,,芝1600,18,良,1:35.2,36.6-33.6,トライフォーリアル,木幡巧也,[東]萩原清,ドラミモン,ダイバリオン,3:３歳以上,770.0
2022/09/03,4小倉7,曇,1,2歳未勝利,,芝1800,11,稍,1:48.3,36.8-36.2,ヴェルテンベルク,西村淳也,[西]宮本博,モズマーカッシン,ノエマ,1:２歳,520.0
2022/09/03,4小倉7,小雨,2,2歳未勝利,,ダ1700,16,稍,1:45.8,29.5-38.5,ゴッドブルービー,角田大河,[西]角田晃一,メイクザビート,デルマソトガケ,1:２歳,520.0
2022/09/03,4小倉7,雨,3,3歳未勝利,,芝1200,18,稍,1:07.9,33.1-34.8,マイネルレノン,国分優作,[西]宮徹,クリノオスカル,プロティオスミノル,2:３歳,520.0
2022/09/03,4小倉7,雨,4,3歳未勝利,,芝1800,16,稍,1:48.4,36.7-36.0,タケトンボ,今村聖奈,[西]飯田雄三,ブラッドワイルド,アールフォルス,2:３歳,520.0
